Configuration,CreationTime,OptimizationTime,InteriorNodes,LeafNodes,EmptyNodes,PrimCount,RayCount,NodeIntersections,PrimIntersections,Metric,SISDNodeIntersections,SISDPrimIntersections,TreeWidth,SimdWidth,Optimizations,CreationMethod,SplitMethod,Variant,EpoRatio,OptiMergedInner,OptiMergedLeaf,OptiMergedParent,LeafDepthAvg,LeafDepthMin,LeafDepthMax,InteriorDepthAvg,TotalNodes
4wide-4simd-all-epo-1.5epoRat-frombvh-0,710.0,599.0,225598,540350,136445,3540215,5600000,609851945,305163543,7.393,2321134172,1122551635,4,4,all,frombvh,epo,0,1.5,23827,20797,31129,11.907,3.0,19.0,10.596,1122216
4wide-4simd-all-epo-1.5epoRat-frombvh-1,2050.0,595.0,226743,540690,139540,3540215,5600000,652338254,296897680,8.516,2470180979,1082417036,4,4,all,frombvh,epo,1,1.5,17658,20457,316745,12.837,3.0,23.0,11.548,2244584
4wide-4simd-all-epo-1.5epoRat-frombvh-2,801.0,856.0,510832,540439,675119,3540215,5600000,717988922,292130346,8.26,2529501643,1072912862,4,4,all,frombvh,epo,2,1.5,23714,20708,26600,13.664,4.0,21.0,12.297,2244584
4wide-4simd-all-sah-0epoRat-frombvh-0,680.0,604.0,256487,616355,153107,3540215,5600000,620421957,284208548,6.921,2374356351,1045202999,4,4,all,frombvh,sah,0,0,29803,16268,29990,11.599,3.0,16.0,10.288,1265120
4wide-4simd-all-sah-0epoRat-frombvh-1,1866.0,556.0,258879,616443,160195,3540215,5600000,673843950,279580281,8.02,2559777909,1014749296,4,4,all,frombvh,sah,1,0,19701,16180,354042,12.533,4.0,21.0,11.245,2530488
4wide-4simd-all-sah-0epoRat-frombvh-2,704.0,797.0,578144,616062,767279,3540215,5600000,722956235,274816479,7.043,2550219511,1010712100,4,4,all,frombvh,sah,2,0,28724,16561,25754,13.465,3.0,20.0,12.098,2530488
4wide-4simd-none-epo-1.5epoRat-frombvh-0,722.0,,280554,561147,280516,3540215,5600000,620785276,316953070,7.479,2301693646,1125374698,4,4,none,frombvh,epo,0,1.5,,,,12.03,3.0,20.0,10.781,1122216
4wide-4simd-none-epo-1.5epoRat-frombvh-1,2014.0,,253071,561147,198067,3540215,5600000,657617474,304924176,8.57,2491345544,1081929054,4,4,none,frombvh,epo,1,1.5,,,308075,12.876,3.0,23.0,11.633,2244584
4wide-4simd-none-epo-1.5epoRat-frombvh-2,772.0,,561146,561147,805353,3540215,5600000,778396241,333830456,7.924,2469618992,1186774266,4,4,none,frombvh,epo,2,1.5,,,,14.887,4.0,25.0,13.44,2244584
4wide-4simd-none-sah-0epoRat-frombvh-0,640.0,,316280,632623,316218,3540215,5600000,631732686,293863642,6.959,2375653082,1047262490,4,4,none,frombvh,sah,0,0,,,,11.702,3.0,16.0,10.452,1265120
4wide-4simd-none-sah-0epoRat-frombvh-1,2081.0,,285662,632623,224364,3540215,5600000,677512250,284922145,8.04,2598262270,1014531130,4,4,none,frombvh,sah,1,0,,,346960,12.561,4.0,21.0,11.314,2530488
4wide-4simd-none-sah-0epoRat-frombvh-2,671.0,,632622,632623,914152,3540215,5600000,766398813,298301030,8.092,2418180909,1062735883,4,4,none,frombvh,sah,2,0,,,,14.206,3.0,21.0,12.768,2530488
8wide-8simd-all-epo-5epoRat-frombvh-0,762.0,437.0,164778,390875,103460,3540215,5600000,589960682,232164765,16.145,2245845963,1549026036,8,8,all,frombvh,epo,0,5,10431,15944,28100,12.964,3.0,28.0,11.652,813236
8wide-8simd-all-epo-5epoRat-frombvh-1,1751.0,434.0,162257,390922,95850,3540215,5600000,633627569,229519172,13.195,2456560397,1522892903,8,8,all,frombvh,epo,1,5,10794,15897,233767,13.751,3.0,26.0,12.467,1627272
8wide-8simd-all-epo-5epoRat-frombvh-2,757.0,546.0,371884,390768,480643,3540215,5600000,710634566,223971457,47.341,2467017790,1493718494,8,8,all,frombvh,epo,2,5,11243,16051,23691,14.792,3.0,29.0,13.42,1627272
8wide-8simd-all-sah-0epoRat-frombvh-0,566.0,278.0,144513,346985,86555,3540215,5600000,561423200,243458615,5.852,2160980984,1654170244,8,8,all,frombvh,sah,0,0,15758,3367,14922,11.145,3.0,16.0,9.836,700772
8wide-8simd-all-sah-0epoRat-frombvh-1,1199.0,288.0,145496,346980,89509,3540215,5600000,602895544,233396796,6.919,2338336313,1608507836,8,8,all,frombvh,sah,1,0,10382,3372,194473,12.009,4.0,20.0,10.724,1401404
8wide-8simd-all-sah-0epoRat-frombvh-2,556.0,404.0,322140,346948,425480,3540215,5600000,668013958,231566412,6.988,2327903447,1581468508,8,8,all,frombvh,sah,2,0,14476,3404,13735,12.582,3.0,19.0,11.216,1401404
8wide-8simd-none-epo-5epoRat-frombvh-0,743.0,,203309,406819,203109,3540215,5600000,600463483,244382671,18.838,2267363749,1551906947,8,8,none,frombvh,epo,0,5,,,,13.127,3.0,29.0,11.877,813236
8wide-8simd-none-epo-5epoRat-frombvh-1,1816.0,,180791,406819,135555,3540215,5600000,640301712,239700373,13.599,2481142371,1523395836,8,8,none,frombvh,epo,1,5,,,226027,13.809,3.0,27.0,12.567,1627272
