Configuration,CreationTime,OptimizationTime,InteriorNodes,LeafNodes,EmptyNodes,PrimCount,RayCount,NodeIntersections,PrimIntersections,Metric,SISDNodeIntersections,SISDPrimIntersections,TreeWidth,SimdWidth,Optimizations,CreationMethod,SplitMethod,Variant,EpoRatio,OptiMergedInner,OptiMergedLeaf,OptiMergedParent,LeafDepthAvg,LeafDepthMin,LeafDepthMax,InteriorDepthAvg,TotalNodes
16wide-16simd-none-epo-5epoRat-direct-0,1067.0,,144331,432682,312,3540215,5600000,545721885,151561804,6.928,2181860249,1430677643,16,16,none,direct,epo,0,5,,,,11.344,3.0,17.0,10.011,577324
16wide-16simd-none-epo-5epoRat-frombvh-0,665.0,,174138,348041,174374,3540215,5600000,590373408,157365853,11.282,2223890298,1712719083,16,16,none,frombvh,epo,0,5,,,,13.038,3.0,25.0,11.787,696552
16wide-16simd-none-sah-0epoRat-direct-0,688.0,,136567,409424,278,3540215,5600000,558757788,159480882,4.898,2225571220,1551694176,16,16,none,direct,sah,0,0,,,,10.716,3.0,15.0,9.383,546268
16wide-16simd-none-sah-0epoRat-frombvh-0,503.0,,143662,287340,143647,3540215,5600000,555497289,160046170,4.79,2101103177,1894046419,16,16,none,frombvh,sah,0,0,,,,11.085,3.0,16.0,9.837,574648
4wide-4simd-none-epo-1.5epoRat-direct-0,1453.0,,351742,1050604,4623,3540215,5600000,598703051,219559960,5.426,2387063227,714002650,4,4,none,direct,epo,0,1.5,,,,11.661,3.0,16.0,10.33,1406968
4wide-4simd-none-epo-1.5epoRat-frombvh-0,661.0,,280554,561147,280516,3540215,5600000,620905699,317018061,7.479,2302142521,1125612021,4,4,none,frombvh,epo,0,1.5,,,,12.03,3.0,20.0,10.781,1122216
4wide-4simd-none-sah-0epoRat-direct-0,794.0,,370298,1106062,4833,3540215,5600000,630034865,216013369,5.032,2508595559,689128828,4,4,none,direct,sah,0,0,,,,11.498,3.0,16.0,10.167,1481192
4wide-4simd-none-sah-0epoRat-frombvh-0,582.0,,316280,632623,316218,3540215,5600000,631729230,293858591,6.959,2375637054,1047245133,4,4,none,frombvh,sah,0,0,,,,11.702,3.0,16.0,10.452,1265120
8wide-8simd-none-epo-5epoRat-direct-0,1183.0,,199933,599179,621,3540215,5600000,566468978,182445079,7.446,2263873291,1063584178,8,8,none,direct,epo,0,5,,,,11.616,3.0,18.0,10.282,799732
8wide-8simd-none-epo-5epoRat-frombvh-0,671.0,,203309,406819,203109,3540215,5600000,600472192,244387969,18.838,2267397587,1551950213,8,8,none,frombvh,epo,0,5,,,,13.127,3.0,29.0,11.877,813236
8wide-8simd-none-sah-0epoRat-direct-0,714.0,,211149,632822,626,3540215,5600000,586763290,185287531,4.955,2334588579,1075091709,8,8,none,direct,sah,0,0,,,,11.075,3.0,15.0,9.742,844596
8wide-8simd-none-sah-0epoRat-frombvh-0,525.0,,175193,350352,175228,3540215,5600000,567321613,249766355,5.878,2147003878,1658584497,8,8,none,frombvh,sah,0,0,,,,11.232,3.0,16.0,9.982,700772
