Configuration,CreationTime,OptimizationTime,InteriorNodes,LeafNodes,EmptyNodes,PrimCount,RayCount,NodeIntersections,PrimIntersections,Metric,SISDNodeIntersections,SISDPrimIntersections,TreeWidth,SimdWidth,Optimizations,CreationMethod,SplitMethod,Variant,EpoRatio,OptiMergedInner,OptiMergedLeaf,OptiMergedParent,LeafDepthAvg,LeafDepthMin,LeafDepthMax,InteriorDepthAvg,TotalNodes
4wide-4simd-all-epo-1.5epoRat-direct-0,1390.0,862.0,351480,1011763,42678,3540215,5600000,598755284,213064204,5.403,2370127651,720122700,4,4,all,direct,epo,0,1.5,164,38841,98,11.645,3.0,16.0,10.329,1406968
4wide-4simd-all-epo-1.5epoRat-frombvh-0,719.0,566.0,225860,540734,136847,3540215,5600000,613636949,307989469,7.416,2328040537,1123036550,4,4,all,frombvh,epo,0,1.5,23753,20413,30941,11.907,3.0,19.0,10.596,1122216
4wide-4simd-all-epo-1.5epoRat-frombvh-1,1941.0,584.0,226927,540914,139868,3540215,5600000,652397343,296881437,8.515,2470769651,1082266407,4,4,all,frombvh,epo,1,1.5,17593,20233,316626,12.838,3.0,23.0,11.549,2244584
4wide-4simd-all-sah-0epoRat-direct-0,818.0,757.0,370002,1066722,43285,3540215,5600000,629884903,210865801,5.026,2492964999,694652709,4,4,all,direct,sah,0,0,198,39340,98,11.486,3.0,16.0,10.166,1481192
4wide-4simd-all-sah-0epoRat-frombvh-0,606.0,567.0,257381,618441,153703,3540215,5600000,620537973,284344146,6.921,2374123840,1045036582,4,4,all,frombvh,sah,0,0,29557,14182,29342,11.602,3.0,16.0,10.291,1265120
4wide-4simd-all-sah-0epoRat-frombvh-1,2080.0,587.0,259536,617987,160622,3540215,5600000,670229354,276108366,8.008,2553001295,1014695971,4,4,all,frombvh,sah,1,0,19566,14636,353520,12.535,4.0,21.0,11.247,2530488
4wide-4simd-none-epo-1.5epoRat-direct-0,1404.0,,351742,1050604,4623,3540215,5600000,598761648,219584960,5.426,2387297828,714084218,4,4,none,direct,epo,0,1.5,,,,11.661,3.0,16.0,10.33,1406968
4wide-4simd-none-epo-1.5epoRat-frombvh-0,679.0,,280554,561147,280516,3540215,5600000,620821722,316969442,7.479,2301832818,1125436284,4,4,none,frombvh,epo,0,1.5,,,,12.03,3.0,20.0,10.781,1122216
4wide-4simd-none-epo-1.5epoRat-frombvh-1,2156.0,,253071,561147,198067,3540215,5600000,657479163,304853609,8.57,2490814984,1081673526,4,4,none,frombvh,epo,1,1.5,,,308075,12.876,3.0,23.0,11.633,2244584
4wide-4simd-none-sah-0epoRat-direct-0,821.0,,370298,1106062,4833,3540215,5600000,629999085,216003860,5.032,2508451768,689095334,4,4,none,direct,sah,0,0,,,,11.498,3.0,16.0,10.167,1481192
4wide-4simd-none-sah-0epoRat-frombvh-0,588.0,,316280,632623,316218,3540215,5600000,631806815,293897432,6.959,2375930730,1047387760,4,4,none,frombvh,sah,0,0,,,,11.702,3.0,16.0,10.452,1265120
4wide-4simd-none-sah-0epoRat-frombvh-1,1990.0,,285662,632623,224364,3540215,5600000,677458680,284906174,8.04,2598054473,1014473438,4,4,none,frombvh,sah,1,0,,,346960,12.561,4.0,21.0,11.314,2530488
8wide-8simd-all-epo-5epoRat-direct-0,1264.0,439.0,199898,591657,8038,3540215,5600000,566452291,179467826,7.392,2230593002,1093651708,8,8,all,direct,epo,0,5,13,7522,22,11.614,3.0,18.0,10.282,799732
8wide-8simd-all-epo-5epoRat-frombvh-0,763.0,474.0,165093,391695,103585,3540215,5600000,589934182,232348914,16.078,2247486730,1548730112,8,8,all,frombvh,epo,0,5,10448,15124,27768,12.968,3.0,28.0,11.656,813236
8wide-8simd-all-epo-5epoRat-frombvh-1,1980.0,479.0,162462,391347,96040,3540215,5600000,637465338,233258245,13.287,2465123783,1523016004,8,8,all,frombvh,epo,1,5,10811,15472,233545,13.753,3.0,26.0,12.468,1627272
8wide-8simd-all-sah-0epoRat-direct-0,751.0,399.0,211095,620625,12661,3540215,5600000,586802630,183638029,4.953,2302569992,1105529151,8,8,all,direct,sah,0,0,27,12197,27,11.071,3.0,15.0,9.742,844596
8wide-8simd-all-sah-0epoRat-frombvh-0,574.0,292.0,144502,347031,86476,3540215,5600000,557852540,240042440,5.841,2153956974,1655058027,8,8,all,frombvh,sah,0,0,15760,3321,14931,11.145,3.0,16.0,9.835,700772
8wide-8simd-all-sah-0epoRat-frombvh-1,1193.0,303.0,145524,347094,89479,3540215,5600000,604528501,235668013,6.924,2342689778,1607933047,8,8,all,frombvh,sah,1,0,10392,3258,194435,12.009,4.0,20.0,10.723,1401404
8wide-8simd-none-epo-5epoRat-direct-0,1203.0,,199933,599179,621,3540215,5600000,566403745,182424765,7.446,2263612581,1063455606,8,8,none,direct,epo,0,5,,,,11.616,3.0,18.0,10.282,799732
