Configuration,CreationTime,OptimizationTime,InteriorNodes,LeafNodes,EmptyNodes,PrimCount,RayCount,NodeIntersections,PrimIntersections,Metric,SISDNodeIntersections,SISDPrimIntersections,TreeWidth,SimdWidth,Optimizations,CreationMethod,SplitMethod,Variant,EpoRatio,OptiMergedInner,OptiMergedLeaf,OptiMergedParent,LeafDepthAvg,LeafDepthMin,LeafDepthMax,InteriorDepthAvg,TotalNodes
16wide-16simd-all-epo-0.2epoRat-frombvh-0,405.0,161.0,102480,245780,61661,2880000,4196352,332410621,82880029,136.426,1261536114,1048552254,16,16,all,frombvh,epo,0,0.2,8044,1486,12858,9.629,6.0,22.0,8.327,493528
16wide-16simd-all-epo-0.2epoRat-frombvh-1,809.0,157.0,102755,245789,62477,2880000,4196352,329672959,70624571,142.816,1262449781,892464044,16,16,all,frombvh,epo,1,0.2,6210,1477,138300,10.513,5.0,20.0,9.231,989060
16wide-16simd-all-epo-0.2epoRat-frombvh-2,420.0,192.0,228692,245753,294399,2880000,4196352,362224453,70971926,180.792,1261716925,896115631,16,16,all,frombvh,epo,2,0.2,9487,1513,9086,11.091,6.0,24.0,9.715,989060
16wide-16simd-all-sah-0epoRat-frombvh-0,374.0,144.0,101411,243299,60935,2880000,4196352,333352705,84751838,121.698,1265181653,1079233984,16,16,all,frombvh,sah,0,0,8507,1058,12091,9.564,6.0,16.0,8.261,488036
16wide-16simd-all-sah-0epoRat-frombvh-1,698.0,150.0,101773,243298,62022,2880000,4196352,327434620,70597618,128.163,1253480486,897093750,16,16,all,frombvh,sah,1,0,6351,1059,136232,10.464,5.0,18.0,9.182,977424
16wide-16simd-all-sah-0epoRat-frombvh-2,381.0,203.0,225904,243225,292075,2880000,4196352,358846055,72371360,137.447,1247164244,920568555,16,16,all,frombvh,sah,2,0,9860,1132,8592,11.092,6.0,18.0,9.717,977424
16wide-16simd-none-epo-0.2epoRat-frombvh-0,414.0,,123382,247266,122881,2880000,4196352,336065152,83286516,138.771,1244488091,1052176047,16,16,none,frombvh,epo,0,0.2,,,,9.739,6.0,22.0,8.489,493528
16wide-16simd-none-epo-0.2epoRat-frombvh-1,800.0,,110118,247266,83089,2880000,4196352,329174623,70780691,142.908,1261219765,893371423,16,16,none,frombvh,epo,1,0.2,,,137147,10.527,5.0,21.0,9.28,989060
16wide-16simd-none-epo-0.2epoRat-frombvh-2,420.0,,247265,247266,348605,2880000,4196352,388284609,80838699,158.724,1233364109,1021351088,16,16,none,frombvh,epo,2,0.2,,,,11.555,6.0,25.0,10.099,989060
16wide-16simd-none-sah-0epoRat-frombvh-0,379.0,,122009,244357,121671,2880000,4196352,337008743,85129319,123.452,1247930903,1082970568,16,16,none,frombvh,sah,0,0,,,,9.666,6.0,17.0,8.417,488036
16wide-16simd-none-sah-0epoRat-frombvh-1,690.0,,109156,244357,83112,2880000,4196352,326768694,70729651,128.201,1251583927,898022490,16,16,none,frombvh,sah,1,0,,,135200,10.475,5.0,18.0,9.228,977424
16wide-16simd-none-sah-0epoRat-frombvh-2,390.0,,244356,244357,346299,2880000,4196352,385125397,81404618,139.898,1218991834,1035597920,16,16,none,frombvh,sah,2,0,,,,12.004,7.0,20.0,10.552,977424
4wide-4simd-all-epo-0.2epoRat-frombvh-0,434.0,214.0,128921,307927,78837,2880000,4196352,346417867,193429292,194.307,1315653558,728507860,4,4,all,frombvh,epo,0,0.2,12228,2799,14157,9.807,6.0,23.0,8.501,621224
4wide-4simd-all-epo-0.2epoRat-frombvh-1,938.0,213.0,129443,307890,80440,2880000,4196352,343555809,165393493,200.901,1315163331,623565399,4,4,all,frombvh,epo,1,0.2,8549,2836,172733,10.732,5.0,21.0,9.445,1242900
4wide-4simd-all-epo-0.2epoRat-frombvh-2,457.0,244.0,285884,307829,374355,2880000,4196352,382351610,166324862,238.457,1329412780,627381466,4,4,all,frombvh,epo,2,0.2,13189,2897,11652,11.075,6.0,27.0,9.699,1242900
4wide-4simd-all-sah-0epoRat-frombvh-0,393.0,193.0,129466,309825,78574,2880000,4196352,348560238,194483325,169.717,1324133971,732890379,4,4,all,frombvh,sah,0,0,13424,2209,13262,9.753,6.0,15.0,8.446,624608
4wide-4simd-all-sah-0epoRat-frombvh-1,814.0,203.0,130305,309888,81028,2880000,4196352,341918140,162855904,176.731,1308852964,614415084,4,4,all,frombvh,sah,1,0,8875,2146,172853,10.693,5.0,18.0,9.407,1248132
4wide-4simd-all-sah-0epoRat-frombvh-2,409.0,231.0,287203,309804,378174,2880000,4196352,411151261,195710029,185.455,1438121191,737556353,4,4,all,frombvh,sah,2,0,13581,2230,11249,11.073,7.0,18.0,9.703,1248132
4wide-4simd-none-epo-0.2epoRat-frombvh-0,429.0,,155306,310726,155193,2880000,4196352,348373750,194311368,196.128,1296656810,730958622,4,4,none,frombvh,epo,0,0.2,,,,9.903,6.0,24.0,8.653,621224
4wide-4simd-none-epo-0.2epoRat-frombvh-1,925.0,,139856,310726,108843,2880000,4196352,342777378,165784614,200.92,1313746511,624284723,4,4,none,frombvh,epo,1,0.2,,,170869,10.748,5.0,21.0,9.498,1242900
4wide-4simd-none-epo-0.2epoRat-frombvh-2,451.0,,310725,310726,445981,2880000,4196352,412303429,193424201,219.935,1311096408,727650680,4,4,none,frombvh,epo,2,0.2,,,,11.625,6.0,28.0,10.171,1242900
4wide-4simd-none-sah-0epoRat-frombvh-0,408.0,,156152,312034,156423,2880000,4196352,350404536,195340592,170.905,1304111257,735401231,4,4,none,frombvh,sah,0,0,,,,9.841,6.0,15.0,8.592,624608
4wide-4simd-none-sah-0epoRat-frombvh-1,826.0,,140818,312034,110421,2880000,4196352,341144968,163199790,176.754,1307111673,615129811,4,4,none,frombvh,sah,1,0,,,171215,10.706,5.0,18.0,9.459,1248132
4wide-4simd-none-sah-0epoRat-frombvh-2,403.0,,312033,312034,450434,2880000,4196352,399455798,188555115,187.83,1278612796,709920378,4,4,none,frombvh,sah,2,0,,,,11.65,7.0,20.0,10.206,1248132
8wide-8simd-all-epo-0.2epoRat-frombvh-0,435.0,179.0,113012,270299,68738,2880000,4196352,338142905,134290285,162.188,1283216258,871171670,8,8,all,frombvh,epo,0,0.2,10344,1603,12508,9.704,6.0,22.0,8.399,543456
8wide-8simd-all-epo-0.2epoRat-frombvh-1,868.0,175.0,113377,270321,69811,2880000,4196352,335512546,114745855,168.656,1283214497,742924247,8,8,all,frombvh,epo,1,0.2,7449,1581,151075,10.601,5.0,21.0,9.318,1087604
8wide-8simd-all-epo-0.2epoRat-frombvh-2,438.0,200.0,250808,270346,327105,2880000,4196352,366483934,117112580,198.271,1285732484,757273056,8,8,all,frombvh,epo,2,0.2,11181,1556,9912,10.869,7.0,23.0,9.493,1087604
8wide-8simd-all-sah-0epoRat-frombvh-0,390.0,162.0,111761,267651,67633,2880000,4196352,339228761,136983953,143.476,1287444729,895050548,8,8,all,frombvh,sah,0,0,11049,1077,11527,9.634,6.0,15.0,8.328,537348
8wide-8simd-all-sah-0epoRat-frombvh-1,751.0,168.0,112438,267667,69648,2880000,4196352,333379827,114572226,150.146,1274639240,746447783,8,8,all,frombvh,sah,1,0,7641,1061,148648,10.545,5.0,18.0,9.261,1074908
