Configuration,CreationTime,OptimizationTime,InteriorNodes,LeafNodes,EmptyNodes,PrimCount,RayCount,NodeIntersections,PrimIntersections,Metric,SISDNodeIntersections,SISDPrimIntersections,TreeWidth,SimdWidth,Optimizations,CreationMethod,SplitMethod,Variant,EpoRatio,OptiMergedInner,OptiMergedLeaf,OptiMergedParent,LeafDepthAvg,LeafDepthMin,LeafDepthMax,InteriorDepthAvg,TotalNodes
16wide-16simd-none-epo-5epoRat-direct-0,829.0,,123416,370130,119,2880000,4196352,331293386,86930170,153787.5,1325093846,790000764,16,16,none,direct,epo,0,5,,,,9.89,6.0,18.0,8.557,493664
16wide-16simd-none-epo-5epoRat-frombvh-0,459.0,,154028,308108,153977,2880000,4196352,366504833,78729664,905586740822016.0,1340436612,868700683,16,16,none,frombvh,epo,0,5,,,,11.058,5.0,34.0,9.81,616112
16wide-16simd-none-sah-0epoRat-direct-0,500.0,,114750,344124,127,2880000,4196352,331894294,92314773,124.896,1327489986,917694989,16,16,none,direct,sah,0,0,,,,9.629,6.0,14.0,8.296,459000
16wide-16simd-none-sah-0epoRat-frombvh-0,375.0,,122009,244357,121671,2880000,4196352,337008743,85129319,123.452,1247930903,1082970568,16,16,none,frombvh,sah,0,0,,,,9.666,6.0,17.0,8.417,488036
4wide-4simd-none-epo-3epoRat-direct-0,869.0,,146721,439455,709,2880000,4196352,339435383,190686774,16875.41,1357471259,668602069,4,4,none,direct,epo,0,3,,,,9.951,6.0,18.0,8.619,586884
4wide-4simd-none-epo-3epoRat-frombvh-0,462.0,,165877,331798,165834,2880000,4196352,358710946,199434186,128752861184.0,1324964633,742769876,4,4,none,frombvh,epo,0,3,,,,10.725,6.0,35.0,9.475,663508
4wide-4simd-none-sah-0epoRat-direct-0,565.0,,182624,546732,1141,2880000,4196352,355343242,184690687,169.937,1420923991,627700617,4,4,none,direct,sah,0,0,,,,10.01,7.0,14.0,8.678,730496
4wide-4simd-none-sah-0epoRat-frombvh-0,398.0,,156152,312034,156423,2880000,4196352,350404536,195340592,170.905,1304111257,735401231,4,4,none,frombvh,sah,0,0,,,,9.841,6.0,15.0,8.592,624608
8wide-8simd-none-epo-2epoRat-direct-0,817.0,,131182,393210,337,2880000,4196352,333617190,123838146,1092.512,1334256608,731013377,8,8,none,direct,epo,0,2,,,,9.83,6.0,18.0,8.496,524728
8wide-8simd-none-epo-2epoRat-frombvh-0,465.0,,151476,302802,151627,2880000,4196352,349147728,132748154,13235642.0,1289785093,826432544,8,8,none,frombvh,epo,0,2,,,,10.451,6.0,32.0,9.203,605904
8wide-8simd-none-sah-0epoRat-direct-0,527.0,,132060,395716,465,2880000,4196352,339982458,125831897,140.689,1359633334,762846221,8,8,none,direct,sah,0,0,,,,9.727,6.0,13.0,8.394,528240
8wide-8simd-none-sah-0epoRat-frombvh-0,388.0,,134337,268728,134284,2880000,4196352,341155827,137561201,144.713,1268101883,898286056,8,8,none,frombvh,sah,0,0,,,,9.722,6.0,15.0,8.472,537348
