Configuration,CreationTime,OptimizationTime,InteriorNodes,LeafNodes,EmptyNodes,PrimCount,RayCount,NodeIntersections,PrimIntersections,Metric,SISDNodeIntersections,SISDPrimIntersections,TreeWidth,SimdWidth,Optimizations,CreationMethod,SplitMethod,Variant,EpoRatio,OptiMergedInner,OptiMergedLeaf,OptiMergedParent,LeafDepthAvg,LeafDepthMin,LeafDepthMax,InteriorDepthAvg,TotalNodes
4wide-4simd-all-epo-3epoRat-direct-0,919.0,286.0,146690,431933,8138,2880000,4196352,339469390,189839912,16533.508,1352765973,669768350,4,4,all,direct,epo,0,3,24,7522,7,9.948,6.0,18.0,8.619,586884
4wide-4simd-all-epo-3epoRat-frombvh-0,493.0,296.0,136871,323236,87378,2880000,4196352,353949012,198143603,108404088832.0,1336120934,740643387,4,4,all,frombvh,epo,0,3,7565,8562,21441,10.562,6.0,35.0,9.255,663508
4wide-4simd-all-epo-3epoRat-frombvh-1,1232.0,300.0,134009,323277,78751,2880000,4196352,343390811,166684105,75615485952.0,1317759935,624271326,4,4,all,frombvh,epo,1,3,7585,8521,190203,11.45,5.0,37.0,10.159,1327188
4wide-4simd-all-sah-0epoRat-direct-0,605.0,301.0,182609,539023,8805,2880000,4196352,355360159,183972900,169.643,1417540689,629154750,4,4,all,direct,sah,0,0,8,7709,7,10.006,7.0,14.0,8.678,730496
4wide-4simd-all-sah-0epoRat-frombvh-0,438.0,247.0,129463,309762,78628,2880000,4196352,348567672,194478780,169.711,1324080566,732912204,4,4,all,frombvh,sah,0,0,13433,2272,13256,9.753,6.0,15.0,8.446,624608
4wide-4simd-all-sah-0epoRat-frombvh-1,968.0,246.0,130222,309700,80967,2880000,4196352,341903835,162845003,176.718,1308724025,614432587,4,4,all,frombvh,sah,1,0,8885,2334,172926,10.692,5.0,18.0,9.406,1248132
4wide-4simd-none-epo-3epoRat-direct-0,902.0,,146721,439455,709,2880000,4196352,339435383,190686774,16875.41,1357471259,668602069,4,4,none,direct,epo,0,3,,,,9.951,6.0,18.0,8.619,586884
4wide-4simd-none-epo-3epoRat-frombvh-0,571.0,,165877,331798,165834,2880000,4196352,358710946,199434186,128752861184.0,1324964633,742769876,4,4,none,frombvh,epo,0,3,,,,10.725,6.0,35.0,9.475,663508
4wide-4simd-none-epo-3epoRat-frombvh-1,1257.0,,145903,331798,105912,2880000,4196352,342549905,167367167,76595347456.0,1316797239,624812015,4,4,none,frombvh,epo,1,3,,,185894,11.506,5.0,37.0,10.248,1327188
4wide-4simd-none-sah-0epoRat-direct-0,636.0,,182624,546732,1141,2880000,4196352,355343242,184690687,169.937,1420923991,627700617,4,4,none,direct,sah,0,0,,,,10.01,7.0,14.0,8.678,730496
4wide-4simd-none-sah-0epoRat-frombvh-0,437.0,,156152,312034,156423,2880000,4196352,350404536,195340592,170.905,1304111257,735401231,4,4,none,frombvh,sah,0,0,,,,9.841,6.0,15.0,8.592,624608
4wide-4simd-none-sah-0epoRat-frombvh-1,941.0,,140818,312034,110421,2880000,4196352,341144968,163199790,176.754,1307111673,615129811,4,4,none,frombvh,sah,1,0,,,171215,10.706,5.0,18.0,9.459,1248132
8wide-8simd-all-epo-2epoRat-direct-0,865.0,232.0,131152,387163,6294,2880000,4196352,333645392,123137409,1083.415,1330822183,732235181,8,8,all,direct,epo,0,2,22,6047,8,9.825,6.0,18.0,8.497,524728
8wide-8simd-all-epo-2epoRat-frombvh-0,484.0,274.0,125015,296147,78899,2880000,4196352,344605917,131866050,11362185.0,1302440149,824181936,8,8,all,frombvh,epo,0,2,7271,6655,19190,10.296,6.0,32.0,8.991,605904
8wide-8simd-all-epo-2epoRat-frombvh-1,1128.0,255.0,122705,296128,71988,2880000,4196352,334050944,109628923,3404573.25,1281059125,683896191,8,8,all,frombvh,epo,1,2,7130,6674,172966,11.191,5.0,34.0,9.904,1211204
8wide-8simd-all-sah-0epoRat-direct-0,550.0,209.0,132056,390320,5849,2880000,4196352,339982238,125140433,140.42,1356459166,764239529,8,8,all,direct,sah,0,0,,5396,4,9.722,6.0,13.0,8.394,528240
8wide-8simd-all-sah-0epoRat-frombvh-0,426.0,196.0,111733,267607,67593,2880000,4196352,339222633,136979304,143.472,1287393809,895072860,8,8,all,frombvh,sah,0,0,11044,1121,11560,9.633,6.0,15.0,8.328,537348
8wide-8simd-all-sah-0epoRat-frombvh-1,873.0,208.0,112417,267621,69631,2880000,4196352,333377526,114564129,150.143,1274526283,746462953,8,8,all,frombvh,sah,1,0,7654,1107,148656,10.545,5.0,18.0,9.261,1074908
8wide-8simd-none-epo-2epoRat-direct-0,904.0,,131182,393210,337,2880000,4196352,333617190,123838146,1092.512,1334256608,731013377,8,8,none,direct,epo,0,2,,,,9.83,6.0,18.0,8.496,524728
8wide-8simd-none-epo-2epoRat-frombvh-0,478.0,,151476,302802,151627,2880000,4196352,349147728,132748154,13235642.0,1289785093,826432544,8,8,none,frombvh,epo,0,2,,,,10.451,6.0,32.0,9.203,605904
8wide-8simd-none-epo-2epoRat-frombvh-1,1113.0,,133316,302802,97147,2880000,4196352,333345510,110084886,3466575.5,1280202695,684436298,8,8,none,frombvh,epo,1,2,,,169485,11.239,5.0,34.0,9.985,1211204
8wide-8simd-none-sah-0epoRat-direct-0,547.0,,132060,395716,465,2880000,4196352,339982458,125831897,140.689,1359633334,762846221,8,8,none,direct,sah,0,0,,,,9.727,6.0,13.0,8.394,528240
8wide-8simd-none-sah-0epoRat-frombvh-0,426.0,,134337,268728,134284,2880000,4196352,341155827,137561201,144.713,1268101883,898286056,8,8,none,frombvh,sah,0,0,,,,9.722,6.0,15.0,8.472,537348
