Configuration,CreationTime,OptimizationTime,InteriorNodes,LeafNodes,EmptyNodes,PrimCount,RayCount,NodeIntersections,PrimIntersections,Metric,SISDNodeIntersections,SISDPrimIntersections,TreeWidth,SimdWidth,Optimizations,CreationMethod,SplitMethod,Variant,EpoRatio,OptiMergedInner,OptiMergedLeaf,OptiMergedParent,LeafDepthAvg,LeafDepthMin,LeafDepthMax,InteriorDepthAvg,TotalNodes
16wide-16simd-all-epo-0.3epoRat-direct-0,3128.0,597.0,28024,340293,80504,2662968,6231520,1273948209,249253776,8.721,12001321742,2088139605,16,16,all,direct,epo,0,0.3,5635,115587,1734,4.512,0.0,7.0,3.468,566288
16wide-16simd-all-epo-0.3epoRat-frombvh-0,380.0,233.0,12450,141380,45807,2662968,6231520,1877443306,335562764,8.838,13551209627,4242101277,16,16,all,frombvh,epo,0,0.3,16612,1207,6056,4.71,0.0,9.0,3.752,561888
16wide-16simd-all-epo-0.5epoRat-direct-0,3188.0,597.0,28159,341526,81296,2662968,6231520,1320931167,252677266,8.929,12492187997,2173256996,16,16,all,direct,epo,0,0.5,5594,115124,1751,4.514,0.0,7.0,3.468,568064
16wide-16simd-all-epo-0.5epoRat-frombvh-0,400.0,246.0,12456,141696,45581,2662968,6231520,1866397958,320904611,9.236,13613557857,3996178817,16,16,all,frombvh,epo,0,0.5,16708,1384,6162,4.838,0.0,10.0,3.882,565216
16wide-16simd-all-epo-0.7epoRat-direct-0,3201.0,608.0,28297,343309,81583,2662968,6231520,1300638328,250455028,9.021,12309699685,2126783409,16,16,all,direct,epo,0,0.7,5663,115849,1775,4.519,0.0,7.0,3.471,571760
16wide-16simd-all-epo-0.7epoRat-frombvh-0,437.0,262.0,12520,142239,45998,2662968,6231520,1896446761,326010355,9.882,14425555493,4027076073,16,16,all,frombvh,epo,0,0.7,16848,1617,6387,4.934,0.0,11.0,3.959,572080
16wide-16simd-all-sah-0epoRat-direct-0,652.0,261.0,28759,350936,80886,2662968,6231520,1275704676,250978460,8.376,12104882229,2091219363,16,16,all,direct,sah,0,0,5504,109998,1428,4.549,0.0,8.0,3.499,571056
16wide-16simd-all-sah-0epoRat-frombvh-0,367.0,125.0,12253,141144,43088,2662968,6231520,1991743944,332774494,8.34,14248477874,4163874297,16,16,all,frombvh,sah,0,0,17052,1082,6023,4.623,0.0,9.0,3.639,565248
16wide-16simd-none-epo-0.3epoRat-direct-0,3183.0,,35393,455880,75452,2662968,6231520,1187565910,270593119,8.687,12191687782,1972653052,16,16,none,direct,epo,0,0.3,,,,4.45,0.0,8.0,3.459,566288
16wide-16simd-none-epo-0.3epoRat-frombvh-0,376.0,,35118,142587,384620,2662968,6231520,1803633659,340260726,8.154,13337749630,4288636790,16,16,none,frombvh,epo,0,0.3,,,,4.832,0.0,9.0,3.958,561888
