Configuration,CreationTime,OptimizationTime,InteriorNodes,LeafNodes,EmptyNodes,PrimCount,RayCount,NodeIntersections,PrimIntersections,Metric,SISDNodeIntersections,SISDPrimIntersections,TreeWidth,SimdWidth,Optimizations,CreationMethod,SplitMethod,Variant,EpoRatio,OptiMergedInner,OptiMergedLeaf,OptiMergedParent,LeafDepthAvg,LeafDepthMin,LeafDepthMax,InteriorDepthAvg,TotalNodes
16wide-16simd-all-epo-0.7epoRat-frombvh-0,427.0,279.0,10199,116391,37031,2662968,6231520,2136300668,379957903,10.289,14810015294,4924574661,16,16,all,frombvh,epo,0,0.7,14275,778,4887,4.88,0.0,11.0,3.904,469776
16wide-16simd-all-epo-0.7epoRat-frombvh-1,434.0,6229.0,10921,116475,47777,2662968,6231520,11218330236,374843308,997.248,129440548432,4834861784,16,16,all,frombvh,epo,1,0.7,77453,694,28358,13.649,0.0,35.0,12.768,1867712
16wide-16simd-all-epo-0.7epoRat-frombvh-2,452.0,188.0,212269,225617,276734,2662968,6231520,2168431718,261473807,25.389,6131721090,2924880148,16,16,all,frombvh,epo,2,0.7,8173,5992,10730,10.728,0.0,23.0,9.377,924688
16wide-16simd-all-sah-0epoRat-frombvh-0,364.0,119.0,10754,123939,37808,2662968,6231520,2202757977,369708958,8.415,15105943426,4825178264,16,16,all,frombvh,sah,0,0,14910,715,5264,4.592,0.0,9.0,3.606,494848
16wide-16simd-all-sah-0epoRat-frombvh-1,370.0,5192.0,11644,124014,51083,2662968,6231520,12239489770,373499937,49.131,140348892329,4854386558,16,16,all,frombvh,sah,1,0,82826,640,29747,12.026,0.0,29.0,11.106,1987472
16wide-16simd-all-sah-0epoRat-frombvh-2,368.0,129.0,206850,220877,270813,2662968,6231520,2241459823,254593070,13.423,6337299674,2937552777,16,16,all,frombvh,sah,2,0,8221,4540,9909,10.331,0.0,22.0,8.984,899920
16wide-16simd-none-epo-0.7epoRat-frombvh-0,428.0,,29361,117169,323683,2662968,6231520,2075008124,392038824,9.044,14575604239,5095057611,16,16,none,frombvh,epo,0,0.7,,,,5.005,0.0,11.0,4.134,469776
16wide-16simd-none-epo-0.7epoRat-frombvh-1,424.0,,116732,117169,1634248,2662968,6231520,4559917372,582616790,42.258,7541350591,7424281331,16,16,none,frombvh,epo,1,0.7,,,,18.506,0.0,43.0,16.576,1867712
16wide-16simd-none-epo-0.7epoRat-frombvh-2,449.0,,231172,231609,327451,2662968,6231520,2227133578,267192958,23.701,5631955733,2965601480,16,16,none,frombvh,epo,2,0.7,,,,12.536,0.0,27.0,11.113,924688
16wide-16simd-none-sah-0epoRat-frombvh-0,358.0,,30928,124654,339703,2662968,6231520,2165152559,382309364,7.861,15582123077,4978550296,16,16,none,frombvh,sah,0,0,,,,4.713,0.0,9.0,3.821,494848
16wide-16simd-none-sah-0epoRat-frombvh-1,377.0,,124217,124654,1739038,2662968,6231520,4749189455,566232506,20.674,7919663524,7197790129,16,16,none,frombvh,sah,1,0,,,,17.363,0.0,34.0,15.424,1987472
