Configuration,CreationTime,OptimizationTime,InteriorNodes,LeafNodes,EmptyNodes,PrimCount,RayCount,NodeIntersections,PrimIntersections,Metric,SISDNodeIntersections,SISDPrimIntersections,TreeWidth,SimdWidth,Optimizations,CreationMethod,SplitMethod,Variant,EpoRatio,OptiMergedInner,OptiMergedLeaf,OptiMergedParent,LeafDepthAvg,LeafDepthMin,LeafDepthMax,InteriorDepthAvg,TotalNodes
16wide-16simd-all-epo-0.6epoRat-frombvh-0,451.0,137.0,93965,225184,57148,2662968,6231520,1959089423,256785373,17.016,5912840857,2902753121,16,16,all,frombvh,epo,0,0.6,8061,5344,12771,9.893,0.0,20.0,8.611,459188
16wide-16simd-all-epo-0.6epoRat-frombvh-1,736.0,126.0,94123,225136,57670,2662968,6231520,2023431548,255513137,17.47,6293988392,2895530785,16,16,all,frombvh,epo,1,0.6,5993,5392,129975,10.132,0.0,22.0,8.868,920364
16wide-16simd-all-epo-0.6epoRat-frombvh-2,443.0,166.0,211422,224849,275824,2662968,6231520,2143217084,248732588,24.619,6039654499,2817423245,16,16,all,frombvh,epo,2,0.6,8167,5679,10502,11.087,0.0,23.0,9.73,920364
16wide-16simd-all-sah-0epoRat-frombvh-0,364.0,111.0,92209,221185,55879,2662968,6231520,2081444477,270656902,11.886,6216760445,3101417898,16,16,all,frombvh,sah,0,0,8550,4232,11470,9.216,0.0,18.0,7.936,448916
16wide-16simd-all-sah-0epoRat-frombvh-1,598.0,113.0,92539,221128,56926,2662968,6231520,2088498342,260543083,13.59,6427580643,2997659948,16,16,all,frombvh,sah,1,0,5892,4289,126549,9.732,0.0,22.0,8.468,899920
16wide-16simd-all-sah-0epoRat-frombvh-2,371.0,131.0,206825,220867,270748,2662968,6231520,2242303373,254655897,13.422,6342345775,2937620055,16,16,all,frombvh,sah,2,0,8222,4550,9933,10.33,0.0,22.0,8.983,899920
16wide-16simd-none-epo-0.6epoRat-frombvh-0,443.0,,114797,230528,114300,2662968,6231520,1971795770,258850197,17.265,5933703650,2902354077,16,16,none,frombvh,epo,0,0.6,,,,10.008,0.0,20.0,8.793,459188
16wide-16simd-none-epo-0.6epoRat-frombvh-1,740.0,,102499,230528,77406,2662968,6231520,2022512825,257009586,17.524,6315681643,2889535665,16,16,none,frombvh,epo,1,0.6,,,127592,10.155,0.0,22.0,8.928,920364
16wide-16simd-none-epo-0.6epoRat-frombvh-2,441.0,,230091,230528,326152,2662968,6231520,2194088728,259415448,22.41,5619166545,2915048200,16,16,none,frombvh,epo,2,0.6,,,,11.641,0.0,26.0,10.216,920364
16wide-16simd-none-sah-0epoRat-frombvh-0,367.0,,112229,225417,111707,2662968,6231520,2092189688,273514005,11.972,6245256509,3101363310,16,16,none,frombvh,sah,0,0,,,,9.325,0.0,18.0,8.101,448916
16wide-16simd-none-sah-0epoRat-frombvh-1,597.0,,100309,225417,75947,2662968,6231520,2088432768,262545365,13.652,6460429314,2987263145,16,16,none,frombvh,sah,1,0,,,124671,9.754,0.0,22.0,8.523,899920
16wide-16simd-none-sah-0epoRat-frombvh-2,376.0,,224980,225417,320663,2662968,6231520,2325291427,273815209,13.551,5939688290,3111785868,16,16,none,frombvh,sah,2,0,,,,10.964,0.0,23.0,9.537,899920
4wide-4simd-all-epo-0.6epoRat-frombvh-0,485.0,357.0,170517,409859,102129,2662968,6231520,1591384261,437399641,21.219,5218324301,1527889256,4,4,all,frombvh,epo,0,0.6,18125,18020,25251,10.299,0.0,20.0,9.007,855572
4wide-4simd-all-epo-0.6epoRat-frombvh-1,1112.0,340.0,171532,410029,105004,2662968,6231520,1676617337,436940276,21.98,5602538184,1527141908,4,4,all,frombvh,epo,1,0.6,12659,17850,243251,10.655,0.0,24.0,9.382,1709768
4wide-4simd-all-epo-0.6epoRat-frombvh-2,495.0,450.0,389254,410059,514958,2662968,6231520,1878136356,440493776,31.456,5726377378,1539160743,4,4,all,frombvh,epo,2,0.6,17215,17820,20973,12.081,0.0,25.0,10.725,1709768
4wide-4simd-all-sah-0epoRat-frombvh-0,391.0,262.0,178771,430690,106060,2662968,6231520,1640814219,428581587,14.817,5423033366,1486860751,4,4,all,frombvh,sah,0,0,20171,16448,24553,9.652,0.0,18.0,8.362,893980
4wide-4simd-all-sah-0epoRat-frombvh-1,918.0,271.0,180335,430649,110793,2662968,6231520,1674434031,412783547,16.59,5655465633,1435074096,4,4,all,frombvh,sah,1,0,13704,16489,252662,10.241,0.0,23.0,8.965,1786804
