Configuration,CreationTime,OptimizationTime,InteriorNodes,LeafNodes,EmptyNodes,PrimCount,RayCount,NodeIntersections,PrimIntersections,Metric,SISDNodeIntersections,SISDPrimIntersections,TreeWidth,SimdWidth,Optimizations,CreationMethod,SplitMethod,Variant,EpoRatio,OptiMergedInner,OptiMergedLeaf,OptiMergedParent,LeafDepthAvg,LeafDepthMin,LeafDepthMax,InteriorDepthAvg,TotalNodes
16wide-16simd-none-epo-0.1epoRat-direct-0,2532.0,,34772,437635,84382,2662968,6231520,1139216880,264178608,7.907,11895899488,1995216613,16,16,none,direct,epo,0,0.1,,,,4.429,0.0,8.0,3.457,556352
16wide-16simd-none-epo-0.1epoRat-frombvh-0,405.0,,35378,142604,388503,2662968,6231520,1882194796,339899548,7.363,13791509398,4360934518,16,16,none,frombvh,epo,0,0.1,,,,4.8,0.0,9.0,3.945,566048
16wide-16simd-none-epo-0.2epoRat-direct-0,2508.0,,36133,448270,94162,2662968,6231520,1087893384,259366575,7.243,10939922244,1981595585,16,16,none,direct,epo,0,0.2,,,,4.558,0.0,8.0,3.589,578128
16wide-16simd-none-epo-0.2epoRat-frombvh-0,385.0,,39772,159989,437028,2662968,6231520,1706491001,317314547,7.16,13018721644,4008839112,16,16,none,frombvh,epo,0,0.2,,,,4.883,0.0,9.0,4.038,636352
16wide-16simd-none-epo-0.3epoRat-direct-0,2809.0,,36443,442955,104127,2662968,6231520,1061052874,261050223,7.04,10344368455,1984371228,16,16,none,direct,epo,0,0.3,,,,4.493,0.0,8.0,3.549,583088
16wide-16simd-none-epo-0.3epoRat-frombvh-0,452.0,,43781,175838,481314,2662968,6231520,1674627073,297057505,6.864,13106141737,3696045966,16,16,none,frombvh,epo,0,0.3,,,,5.122,0.0,11.0,4.28,700496
16wide-16simd-none-epo-0.4epoRat-direct-0,2676.0,,38979,474570,110552,2662968,6231520,987003251,260623505,6.498,10575850129,1866682209,16,16,none,direct,epo,0,0.4,,,,4.578,0.0,8.0,3.609,623664
16wide-16simd-none-epo-0.4epoRat-frombvh-0,528.0,,47980,193485,526652,2662968,6231520,1563321189,277563349,5.582,12873720228,3353526545,16,16,none,frombvh,epo,0,0.4,,,,5.479,0.0,12.0,4.64,767680
16wide-16simd-none-epo-0.5epoRat-direct-0,3182.0,,39684,473952,121745,2662968,6231520,986258116,254268213,6.045,10472958705,1853945658,16,16,none,direct,epo,0,0.5,,,,4.671,0.0,8.0,3.714,634944
16wide-16simd-none-epo-0.5epoRat-frombvh-0,618.0,,52466,212249,575178,2662968,6231520,1529513390,271890900,5.135,12539404249,3127719798,16,16,none,frombvh,epo,0,0.5,,,,6.039,0.0,14.0,5.2,839456
16wide-16simd-none-epo-0.6epoRat-direct-0,2700.0,,40833,483815,129117,2662968,6231520,971247484,263521100,5.115,10266392376,1979947319,16,16,none,direct,epo,0,0.6,,,,4.618,0.0,8.0,3.663,653328
