Configuration,CreationTime,OptimizationTime,InteriorNodes,LeafNodes,EmptyNodes,PrimCount,RayCount,NodeIntersections,PrimIntersections,Metric,SISDNodeIntersections,SISDPrimIntersections,TreeWidth,SimdWidth,Optimizations,CreationMethod,SplitMethod,Variant,EpoRatio,OptiMergedInner,OptiMergedLeaf,OptiMergedParent,LeafDepthAvg,LeafDepthMin,LeafDepthMax,InteriorDepthAvg,TotalNodes
16wide-16simd-none-epo-2epoRat-direct-0,589.0,,111979,334243,2131,2662968,6231520,1691946629,241819271,28.797,5482016946,1991243079,16,16,none,direct,epo,0,2,,,,8.923,0.0,17.0,7.609,447916
16wide-16simd-none-epo-2epoRat-frombvh-0,662.0,,125994,252767,125652,2662968,6231520,2089929688,267207248,56.312,6360081546,2868389844,16,16,none,frombvh,epo,0,2,,,,12.16,0.0,30.0,10.946,503976
16wide-16simd-none-sah-0epoRat-direct-0,455.0,,108247,323229,1949,2662968,6231520,1893469154,254576866,13.599,6086342506,2288765201,16,16,none,direct,sah,0,0,,,,8.784,0.0,15.0,7.47,432988
16wide-16simd-none-sah-0epoRat-frombvh-0,368.0,,112229,225417,111707,2662968,6231520,2092189688,273514005,11.972,6245256509,3101363310,16,16,none,frombvh,sah,0,0,,,,9.325,0.0,18.0,8.101,448916
4wide-4simd-none-epo-0.7epoRat-direct-0,834.0,,256369,755244,14300,2662968,6231520,1414581759,298230013,19.709,5102322452,876549498,4,4,none,direct,epo,0,0.7,,,,9.378,0.0,17.0,8.066,1025476
4wide-4simd-none-epo-0.7epoRat-frombvh-0,485.0,,212903,426324,212822,2662968,6231520,1649800206,465199018,23.146,5305369806,1611244136,4,4,none,frombvh,epo,0,0.7,,,,10.463,0.0,23.0,9.219,851612
4wide-4simd-none-sah-0epoRat-direct-0,521.0,,267337,787901,14547,2662968,6231520,1516536647,298012160,15.138,5493472551,867517703,4,4,none,direct,sah,0,0,,,,9.373,0.0,17.0,8.061,1069348
4wide-4simd-none-sah-0epoRat-frombvh-0,401.0,,223495,447138,223784,2662968,6231520,1643412079,432983805,14.929,5402767507,1486562296,4,4,none,frombvh,sah,0,0,,,,9.768,0.0,18.0,8.525,893980
8wide-8simd-none-epo-2epoRat-direct-0,649.0,,152386,453445,4150,2662968,6231520,1534411766,272595506,30.863,5175718691,1395962163,8,8,none,direct,epo,0,2,,,,9.092,0.0,17.0,7.779,609544
8wide-8simd-none-epo-2epoRat-frombvh-0,680.0,,154682,309888,154595,2662968,6231520,1941739112,357530737,63.767,6061012317,2216784354,8,8,none,frombvh,epo,0,2,,,,12.384,0.0,30.0,11.158,618728
8wide-8simd-none-sah-0epoRat-direct-0,472.0,,157648,469203,4178,2662968,6231520,1642129538,278131667,14.327,5582073767,1467548993,8,8,none,direct,sah,0,0,,,,9.036,0.0,16.0,7.723,630592
8wide-8simd-none-sah-0epoRat-frombvh-0,386.0,,140147,280912,139966,2662968,6231520,1857624558,361035437,12.92,5724233881,2297487834,8,8,none,frombvh,sah,0,0,,,,9.554,0.0,18.0,8.325,560588
