Configuration,CreationTime,OptimizationTime,InteriorNodes,LeafNodes,EmptyNodes,PrimCount,RayCount,NodeIntersections,PrimIntersections,Metric,SISDNodeIntersections,SISDPrimIntersections,TreeWidth,SimdWidth,Optimizations,CreationMethod,SplitMethod,Variant,EpoRatio,OptiMergedInner,OptiMergedLeaf,OptiMergedParent,LeafDepthAvg,LeafDepthMin,LeafDepthMax,InteriorDepthAvg,TotalNodes
4wide-4simd-all-epo-0.7epoRat-direct-0,864.0,452.0,254431,706532,57198,2662968,6231520,1422977678,293580534,19.6,5052074279,897633523,4,4,all,direct,epo,0,0.7,1053,48712,885,9.451,0.0,17.0,8.067,1025476
4wide-4simd-all-epo-0.7epoRat-frombvh-0,549.0,419.0,169784,408017,101772,2662968,6231520,1642073431,460083175,22.923,5324620910,1611890075,4,4,all,frombvh,epo,0,0.7,17646,18307,25473,10.318,0.0,23.0,9.028,851612
4wide-4simd-all-epo-0.7epoRat-frombvh-1,1260.0,391.0,170511,407935,104035,2662968,6231520,1673636517,450896298,23.048,5549314373,1580779711,4,4,all,frombvh,epo,1,0.7,12653,18389,242723,10.642,0.0,27.0,9.366,1703548
4wide-4simd-all-sah-0epoRat-direct-0,565.0,376.0,265338,735397,61054,2662968,6231520,1524536041,293602846,15.068,5441818736,889976174,4,4,all,direct,sah,0,0,1094,52504,905,9.452,0.0,17.0,8.062,1069348
4wide-4simd-all-sah-0epoRat-frombvh-0,433.0,310.0,178690,430488,106019,2662968,6231520,1640531313,428166877,14.812,5421796524,1487237852,4,4,all,frombvh,sah,0,0,20168,16650,24637,9.651,0.0,18.0,8.36,893980
4wide-4simd-all-sah-0epoRat-frombvh-1,1111.0,312.0,180190,430313,110694,2662968,6231520,1674276070,412993060,16.574,5654312972,1435324024,4,4,all,frombvh,sah,1,0,13691,16825,252820,10.239,0.0,23.0,8.963,1786804
4wide-4simd-none-epo-0.7epoRat-direct-0,897.0,,256369,755244,14300,2662968,6231520,1414581759,298230013,19.709,5102322452,876549498,4,4,none,direct,epo,0,0.7,,,,9.378,0.0,17.0,8.066,1025476
4wide-4simd-none-epo-0.7epoRat-frombvh-0,492.0,,212903,426324,212822,2662968,6231520,1649800206,465199018,23.146,5305369806,1611244136,4,4,none,frombvh,epo,0,0.7,,,,10.463,0.0,23.0,9.219,851612
4wide-4simd-none-epo-0.7epoRat-frombvh-1,1287.0,,190956,426324,146981,2662968,6231520,1672122084,455117748,23.022,5568390490,1578188439,4,4,none,frombvh,epo,1,0.7,,,234931,10.698,0.0,27.0,9.459,1703548
4wide-4simd-none-sah-0epoRat-direct-0,558.0,,267337,787901,14547,2662968,6231520,1516536647,298012160,15.138,5493472551,867517703,4,4,none,direct,sah,0,0,,,,9.373,0.0,17.0,8.061,1069348
4wide-4simd-none-sah-0epoRat-frombvh-0,454.0,,223495,447138,223784,2662968,6231520,1643412079,432983805,14.929,5402767507,1486562296,4,4,none,frombvh,sah,0,0,,,,9.768,0.0,18.0,8.525,893980
4wide-4simd-none-sah-0epoRat-frombvh-1,1206.0,,201077,447138,156530,2662968,6231520,1673409779,417064801,16.68,5682843087,1432788709,4,4,none,frombvh,sah,1,0,,,245624,10.276,0.0,23.0,9.036,1786804
8wide-8simd-all-epo-2epoRat-direct-0,709.0,240.0,151563,426877,28249,2662968,6231520,1539002192,270150261,30.619,5162144079,1420860494,8,8,all,direct,epo,0,2,455,26568,368,9.169,0.0,17.0,7.783,609544
8wide-8simd-all-epo-2epoRat-frombvh-0,747.0,363.0,124522,297741,76262,2662968,6231520,1926328471,352491830,61.365,6019410654,2211055809,8,8,all,frombvh,epo,0,2,9589,12147,20571,12.207,0.0,29.0,10.925,618728
8wide-8simd-all-epo-2epoRat-frombvh-1,1482.0,335.0,123701,297681,73859,2662968,6231520,2004976310,358000962,52.021,6401722581,2242727094,8,8,all,frombvh,epo,1,2,8183,12207,177567,12.294,0.0,30.0,11.022,1237804
8wide-8simd-all-sah-0epoRat-direct-0,506.0,212.0,156407,435796,33862,2662968,6231520,1649362717,275004356,14.285,5566011080,1494172916,8,8,all,direct,sah,0,0,707,33407,534,9.117,0.0,16.0,7.725,630592
8wide-8simd-all-sah-0epoRat-frombvh-0,414.0,170.0,114690,276790,67717,2662968,6231520,1848427667,357564089,12.823,5715661207,2292789865,8,8,all,frombvh,sah,0,0,11870,4122,13587,9.445,0.0,18.0,8.154,560588
8wide-8simd-all-sah-0epoRat-frombvh-1,774.0,170.0,115478,276747,70124,2662968,6231520,1864497067,343911662,14.597,5910555504,2210432060,8,8,all,frombvh,sah,1,0,8275,4165,156722,9.985,0.0,22.0,8.71,1121900
8wide-8simd-none-epo-2epoRat-direct-0,705.0,,152386,453445,4150,2662968,6231520,1534411766,272595506,30.863,5175718691,1395962163,8,8,none,direct,epo,0,2,,,,9.092,0.0,17.0,7.779,609544
8wide-8simd-none-epo-2epoRat-frombvh-0,740.0,,154682,309888,154595,2662968,6231520,1941739112,357530737,63.698,6061012317,2216784354,8,8,none,frombvh,epo,0,2,,,,12.384,0.0,30.0,11.158,618728
8wide-8simd-none-epo-2epoRat-frombvh-1,1515.0,,137545,309888,103184,2662968,6231520,2005250845,361902099,52.734,6430623964,2236920091,8,8,none,frombvh,epo,1,2,,,171906,12.368,0.0,30.0,11.144,1237804
8wide-8simd-none-sah-0epoRat-direct-0,507.0,,157648,469203,4178,2662968,6231520,1642129538,278131667,14.327,5582073767,1467548993,8,8,none,direct,sah,0,0,,,,9.036,0.0,16.0,7.723,630592
8wide-8simd-none-sah-0epoRat-frombvh-0,418.0,,140147,280912,139966,2662968,6231520,1857624558,361035437,12.92,5724233881,2297487834,8,8,none,frombvh,sah,0,0,,,,9.554,0.0,18.0,8.325,560588
8wide-8simd-none-sah-0epoRat-frombvh-1,801.0,,126088,280912,97789,2662968,6231520,1865297363,346581500,14.67,5946653602,2209670976,8,8,none,frombvh,sah,1,0,,,154387,10.011,0.0,22.0,8.77,1121900
