Configuration,CreationTime,OptimizationTime,InteriorNodes,LeafNodes,EmptyNodes,PrimCount,RayCount,NodeIntersections,PrimIntersections,Metric,SISDNodeIntersections,SISDPrimIntersections,TreeWidth,SimdWidth,Optimizations,CreationMethod,SplitMethod,Variant,EpoRatio,OptiMergedInner,OptiMergedLeaf,OptiMergedParent,LeafDepthAvg,LeafDepthMin,LeafDepthMax,InteriorDepthAvg,TotalNodes
16wide-16simd-none-epo-2epoRat-direct-0,599.0,,111979,334243,2131,2662968,6231520,1691946629,241819271,28.797,5482016946,1991243079,16,16,none,direct,epo,0,2,,,,8.923,0.0,17.0,7.609,447916
16wide-16simd-none-epo-2epoRat-frombvh-0,691.0,,125994,252767,125652,2662968,6231520,2089929688,267207248,56.312,6360081546,2868389844,16,16,none,frombvh,epo,0,2,,,,12.16,0.0,30.0,10.946,503976
16wide-16simd-none-epo-2epoRat-frombvh-1,1245.0,,111593,252767,82449,2662968,6231520,2149050702,271489766,47.309,6706666853,2897663424,16,16,none,frombvh,epo,1,2,,,140737,12.102,0.0,30.0,10.883,446372
16wide-16simd-none-epo-2epoRat-frombvh-2,697.0,,120587,252767,109431,2662968,6231520,2370960368,271887056,89.752,6182032749,2921463472,16,16,none,frombvh,epo,2,2,,,,14.76,0.0,36.0,13.324,482348
16wide-16simd-none-sah-0epoRat-direct-0,450.0,,108247,323229,1949,2662968,6231520,1893469154,254576866,13.599,6086342506,2288765201,16,16,none,direct,sah,0,0,,,,8.784,0.0,15.0,7.47,432988
16wide-16simd-none-sah-0epoRat-frombvh-0,377.0,,112229,225417,111707,2662968,6231520,2092189688,273514005,11.972,6245256509,3101363310,16,16,none,frombvh,sah,0,0,,,,9.325,0.0,18.0,8.101,448916
16wide-16simd-none-sah-0epoRat-frombvh-1,668.0,,100309,225417,75947,2662968,6231520,2088432768,262545365,13.652,6460429314,2987263145,16,16,none,frombvh,sah,1,0,,,124671,9.754,0.0,22.0,8.523,401236
16wide-16simd-none-sah-0epoRat-frombvh-2,383.0,,109216,225417,102668,2662968,6231520,2325291427,273815209,13.551,5939688290,3111785868,16,16,none,frombvh,sah,2,0,,,,10.964,0.0,23.0,9.537,436864
4wide-4simd-none-epo-0.7epoRat-direct-0,826.0,,256369,755244,14300,2662968,6231520,1414581759,298230013,19.709,5102322452,876549498,4,4,none,direct,epo,0,0.7,,,,9.378,0.0,17.0,8.066,1025476
4wide-4simd-none-epo-0.7epoRat-frombvh-0,514.0,,212903,426324,212822,2662968,6231520,1649800206,465199018,23.146,5305369806,1611244136,4,4,none,frombvh,epo,0,0.7,,,,10.463,0.0,23.0,9.219,851612
4wide-4simd-none-epo-0.7epoRat-frombvh-1,1214.0,,190956,426324,146981,2662968,6231520,1672122084,455117748,23.022,5568390490,1578188439,4,4,none,frombvh,epo,1,0.7,,,234931,10.698,0.0,27.0,9.459,763824
4wide-4simd-none-epo-0.7epoRat-frombvh-2,509.0,,207605,426324,196928,2662968,6231520,1832572509,451934400,30.631,5123221105,1565331777,4,4,none,frombvh,epo,2,0.7,,,,13.047,0.0,31.0,11.61,830420
4wide-4simd-none-sah-0epoRat-direct-0,532.0,,267337,787901,14547,2662968,6231520,1516536647,298012160,15.138,5493472551,867517703,4,4,none,direct,sah,0,0,,,,9.373,0.0,17.0,8.061,1069348
4wide-4simd-none-sah-0epoRat-frombvh-0,411.0,,223495,447138,223784,2662968,6231520,1643412079,432983805,14.929,5402767507,1486562296,4,4,none,frombvh,sah,0,0,,,,9.768,0.0,18.0,8.525,893980
4wide-4simd-none-sah-0epoRat-frombvh-1,1012.0,,201077,447138,156530,2662968,6231520,1673409779,417064801,16.68,5682843087,1432788709,4,4,none,frombvh,sah,1,0,,,245624,10.276,0.0,23.0,9.036,804308
4wide-4simd-none-sah-0epoRat-frombvh-2,430.0,,218475,447138,208724,2662968,6231520,1946650974,437992357,18.0,5455869783,1503711744,4,4,none,frombvh,sah,2,0,,,,12.669,0.0,26.0,11.238,873900
8wide-8simd-none-epo-2epoRat-direct-0,683.0,,152386,453445,4150,2662968,6231520,1534411766,272595506,30.863,5175718691,1395962163,8,8,none,direct,epo,0,2,,,,9.092,0.0,17.0,7.779,609544
8wide-8simd-none-epo-2epoRat-frombvh-0,699.0,,154682,309888,154595,2662968,6231520,1941739112,357530737,63.767,6061012317,2216784354,8,8,none,frombvh,epo,0,2,,,,12.384,0.0,30.0,11.158,618728
8wide-8simd-none-epo-2epoRat-frombvh-1,1426.0,,137545,309888,103184,2662968,6231520,2005250845,361902099,52.734,6430623964,2236920091,8,8,none,frombvh,epo,1,2,,,171906,12.368,0.0,30.0,11.144,550180
8wide-8simd-none-epo-2epoRat-frombvh-2,703.0,,147971,309888,134462,2662968,6231520,2215327805,352938513,105.008,5848870963,2189567121,8,8,none,frombvh,epo,2,2,,,,15.004,0.0,35.0,13.557,591884
