Configuration,CreationTime,OptimizationTime,InteriorNodes,LeafNodes,EmptyNodes,PrimCount,RayCount,NodeIntersections,PrimIntersections,Metric,SISDNodeIntersections,SISDPrimIntersections,TreeWidth,SimdWidth,Optimizations,CreationMethod,SplitMethod,Variant,EpoRatio,OptiMergedInner,OptiMergedLeaf,OptiMergedParent,LeafDepthAvg,LeafDepthMin,LeafDepthMax,InteriorDepthAvg,TotalNodes
4wide-4simd-none-epo-0.2epoRat-direct-0,908.0,,263781,777208,14572,2662968,6231520,1442236823,296691577,16.172,5204756446,866491711,4,4,none,direct,epo,0,0.2,,,,9.395,0.0,17.0,8.083,1055124
4wide-4simd-none-epo-0.2epoRat-direct-1,1491.0,,262241,660399,126761,2662968,6231520,1650608733,322106373,18.03,5633074524,1033992174,4,4,none,direct,epo,1,0.2,,,,10.124,0.0,20.0,8.81,1048964
4wide-4simd-none-epo-0.2epoRat-direct-2,18872.0,,253919,685944,76250,2662968,6231520,1512980103,300051450,16.546,5262914328,956190782,4,4,none,direct,epo,2,0.2,,,,9.739,0.0,19.0,8.404,1015676
4wide-4simd-none-epo-0.2epoRat-direct-3,32597.0,,253566,746196,14939,2662968,6231520,1540659652,317078455,17.081,5460942374,942440474,4,4,none,direct,epo,3,0.2,,,,10.682,0.0,20.0,9.37,1014264
4wide-4simd-none-epo-0.3epoRat-direct-0,878.0,,262143,772367,14499,2662968,6231520,1432793623,295541004,16.824,5174370555,863469003,4,4,none,direct,epo,0,0.3,,,,9.393,0.0,17.0,8.079,1048572
4wide-4simd-none-epo-0.3epoRat-direct-1,1465.0,,260087,653472,127226,2662968,6231520,1668635149,326989323,19.077,5709587716,1055006552,4,4,none,direct,epo,1,0.3,,,,10.113,0.0,20.0,8.806,1040348
4wide-4simd-none-epo-0.3epoRat-direct-2,19294.0,,252306,681728,75627,2662968,6231520,1511702642,299397229,17.342,5259392666,953762296,4,4,none,direct,epo,2,0.3,,,,9.732,0.0,19.0,8.398,1009224
4wide-4simd-none-epo-0.3epoRat-direct-3,31642.0,,251935,741410,14832,2662968,6231520,1552090292,324561625,17.798,5482665600,974565171,4,4,none,direct,epo,3,0.3,,,,10.697,0.0,20.0,9.386,1007740
4wide-4simd-none-epo-0.4epoRat-direct-0,898.0,,260899,768679,14455,2662968,6231520,1425405652,293226656,17.492,5150409890,858168157,4,4,none,direct,epo,0,0.4,,,,9.399,0.0,17.0,8.086,1043596
4wide-4simd-none-epo-0.4epoRat-direct-1,1606.0,,258120,646618,128179,2662968,6231520,1692441013,329626008,20.045,5785190354,1062915887,4,4,none,direct,epo,1,0.4,,,,10.184,0.0,22.0,8.884,1032480
4wide-4simd-none-epo-0.4epoRat-direct-2,20946.0,,250923,677786,75420,2662968,6231520,1513600818,299449488,18.109,5267432925,955145441,4,4,none,direct,epo,2,0.4,,,,9.73,0.0,18.0,8.4,1003692
4wide-4simd-none-epo-0.4epoRat-direct-3,31728.0,,249897,735443,14685,2662968,6231520,1534908919,317252584,18.805,5435739037,951587888,4,4,none,direct,epo,3,0.4,,,,10.709,0.0,22.0,9.398,999588
4wide-4simd-none-epo-0.5epoRat-direct-0,850.0,,259238,763752,14399,2662968,6231520,1419412512,296252127,18.255,5124667299,868263994,4,4,none,direct,epo,0,0.5,,,,9.379,0.0,17.0,8.066,1036952
4wide-4simd-none-epo-0.5epoRat-direct-1,1550.0,,256703,641390,129156,2662968,6231520,1692840394,331464704,21.125,5778409355,1070653942,4,4,none,direct,epo,1,0.5,,,,10.186,0.0,22.0,8.892,1026812
4wide-4simd-none-epo-0.5epoRat-direct-2,19196.0,,249600,673846,75391,2662968,6231520,1512998203,299674548,19.03,5265553193,954790053,4,4,none,direct,epo,2,0.5,,,,9.727,0.0,19.0,8.4,998400
4wide-4simd-none-epo-0.5epoRat-direct-3,35095.0,,248660,731723,14694,2662968,6231520,1476517339,304342664,19.456,5275693008,914402682,4,4,none,direct,epo,3,0.5,,,,10.644,0.0,21.0,9.334,994640
4wide-4simd-none-epo-0.6epoRat-direct-0,817.0,,257830,759568,14359,2662968,6231520,1417085108,297624179,18.984,5111885614,872210406,4,4,none,direct,epo,0,0.6,,,,9.378,0.0,17.0,8.065,1031320
4wide-4simd-none-epo-0.6epoRat-direct-1,1413.0,,255731,637146,130484,2662968,6231520,1694862778,328126183,22.414,5757394521,1047634286,4,4,none,direct,epo,1,0.6,,,,10.249,0.0,22.0,8.962,1022924
4wide-4simd-none-epo-0.6epoRat-direct-2,20060.0,,248168,669629,75312,2662968,6231520,1512473458,300648245,19.952,5264261970,959489774,4,4,none,direct,epo,2,0.6,,,,9.721,0.0,19.0,8.397,992672
4wide-4simd-none-epo-0.6epoRat-direct-3,34673.0,,247444,728198,14571,2662968,6231520,1476695844,306405694,20.708,5282161338,920059912,4,4,none,direct,epo,3,0.6,,,,10.632,0.0,20.0,9.322,989776
4wide-4simd-none-epo-0.7epoRat-direct-0,831.0,,256369,755244,14300,2662968,6231520,1414581759,298230013,19.709,5102322452,876549498,4,4,none,direct,epo,0,0.7,,,,9.378,0.0,17.0,8.066,1025476
4wide-4simd-none-epo-0.7epoRat-direct-1,1649.0,,254733,632785,131851,2662968,6231520,1709336197,327995044,23.926,5772134294,1049510903,4,4,none,direct,epo,1,0.7,,,,10.521,0.0,27.0,9.243,1018932
4wide-4simd-none-epo-0.7epoRat-direct-2,17760.0,,246863,665757,75269,2662968,6231520,1512867433,302180530,20.544,5265121216,966626881,4,4,none,direct,epo,2,0.7,,,,9.721,0.0,18.0,8.4,987452
4wide-4simd-none-epo-0.7epoRat-direct-3,35143.0,,245986,723792,14603,2662968,6231520,1505683416,314009229,22.041,5377455588,938718096,4,4,none,direct,epo,3,0.7,,,,10.71,0.0,20.0,9.4,983944
4wide-4simd-none-epo-0.8epoRat-direct-0,791.0,,255358,752039,14472,2662968,6231520,1435102369,296030523,20.769,5168528579,861780429,4,4,none,direct,epo,0,0.8,,,,9.336,0.0,17.0,8.025,1021432
4wide-4simd-none-epo-0.8epoRat-direct-1,1409.0,,253801,628999,132841,2662968,6231520,1723279362,332248613,25.461,5807552997,1064352921,4,4,none,direct,epo,1,0.8,,,,10.54,0.0,27.0,9.266,1015204
4wide-4simd-none-epo-0.8epoRat-direct-2,18099.0,,245942,662688,75575,2662968,6231520,1512144534,305979176,21.445,5258325521,982072469,4,4,none,direct,epo,2,0.8,,,,9.721,0.0,18.0,8.403,983768
4wide-4simd-none-epo-0.8epoRat-direct-3,35954.0,,244744,720178,14491,2662968,6231520,1503727476,313632755,23.248,5366407900,941823760,4,4,none,direct,epo,3,0.8,,,,10.726,0.0,22.0,9.417,978976
4wide-4simd-none-epo-1.0epoRat-direct-0,779.0,,252834,744521,14418,2662968,6231520,1432232387,294916263,22.529,5150564473,857051657,4,4,none,direct,epo,0,1.0,,,,9.337,0.0,17.0,8.027,1011336
4wide-4simd-none-epo-1.0epoRat-direct-1,1482.0,,252469,622711,135133,2662968,6231520,1739983772,334116706,28.819,5840889748,1070687816,4,4,none,direct,epo,1,1.0,,,,10.625,0.0,33.0,9.358,1009876
4wide-4simd-none-epo-1.0epoRat-direct-2,17188.0,,243894,656044,76075,2662968,6231520,1504623251,304680865,23.65,5233531294,975748554,4,4,none,direct,epo,2,1.0,,,,9.776,0.0,19.0,8.464,975576
4wide-4simd-none-epo-1.0epoRat-direct-3,34064.0,,242592,713707,14506,2662968,6231520,1499756107,314166806,26.224,5352037462,946973794,4,4,none,direct,epo,3,1.0,,,,10.73,0.0,22.0,9.422,970368
4wide-4simd-none-epo-2.5epoRat-direct-0,764.0,,238977,703566,13802,2662968,6231520,1435312895,310408136,42.32,5151828728,915649725,4,4,none,direct,epo,0,2.5,,,,9.344,0.0,17.0,8.035,955908
4wide-4simd-none-epo-2.5epoRat-direct-1,1591.0,,251709,595691,159873,2662968,6231520,1986234820,354768294,133.229,6414069231,1146924851,4,4,none,direct,epo,1,2.5,,,,11.94,0.0,42.0,10.754,1006836
4wide-4simd-none-epo-2.5epoRat-direct-2,16111.0,,233726,621909,79706,2662968,6231520,1488376493,315822938,43.647,5134461530,1004055143,4,4,none,direct,epo,2,2.5,,,,10.05,0.0,20.0,8.771,934904
4wide-4simd-none-epo-2.5epoRat-direct-3,29871.0,,230480,677035,14842,2662968,6231520,1558028258,329322529,74.469,5525182999,982334525,4,4,none,direct,epo,3,2.5,,,,10.867,0.0,22.0,9.566,921920
4wide-4simd-none-epo-5.0epoRat-direct-0,784.0,,225209,662659,13405,2662968,6231520,1486372867,323748390,173.802,5311069751,973317862,4,4,none,direct,epo,0,5.0,,,,9.72,0.0,19.0,8.417,900836
4wide-4simd-none-epo-5.0epoRat-direct-1,,,,,,,,,,,,,4,4,none,direct,epo,1,5.0,,,,,,,,
4wide-4simd-none-epo-5.0epoRat-direct-2,18705.0,,224845,593095,81877,2662968,6231520,1559956332,346034221,136.176,5301772468,1107610037,4,4,none,direct,epo,2,5.0,,,,10.418,0.0,24.0,9.175,899380
4wide-4simd-none-epo-5.0epoRat-direct-3,28289.0,,220587,647032,15166,2662968,6231520,1528729214,328394812,522.364,5436111293,984458198,4,4,none,direct,epo,3,5.0,,,,10.879,0.0,24.0,9.581,882348
