Configuration,CreationTime,OptimizationTime,InteriorNodes,LeafNodes,EmptyNodes,PrimCount,RayCount,NodeIntersections,PrimIntersections,Metric,SISDNodeIntersections,SISDPrimIntersections,TreeWidth,SimdWidth,Optimizations,CreationMethod,SplitMethod,Variant,EpoRatio,OptiMergedInner,OptiMergedLeaf,OptiMergedParent,LeafDepthAvg,LeafDepthMin,LeafDepthMax,InteriorDepthAvg,TotalNodes
16wide-16simd-none-epo-0.2epoRat-direct-0,3752.0,,30593,391185,67725,2625112,6264000,265470534,100004285,13.105,3830605554,936082585,16,16,none,direct,epo,0,0.2,,,,5.238,1.0,8.0,4.19,489488
16wide-16simd-none-epo-0.3epoRat-direct-0,3782.0,,30446,388429,68276,2625112,6264000,264296143,99943827,13.32,3847833548,926943759,16,16,none,direct,epo,0,0.3,,,,5.235,1.0,8.0,4.189,487136
16wide-16simd-none-epo-0.4epoRat-direct-0,3731.0,,30442,388506,68139,2625112,6264000,271497368,102841272,13.814,3885761611,911007393,16,16,none,direct,epo,0,0.4,,,,5.236,1.0,8.0,4.189,487072
16wide-16simd-none-epo-0.5epoRat-direct-0,3652.0,,30299,386267,68233,2625112,6264000,271653954,101084740,13.964,3889635160,881778959,16,16,none,direct,epo,0,0.5,,,,5.237,1.0,8.0,4.191,484784
16wide-16simd-none-epo-0.6epoRat-direct-0,3732.0,,30382,387460,68285,2625112,6264000,268798796,115011396,14.119,3836575135,1099427288,16,16,none,direct,epo,0,0.6,,,,5.239,1.0,8.0,4.194,486112
16wide-16simd-none-epo-0.7epoRat-direct-0,3729.0,,30339,386816,68284,2625112,6264000,267988485,115930200,14.387,3798374181,1090275879,16,16,none,direct,epo,0,0.7,,,,5.24,1.0,8.0,4.195,485424
16wide-16simd-none-epo-0.8epoRat-direct-0,3515.0,,30168,383377,69158,2625112,6264000,258124087,114298232,14.026,3628659466,1135217137,16,16,none,direct,epo,0,0.8,,,,5.192,1.0,8.0,4.152,482688
16wide-16simd-none-epo-0.9epoRat-direct-0,3432.0,,29911,380586,68094,2625112,6264000,258065629,114427623,14.254,3627623350,1134164199,16,16,none,direct,epo,0,0.9,,,,5.189,1.0,8.0,4.149,478576
16wide-16simd-none-epo-1.0epoRat-direct-0,3575.0,,29890,380017,68348,2625112,6264000,258872987,123574574,14.468,3586855643,1221915992,16,16,none,direct,epo,0,1.0,,,,5.187,1.0,8.0,4.146,478240
16wide-16simd-none-epo-1.5epoRat-direct-0,3732.0,,29661,376422,68508,2625112,6264000,255776203,120073889,15.894,3574449516,1168253923,16,16,none,direct,epo,0,1.5,,,,5.189,1.0,8.0,4.149,474576
16wide-16simd-none-epo-2.0epoRat-direct-0,3641.0,,30685,386685,73605,2625112,6264000,267644632,126862461,16.158,3786488354,1209010214,16,16,none,direct,epo,0,2.0,,,,5.369,1.0,8.0,4.321,490960
16wide-16simd-none-epo-3.0epoRat-direct-0,3580.0,,28968,364489,70046,2625112,6264000,287125092,104921148,18.591,3977821996,888901851,16,16,none,direct,epo,0,3.0,,,,5.29,1.0,8.0,4.253,463488
16wide-16simd-none-epo-5.0epoRat-direct-0,3544.0,,28661,362814,67116,2625112,6264000,297782475,99900307,24.148,4171878714,756147888,16,16,none,direct,epo,0,5.0,,,,5.305,1.0,8.0,4.261,458576
2wide-2simd-none-epo-0.2epoRat-direct-0,415.0,,996794,996809,,2625112,6264000,1484889579,69335074,55.98,1583686003,126321904,2,2,none,direct,epo,0,0.2,,,,,,,,
2wide-2simd-none-epo-0.3epoRat-direct-0,398.0,,990486,990501,,2625112,6264000,1493848352,68839242,62.142,1592723434,124897844,2,2,none,direct,epo,0,0.3,,,,,,,,
