Configuration,CreationTime,OptimizationTime,InteriorNodes,LeafNodes,EmptyNodes,PrimCount,RayCount,NodeIntersections,PrimIntersections,Metric,SISDNodeIntersections,SISDPrimIntersections,TreeWidth,SimdWidth,Optimizations,CreationMethod,SplitMethod,Variant,EpoRatio,OptiMergedInner,OptiMergedLeaf,OptiMergedParent,LeafDepthAvg,LeafDepthMin,LeafDepthMax,InteriorDepthAvg,TotalNodes
16wide-16simd-none-epo-0.4epoRat-direct-0,4602.0,,53099,725461,71025,3540215,22400000,1017601668,638835874,1.881,15378308657,4546614967,16,16,none,direct,epo,0,0.4,,,,5.685,1.0,7.0,4.632,849584
16wide-16simd-none-epo-0.5epoRat-frombvh-0,604.0,,67706,271229,744362,3540215,22400000,1150625431,635766457,2.047,14111829636,7660137732,16,16,none,frombvh,epo,0,0.5,,,,6.0,2.0,10.0,5.122,1083296
16wide-16simd-none-sah-0epoRat-direct-0,1051.0,,40231,568109,35357,3540215,22400000,1108233300,685085038,3.511,16731345896,5116563327,16,16,none,direct,sah,0,0,,,,5.478,2.0,7.0,4.418,643696
16wide-16simd-none-sah-0epoRat-frombvh-0,501.0,,39080,154546,431655,3540215,22400000,1105294219,849392131,3.548,13786869170,11064743289,16,16,none,frombvh,sah,0,0,,,,5.55,2.0,8.0,4.684,625280
4wide-4simd-none-epo-0.3epoRat-direct-0,1107.0,,417729,1245610,7578,3540215,22400000,2472009922,815363261,2.997,9850258891,2533963326,4,4,none,direct,epo,0,0.3,,,,11.811,3.0,16.0,10.48,1670916
4wide-4simd-none-epo-0.3epoRat-frombvh-0,720.0,,453176,906594,452935,3540215,22400000,2620210071,902478771,3.171,9940602620,3088438870,4,4,none,frombvh,epo,0,0.3,,,,12.215,3.0,18.0,10.965,1812704
4wide-4simd-none-sah-0epoRat-direct-0,763.0,,370298,1106062,4833,3540215,22400000,2530014085,868593249,5.032,10073860333,2771633087,4,4,none,direct,sah,0,0,,,,11.498,3.0,16.0,10.167,1481192
4wide-4simd-none-sah-0epoRat-frombvh-0,565.0,,316280,632623,316218,3540215,22400000,2536190257,1181141395,6.959,9537221949,4210298858,4,4,none,frombvh,sah,0,0,,,,11.702,3.0,16.0,10.452,1265120
8wide-8simd-none-epo-0.4epoRat-direct-0,2109.0,,141021,951301,35847,3540215,22400000,1502850346,716687245,2.34,11779646215,3099223885,8,8,none,direct,epo,0,0.4,,,,7.579,2.0,10.0,6.446,1128168
8wide-8simd-none-epo-0.4epoRat-frombvh-0,644.0,,162652,488666,649899,3540215,22400000,1648483312,742480141,2.561,11010772233,4800515897,8,8,none,frombvh,epo,0,0.4,,,,8.055,2.0,13.0,7.059,1301216
8wide-8simd-none-sah-0epoRat-direct-0,927.0,,114696,787090,15783,3540215,22400000,1554684305,765434045,3.729,12166570452,3516330897,8,8,none,direct,sah,0,0,,,,7.293,2.0,10.0,6.154,917568
8wide-8simd-none-sah-0epoRat-frombvh-0,529.0,,103540,310260,414521,3540215,22400000,1481448344,1064636683,4.681,10342857434,7231506846,8,8,none,frombvh,sah,0,0,,,,7.598,2.0,11.0,6.599,828320
