Configuration,CreationTime,OptimizationTime,InteriorNodes,LeafNodes,EmptyNodes,PrimCount,RayCount,NodeIntersections,PrimIntersections,Metric,SISDNodeIntersections,SISDPrimIntersections,TreeWidth,SimdWidth,Optimizations,CreationMethod,SplitMethod,Variant,EpoRatio,OptiMergedInner,OptiMergedLeaf,OptiMergedParent,LeafDepthAvg,LeafDepthMin,LeafDepthMax,InteriorDepthAvg,TotalNodes
16wide-16simd-none-epo-0.3epoRat-direct-0,2703.0,,22532,303798,34183,2880000,16785408,501857523,557203330,67.815,7822851545,6420930466,16,16,none,direct,epo,0,0.3,,,,4.859,3.0,7.0,3.808,360512
16wide-16simd-none-epo-0.4epoRat-frombvh-0,395.0,,50324,199689,555172,2880000,16785408,640011819,313475560,42.23,7216655724,4105168986,16,16,none,frombvh,epo,0,0.4,,,,5.03,3.0,13.0,4.094,805184
16wide-16simd-none-sah-0epoRat-direct-0,728.0,,26635,381889,17637,2880000,16785408,539755607,549952982,92.591,8527122896,5513431294,16,16,none,direct,sah,0,0,,,,4.889,3.0,6.0,3.828,426160
16wide-16simd-none-sah-0epoRat-frombvh-0,363.0,,36917,128777,424979,2880000,16785408,593110909,508630544,92.189,6713163290,7335942948,16,16,none,frombvh,sah,0,0,,,,4.819,3.0,8.0,3.899,590672
4wide-4simd-none-epo-0.2epoRat-frombvh-0,415.0,,167614,335474,167369,2880000,16785408,1403404888,749354815,52.551,5224337256,2813152766,4,4,none,frombvh,epo,0,0.2,,,,10.024,6.0,24.0,8.774,670456
4wide-4simd-none-epo-0.5epoRat-direct-0,737.0,,188477,564107,1325,2880000,16785408,1387301157,721113074,9.276,5547794558,2473983161,4,4,none,direct,epo,0,0.5,,,,10.206,6.0,22.0,8.874,753908
4wide-4simd-none-sah-0epoRat-direct-0,556.0,,182624,546732,1141,2880000,16785408,1421310734,738816880,169.937,5683447077,2510981937,4,4,none,direct,sah,0,0,,,,10.01,7.0,14.0,8.678,730496
4wide-4simd-none-sah-0epoRat-frombvh-0,401.0,,156152,312034,156423,2880000,16785408,1401537993,781419516,170.905,5216144265,2941818482,4,4,none,frombvh,sah,0,0,,,,9.841,6.0,15.0,8.592,624608
8wide-8simd-none-epo-0.2epoRat-direct-0,1516.0,,56958,393239,5468,2880000,16785408,783247222,531664812,65.283,6252155401,3198020577,8,8,none,direct,epo,0,0.2,,,,6.498,4.0,10.0,5.361,455664
8wide-8simd-none-epo-0.4epoRat-frombvh-0,421.0,,94238,281862,377805,2880000,16785408,872118692,455030296,38.421,5779217550,2868874334,8,8,none,frombvh,epo,0,0.4,,,,6.778,4.0,20.0,5.782,753904
8wide-8simd-none-sah-0epoRat-direct-0,690.0,,61235,423086,5560,2880000,16785408,810760434,528117128,112.082,6471374191,3086965137,8,8,none,direct,sah,0,0,,,,6.501,5.0,8.0,5.363,489880
8wide-8simd-none-sah-0epoRat-frombvh-0,371.0,,71575,216108,284918,2880000,16785408,835664941,555114932,116.215,5571965419,3828140926,8,8,none,frombvh,sah,0,0,,,,6.466,4.0,10.0,5.493,572600
