Configuration,CreationTime,OptimizationTime,InteriorNodes,LeafNodes,EmptyNodes,PrimCount,RayCount,NodeIntersections,PrimIntersections,Metric,SISDNodeIntersections,SISDPrimIntersections,TreeWidth,SimdWidth,Optimizations,CreationMethod,SplitMethod,Variant,EpoRatio,OptiMergedInner,OptiMergedLeaf,OptiMergedParent,LeafDepthAvg,LeafDepthMin,LeafDepthMax,InteriorDepthAvg,TotalNodes
16wide-16simd-none-epo-0.6epoRat-direct-0,2704.0,,40833,483815,129117,2662968,24926080,3873782221,1050508575,5.114,40970414814,7896511247,16,16,none,direct,epo,0,0.6,,,,4.618,0.0,8.0,3.663,653328
16wide-16simd-none-epo-0.7epoRat-frombvh-0,654.0,,66416,266826,729851,2662968,24926080,5577599051,994699482,4.446,46079260347,10241086845,16,16,none,frombvh,epo,0,0.7,,,,6.831,0.0,20.0,5.975,1062656
16wide-16simd-none-sah-0epoRat-direct-0,645.0,,33850,437217,70970,2662968,24926080,4849238130,1081658848,8.391,49624795788,8334191364,16,16,none,direct,sah,0,0,,,,4.454,0.0,8.0,3.459,541600
16wide-16simd-none-sah-0epoRat-frombvh-0,357.0,,30928,124654,339703,2662968,24926080,8637736616,1524483139,7.852,62188273534,19858254092,16,16,none,frombvh,sah,0,0,,,,4.713,0.0,9.0,3.821,494848
4wide-4simd-none-epo-0.3epoRat-direct-0,664.0,,298617,878052,18236,2662968,24926080,5557142098,1122765951,7.37,20212488516,3119449282,4,4,none,direct,epo,0,0.3,,,,9.825,0.0,18.0,8.513,1194468
4wide-4simd-none-epo-0.4epoRat-frombvh-0,601.0,,348058,696726,347885,2662968,24926080,6265732647,1257016745,4.922,21323696775,4125645631,4,4,none,frombvh,epo,0,0.4,,,,11.388,0.0,26.0,10.144,1392232
4wide-4simd-none-sah-0epoRat-direct-0,513.0,,267337,787901,14547,2662968,24926080,6047092272,1187763705,15.138,21911571738,3458338952,4,4,none,direct,sah,0,0,,,,9.373,0.0,17.0,8.061,1069348
4wide-4simd-none-sah-0epoRat-frombvh-0,395.0,,223495,447138,223784,2662968,24926080,6554600676,1726744116,14.929,21553120266,5929709147,4,4,none,frombvh,sah,0,0,,,,9.768,0.0,18.0,8.525,893980
8wide-8simd-none-epo-0.7epoRat-frombvh-0,676.0,,169018,507246,676317,2662968,24926080,5430555172,1072452089,3.728,30240367327,5917431944,8,8,none,frombvh,epo,0,0.7,,,,9.354,0.0,27.0,8.358,1352144
8wide-8simd-none-epo-0.8epoRat-direct-0,1415.0,,112002,701644,82807,2662968,24926080,4199995421,1037098858,3.682,26261619827,4380932979,8,8,none,direct,epo,0,0.8,,,,6.774,0.0,13.0,5.685,896016
8wide-8simd-none-sah-0epoRat-direct-0,523.0,,86875,566876,41686,2662968,24926080,4705918358,1195824843,10.055,29141833283,5815459231,8,8,none,direct,sah,0,0,,,,6.042,0.0,10.0,4.953,695000
8wide-8simd-none-sah-0epoRat-frombvh-0,380.0,,80540,242021,322196,2662968,24926080,6133850629,1551562597,10.614,30742263394,10203852830,8,8,none,frombvh,sah,0,0,,,,6.484,0.0,12.0,5.492,644320
