Configuration,CreationTime,OptimizationTime,InteriorNodes,LeafNodes,EmptyNodes,PrimCount,RayCount,NodeIntersections,PrimIntersections,Metric,SISDNodeIntersections,SISDPrimIntersections,TreeWidth,SimdWidth,Optimizations,CreationMethod,SplitMethod,Variant,EpoRatio,OptiMergedInner,OptiMergedLeaf,OptiMergedParent,LeafDepthAvg,LeafDepthMin,LeafDepthMax,InteriorDepthAvg,TotalNodes
4wide-4simd-none-epo-0.1epoRat-direct-0,1450.0,,397646,1186991,5948,3540215,5600000,634333981,209780985,4.136,2531503042,656162113,4,4,none,direct,epo,0,0.1,,,,11.592,3.0,16.0,10.261,1590584
4wide-4simd-none-epo-0.1epoRat-direct-1,2772.0,,426793,1016562,263818,3540215,5600000,703833812,207477177,4.775,2696147543,695160037,4,4,none,direct,epo,1,0.1,,,,12.03,3.0,17.0,10.755,1707172
4wide-4simd-none-epo-0.1epoRat-direct-2,27065.0,,405454,1033683,182680,3540215,5600000,660112638,197902602,4.702,2592359861,657987385,4,4,none,direct,epo,2,0.1,,,,11.706,3.0,17.0,10.415,1621816
4wide-4simd-none-epo-0.1epoRat-direct-3,46663.0,,404412,1194113,19124,3540215,5600000,692210834,207752387,5.276,2762654512,636151637,4,4,none,direct,epo,3,0.1,,,,12.023,3.0,18.0,10.696,1617648
4wide-4simd-none-epo-0.2epoRat-direct-0,1471.0,,420493,1254331,7149,3540215,5600000,636768904,207598364,3.427,2538145365,628674536,4,4,none,direct,epo,0,0.2,,,,11.644,3.0,16.0,10.313,1681972
4wide-4simd-none-epo-0.2epoRat-direct-1,2810.0,,463095,1073516,315770,3540215,5600000,711637259,201345609,3.846,2717723643,668415469,4,4,none,direct,epo,1,0.2,,,,12.094,3.0,17.0,10.823,1852380
4wide-4simd-none-epo-0.2epoRat-direct-2,28278.0,,439025,1093012,224064,3540215,5600000,667283389,192192779,3.775,2613467543,632598848,4,4,none,direct,epo,2,0.2,,,,11.774,3.0,17.0,10.488,1756100
4wide-4simd-none-epo-0.2epoRat-direct-3,48054.0,,441865,1302880,22716,3540215,5600000,700860966,202815283,4.09,2796364288,604355166,4,4,none,direct,epo,3,0.2,,,,12.1,3.0,19.0,10.774,1767460
4wide-4simd-none-epo-0.3epoRat-direct-0,1479.0,,439331,1309571,8423,3540215,5600000,636318641,205151888,2.871,2537016796,614825932,4,4,none,direct,epo,0,0.3,,,,11.767,3.0,16.0,10.437,1757324
4wide-4simd-none-epo-0.3epoRat-direct-1,2826.0,,488137,1109396,355016,3540215,5600000,718121513,197825564,3.132,2731343077,652646109,4,4,none,direct,epo,1,0.3,,,,12.156,3.0,18.0,10.886,1952548
4wide-4simd-none-epo-0.3epoRat-direct-2,29169.0,,461570,1132088,252623,3540215,5600000,669956501,189996558,3.062,2619363952,620158822,4,4,none,direct,epo,2,0.3,,,,11.826,3.0,17.0,10.543,1846280
4wide-4simd-none-epo-0.3epoRat-direct-3,48958.0,,468795,1381246,25140,3540215,5600000,707952849,202641458,3.226,2824742970,587820687,4,4,none,direct,epo,3,0.3,,,,12.102,3.0,19.0,10.776,1875180
4wide-4simd-none-epo-0.4epoRat-direct-0,1391.0,,454724,1354608,9565,3540215,5600000,640725133,205071456,2.427,2553773870,601878171,4,4,none,direct,epo,0,0.4,,,,11.827,3.0,17.0,10.497,1818896
4wide-4simd-none-epo-0.4epoRat-direct-1,2880.0,,506573,1132167,387553,3540215,5600000,725146801,195580743,2.579,2747564470,642169625,4,4,none,direct,epo,1,0.4,,,,12.205,3.0,20.0,10.935,2026292
4wide-4simd-none-epo-0.4epoRat-direct-2,29800.0,,475991,1155824,272150,3540215,5600000,671979225,187368111,2.511,2623186546,604441777,4,4,none,direct,epo,2,0.4,,,,11.86,3.0,17.0,10.578,1903964
