Configuration,CreationTime,OptimizationTime,InteriorNodes,LeafNodes,EmptyNodes,PrimCount,RayCount,NodeIntersections,PrimIntersections,Metric,SISDNodeIntersections,SISDPrimIntersections,TreeWidth,SimdWidth,Optimizations,CreationMethod,SplitMethod,Variant,EpoRatio,OptiMergedInner,OptiMergedLeaf,OptiMergedParent,LeafDepthAvg,LeafDepthMin,LeafDepthMax,InteriorDepthAvg,TotalNodes
16wide-16simd-all-epo-0.1epoRat-direct-0,4494.0,1013.0,41187,530576,87230,3540215,5600000,264587256,154348490,3.081,3928267007,1592355462,16,16,all,direct,epo,0,0.1,1767,76811,265,5.5,2.0,7.0,4.46,658992
16wide-16simd-all-epo-0.1epoRat-frombvh-0,514.0,531.0,15483,178662,53584,3540215,5600000,300466226,178354864,3.193,4195972302,2423147098,16,16,all,frombvh,epo,0,0.1,21838,1022,8070,5.49,2.0,8.0,4.48,247728
16wide-16simd-all-epo-0.2epoRat-direct-0,4630.0,1123.0,44201,564753,98263,3540215,5600000,253433281,153371464,2.757,3821919711,1419233003,16,16,all,direct,epo,0,0.2,2185,86809,355,5.603,2.0,7.0,4.562,707216
16wide-16simd-all-epo-0.2epoRat-frombvh-0,509.0,581.0,17613,203302,60894,3540215,5600000,310091327,168103867,2.889,4348953106,2251819240,16,16,all,frombvh,epo,0,0.2,24990,1320,8879,5.555,2.0,8.0,4.545,281808
16wide-16simd-all-epo-0.3epoRat-direct-0,4629.0,1225.0,46627,589335,110071,3540215,5600000,255760563,151905873,2.48,3755741366,1482020378,16,16,all,direct,epo,0,0.3,2734,99079,466,5.643,1.0,7.0,4.602,746032
16wide-16simd-all-epo-0.3epoRat-frombvh-0,560.0,693.0,19571,224667,68899,3540215,5600000,326780797,156167879,2.672,4485104068,2070076415,16,16,all,frombvh,epo,0,0.3,27542,1892,9753,5.679,2.0,8.0,4.673,313136
16wide-16simd-all-epo-0.4epoRat-direct-0,4585.0,1314.0,49126,615138,121753,3540215,5600000,258362822,150754600,2.266,3748416366,1511980210,16,16,all,direct,epo,0,0.4,3453,110323,520,5.653,1.0,7.0,4.612,786016
16wide-16simd-all-epo-0.4epoRat-frombvh-0,595.0,746.0,21557,244914,78442,3540215,5600000,309901435,149105892,2.348,4355329225,1941660235,16,16,all,frombvh,epo,0,0.4,29574,3064,10902,5.771,2.0,8.0,4.778,344912
16wide-16simd-all-epo-0.5epoRat-direct-0,4714.0,1372.0,50700,631037,129464,3540215,5600000,271085943,150169524,2.043,3842024176,1482085347,16,16,all,direct,epo,0,0.5,4388,119669,624,5.678,2.0,8.0,4.636,811200
16wide-16simd-all-epo-0.5epoRat-frombvh-0,609.0,830.0,23711,266622,89044,3540215,5600000,332141475,142072318,2.281,4708887789,1829490359,16,16,all,frombvh,epo,0,0.5,31539,4607,12456,5.868,2.0,10.0,4.88,379376
