Configuration,CreationTime,OptimizationTime,InteriorNodes,LeafNodes,EmptyNodes,PrimCount,RayCount,NodeIntersections,PrimIntersections,Metric,SISDNodeIntersections,SISDPrimIntersections,TreeWidth,SimdWidth,Optimizations,CreationMethod,SplitMethod,Variant,EpoRatio,OptiMergedInner,OptiMergedLeaf,OptiMergedParent,LeafDepthAvg,LeafDepthMin,LeafDepthMax,InteriorDepthAvg,TotalNodes
16wide-16simd-none-epo-0.1epoRat-direct-1,,,,,,,,,,,,,16,16,none,direct,epo,1,0.1,,,,,,,,
16wide-16simd-none-epo-0.1epoRat-direct-2,4521.0,,43219,607387,40899,3540215,5600000,267025998,162731318,3.13,4059416899,1206030835,16,16,none,direct,epo,2,0.1,,,,5.528,2.0,7.0,4.468,691504
16wide-16simd-none-epo-0.1epoRat-direct-3,,,,,,,,,,,,,16,16,none,direct,epo,3,0.1,,,,,,,,
16wide-16simd-none-epo-0.1epoRat-frombvh-1,4172.0,,23578,179684,173987,3540215,5600000,415075621,206972518,4.599,6256339398,2677966582,16,16,none,frombvh,epo,1,0.1,,,156105,8.462,2.0,16.0,7.631,377248
16wide-16simd-none-epo-0.1epoRat-frombvh-2,533.0,,18913,179684,104012,3540215,5600000,367082998,207935887,3.916,3629910794,2685078835,16,16,none,frombvh,epo,2,0.1,,,,7.761,3.0,12.0,6.671,302608
16wide-16simd-none-epo-0.2epoRat-direct-1,,,,,,,,,,,,,16,16,none,direct,epo,1,0.2,,,,,,,,
16wide-16simd-none-epo-0.2epoRat-direct-2,4649.0,,46741,651562,49554,3540215,5600000,260154815,165485705,2.827,3869765863,1185819172,16,16,none,direct,epo,2,0.2,,,,5.631,2.0,7.0,4.574,747856
16wide-16simd-none-epo-0.2epoRat-direct-3,,,,,,,,,,,,,16,16,none,direct,epo,3,0.2,,,,,,,,
16wide-16simd-none-epo-0.2epoRat-frombvh-1,4732.0,,27159,204622,202764,3540215,5600000,416637237,192608661,3.745,6275932026,2466390711,16,16,none,frombvh,epo,1,0.2,,,177462,8.442,1.0,16.0,7.601,434544
16wide-16simd-none-epo-0.2epoRat-frombvh-2,540.0,,21492,204622,117759,3540215,5600000,320637393,183172325,2.843,3618733252,2330417889,16,16,none,frombvh,epo,2,0.2,,,,7.047,2.0,12.0,5.956,343872
16wide-16simd-none-epo-0.3epoRat-direct-1,,,,,,,,,,,,,16,16,none,direct,epo,1,0.3,,,,,,,,
16wide-16simd-none-epo-0.3epoRat-direct-2,4673.0,,49827,688414,58992,3540215,5600000,256482384,159956297,2.538,3873009703,1149810883,16,16,none,direct,epo,2,0.3,,,,5.674,1.0,7.0,4.619,797232
16wide-16simd-none-epo-0.3epoRat-direct-3,,,,,,,,,,,,,16,16,none,direct,epo,3,0.3,,,,,,,,
