Configuration,CreationTime,OptimizationTime,InteriorNodes,LeafNodes,EmptyNodes,PrimCount,RayCount,NodeIntersections,PrimIntersections,Metric,SISDNodeIntersections,SISDPrimIntersections,TreeWidth,SimdWidth,Optimizations,CreationMethod,SplitMethod,Variant,EpoRatio,OptiMergedInner,OptiMergedLeaf,OptiMergedParent,LeafDepthAvg,LeafDepthMin,LeafDepthMax,InteriorDepthAvg,TotalNodes
16wide-16simd-all-epo-0.4epoRat-direct-0,4676.0,1316.0,49132,615661,121320,3540215,5600000,258415914,150797104,2.267,3749153569,1510740232,16,16,all,direct,epo,0,0.4,3455,109800,512,5.654,1.0,7.0,4.613,786112
16wide-16simd-all-epo-0.5epoRat-frombvh-0,633.0,833.0,23717,266694,89062,3540215,5600000,332245380,141959561,2.282,4711537987,1828400522,16,16,all,frombvh,epo,0,0.5,31555,4535,12434,5.869,2.0,10.0,4.881,379472
16wide-16simd-all-sah-0epoRat-direct-0,1086.0,483.0,38733,506792,74204,3540215,5600000,278337284,159411072,3.49,3923944106,1556487953,16,16,all,direct,sah,0,0,1306,61317,192,5.455,2.0,7.0,4.412,619728
16wide-16simd-all-sah-0epoRat-frombvh-0,509.0,211.0,13344,153903,46258,3540215,5600000,299927447,197774802,3.562,4266940506,2686193171,16,16,all,frombvh,sah,0,0,18990,643,6746,5.428,2.0,8.0,4.416,213504
16wide-16simd-none-epo-0.4epoRat-direct-0,4626.0,,53099,725461,71025,3540215,5600000,253546273,159000224,2.277,3831365691,1130790643,16,16,none,direct,epo,0,0.4,,,,5.685,1.0,7.0,4.632,849584
16wide-16simd-none-epo-0.5epoRat-frombvh-0,633.0,,67706,271229,744362,3540215,5600000,286574337,158272886,2.047,3515266686,1906146433,16,16,none,frombvh,epo,0,0.5,,,,6.0,2.0,10.0,5.122,1083296
16wide-16simd-none-sah-0epoRat-direct-0,1083.0,,40231,568109,35357,3540215,5600000,276109900,170491822,3.51,4168147405,1271984866,16,16,none,direct,sah,0,0,,,,5.478,2.0,7.0,4.418,643696
16wide-16simd-none-sah-0epoRat-frombvh-0,510.0,,39080,154546,431655,3540215,5600000,275394555,211479526,3.539,3435472208,2753864947,16,16,none,frombvh,sah,0,0,,,,5.55,2.0,8.0,4.684,625280
2wide-2simd-none-epo-0.1epoRat-direct-0,659.0,,1970771,1970772,0,3540215,5600000,1669429700,157927834,7.441,1841199397,232889538,2,2,none,direct,epo,0,0.1,,,,,,,,3941543
2wide-2simd-none-sah-0epoRat-direct-0,576.0,,1607381,1607382,0,3540215,5600000,1651948510,164456316,11.905,1825792859,253545853,2,2,none,direct,sah,0,0,,,,,,,,3214763
4wide-4simd-all-epo-0.3epoRat-direct-0,1182.0,931.0,416429,1167885,81403,3540215,5600000,615715213,200849503,2.997,2436422096,641120174,4,4,all,direct,epo,0,0.3,942,77725,358,11.786,3.0,16.0,10.478,1665716
4wide-4simd-all-epo-0.3epoRat-frombvh-0,696.0,820.0,361700,864523,220578,3540215,5600000,643980848,216656236,3.16,2476369631,767324294,4,4,all,frombvh,epo,0,0.3,43317,42071,48159,12.092,3.0,18.0,10.781,1446800
4wide-4simd-all-sah-0epoRat-direct-0,818.0,683.0,370002,1065570,44437,3540215,5600000,629994619,210795291,5.025,2492811604,695220055,4,4,all,direct,sah,0,0,199,40492,97,11.485,3.0,16.0,10.166,1480008
4wide-4simd-all-sah-0epoRat-frombvh-0,580.0,505.0,257367,618382,153720,3540215,5600000,624220468,286998701,6.931,2381679384,1045144779,4,4,all,frombvh,sah,0,0,29527,14241,29386,11.602,3.0,16.0,10.291,1029468
4wide-4simd-none-epo-0.3epoRat-direct-0,1116.0,,417729,1245610,7578,3540215,5600000,615716789,202854897,2.997,2453422507,630348400,4,4,none,direct,epo,0,0.3,,,,11.811,3.0,16.0,10.48,1670916
4wide-4simd-none-epo-0.3epoRat-frombvh-0,705.0,,453176,906594,452935,3540215,5600000,652568740,224457687,3.171,2475865359,767877823,4,4,none,frombvh,epo,0,0.3,,,,12.215,3.0,18.0,10.965,1812704
4wide-4simd-none-sah-0epoRat-direct-0,801.0,,370298,1106062,4833,3540215,5600000,630013952,216013572,5.032,2508511920,689134193,4,4,none,direct,sah,0,0,,,,11.498,3.0,16.0,10.167,1481192
4wide-4simd-none-sah-0epoRat-frombvh-0,574.0,,316280,632623,316218,3540215,5600000,631726094,293857220,6.959,2375626972,1047238934,4,4,none,frombvh,sah,0,0,,,,11.702,3.0,16.0,10.452,1265120
8wide-8simd-all-epo-0.4epoRat-direct-0,2101.0,1048.0,135868,817142,133935,3540215,5600000,375764899,168069765,2.334,2776341039,928071123,8,8,all,direct,epo,0,0.4,4469,134159,684,7.542,2.0,10.0,6.429,1086944
8wide-8simd-all-epo-0.4epoRat-frombvh-0,655.0,696.0,88831,478303,143515,3540215,5600000,408767621,172466927,2.551,2923437709,1181970609,8,8,all,frombvh,epo,0,0.4,48404,10363,25417,7.927,2.0,12.0,6.817,710648
8wide-8simd-all-sah-0epoRat-direct-0,951.0,519.0,113707,722740,73210,3540215,5600000,387499431,179569421,3.709,2905177528,1042334344,8,8,all,direct,sah,0,0,753,64350,236,7.272,2.0,10.0,6.151,909656
