Configuration,CreationTime,OptimizationTime,InteriorNodes,LeafNodes,EmptyNodes,PrimCount,RayCount,NodeIntersections,PrimIntersections,Metric,SISDNodeIntersections,SISDPrimIntersections,TreeWidth,SimdWidth,Optimizations,CreationMethod,SplitMethod,Variant,EpoRatio,OptiMergedInner,OptiMergedLeaf,OptiMergedParent,LeafDepthAvg,LeafDepthMin,LeafDepthMax,InteriorDepthAvg,TotalNodes
16wide-16simd-all-epo-0.1epoRat-direct-0,,,,,,,,,,,,,16,16,all,direct,epo,0,0.1,,,,,,,,
16wide-16simd-all-epo-0.1epoRat-frombvh-0,,,,,,,,,,,,,16,16,all,frombvh,epo,0,0.1,,,,,,,,
16wide-16simd-all-epo-0.2epoRat-direct-0,,,,,,,,,,,,,16,16,all,direct,epo,0,0.2,,,,,,,,
16wide-16simd-all-epo-0.2epoRat-frombvh-0,,,,,,,,,,,,,16,16,all,frombvh,epo,0,0.2,,,,,,,,
16wide-16simd-all-epo-0.3epoRat-direct-0,,,,,,,,,,,,,16,16,all,direct,epo,0,0.3,,,,,,,,
16wide-16simd-all-epo-0.3epoRat-frombvh-0,,,,,,,,,,,,,16,16,all,frombvh,epo,0,0.3,,,,,,,,
16wide-16simd-all-epo-0.4epoRat-direct-0,,,,,,,,,,,,,16,16,all,direct,epo,0,0.4,,,,,,,,
16wide-16simd-all-epo-0.4epoRat-frombvh-0,,,,,,,,,,,,,16,16,all,frombvh,epo,0,0.4,,,,,,,,
16wide-16simd-all-epo-0.5epoRat-direct-0,,,,,,,,,,,,,16,16,all,direct,epo,0,0.5,,,,,,,,
16wide-16simd-all-epo-0.5epoRat-frombvh-0,,,,,,,,,,,,,16,16,all,frombvh,epo,0,0.5,,,,,,,,
16wide-16simd-all-epo-0.6epoRat-direct-0,,,,,,,,,,,,,16,16,all,direct,epo,0,0.6,,,,,,,,
16wide-16simd-all-epo-0.6epoRat-frombvh-0,,,,,,,,,,,,,16,16,all,frombvh,epo,0,0.6,,,,,,,,
16wide-16simd-all-epo-0.7epoRat-direct-0,,,,,,,,,,,,,16,16,all,direct,epo,0,0.7,,,,,,,,
16wide-16simd-all-epo-0.7epoRat-frombvh-0,,,,,,,,,,,,,16,16,all,frombvh,epo,0,0.7,,,,,,,,
16wide-16simd-all-epo-0.8epoRat-direct-0,,,,,,,,,,,,,16,16,all,direct,epo,0,0.8,,,,,,,,
16wide-16simd-all-epo-0.8epoRat-frombvh-0,,,,,,,,,,,,,16,16,all,frombvh,epo,0,0.8,,,,,,,,
16wide-16simd-all-epo-0.9epoRat-direct-0,,,,,,,,,,,,,16,16,all,direct,epo,0,0.9,,,,,,,,
16wide-16simd-all-epo-0.9epoRat-frombvh-0,,,,,,,,,,,,,16,16,all,frombvh,epo,0,0.9,,,,,,,,
16wide-16simd-all-sah-0epoRat-direct-0,,,,,,,,,,,,,16,16,all,direct,sah,0,0,,,,,,,,
16wide-16simd-all-sah-0epoRat-frombvh-0,,,,,,,,,,,,,16,16,all,frombvh,sah,0,0,,,,,,,,
16wide-16simd-none-epo-0.1epoRat-direct-0,,,,,,,,,,,,,16,16,none,direct,epo,0,0.1,,,,,,,,
16wide-16simd-none-epo-0.1epoRat-frombvh-0,,,,,,,,,,,,,16,16,none,frombvh,epo,0,0.1,,,,,,,,
