Configuration,CreationTime,OptimizationTime,InteriorNodes,LeafNodes,EmptyNodes,PrimCount,RayCount,NodeIntersections,PrimIntersections,Metric,SISDNodeIntersections,SISDPrimIntersections,TreeWidth,SimdWidth,Optimizations,CreationMethod,SplitMethod,Variant,EpoRatio,OptiMergedInner,OptiMergedLeaf,OptiMergedParent,LeafDepthAvg,LeafDepthMin,LeafDepthMax,InteriorDepthAvg,TotalNodes
16wide-16simd-none-epo-0.1epoRat-direct-1,,,,,,,,,,,,,16,16,none,direct,epo,1,0.1,,,,,,,,
16wide-16simd-none-epo-0.1epoRat-direct-2,,,,,,,,,,,,,16,16,none,direct,epo,2,0.1,,,,,,,,
16wide-16simd-none-epo-0.1epoRat-direct-3,,,,,,,,,,,,,16,16,none,direct,epo,3,0.1,,,,,,,,
16wide-16simd-none-epo-0.1epoRat-frombvh-1,,,,,,,,,,,,,16,16,none,frombvh,epo,1,0.1,,,,,,,,
16wide-16simd-none-epo-0.1epoRat-frombvh-2,,,,,,,,,,,,,16,16,none,frombvh,epo,2,0.1,,,,,,,,
16wide-16simd-none-epo-0.2epoRat-direct-1,,,,,,,,,,,,,16,16,none,direct,epo,1,0.2,,,,,,,,
16wide-16simd-none-epo-0.2epoRat-direct-2,,,,,,,,,,,,,16,16,none,direct,epo,2,0.2,,,,,,,,
16wide-16simd-none-epo-0.2epoRat-direct-3,,,,,,,,,,,,,16,16,none,direct,epo,3,0.2,,,,,,,,
16wide-16simd-none-epo-0.2epoRat-frombvh-1,,,,,,,,,,,,,16,16,none,frombvh,epo,1,0.2,,,,,,,,
16wide-16simd-none-epo-0.2epoRat-frombvh-2,,,,,,,,,,,,,16,16,none,frombvh,epo,2,0.2,,,,,,,,
16wide-16simd-none-epo-0.3epoRat-direct-1,,,,,,,,,,,,,16,16,none,direct,epo,1,0.3,,,,,,,,
16wide-16simd-none-epo-0.3epoRat-direct-2,,,,,,,,,,,,,16,16,none,direct,epo,2,0.3,,,,,,,,
16wide-16simd-none-epo-0.3epoRat-direct-3,,,,,,,,,,,,,16,16,none,direct,epo,3,0.3,,,,,,,,
16wide-16simd-none-epo-0.3epoRat-frombvh-1,,,,,,,,,,,,,16,16,none,frombvh,epo,1,0.3,,,,,,,,
16wide-16simd-none-epo-0.3epoRat-frombvh-2,,,,,,,,,,,,,16,16,none,frombvh,epo,2,0.3,,,,,,,,
16wide-16simd-none-epo-0.4epoRat-direct-1,,,,,,,,,,,,,16,16,none,direct,epo,1,0.4,,,,,,,,
16wide-16simd-none-epo-0.4epoRat-direct-2,,,,,,,,,,,,,16,16,none,direct,epo,2,0.4,,,,,,,,
16wide-16simd-none-epo-0.4epoRat-direct-3,,,,,,,,,,,,,16,16,none,direct,epo,3,0.4,,,,,,,,
16wide-16simd-none-epo-0.4epoRat-frombvh-1,,,,,,,,,,,,,16,16,none,frombvh,epo,1,0.4,,,,,,,,
