Configuration,CreationTime,OptimizationTime,InteriorNodes,LeafNodes,EmptyNodes,PrimCount,RayCount,NodeIntersections,PrimIntersections,Metric,SISDNodeIntersections,SISDPrimIntersections,TreeWidth,SimdWidth,Optimizations,CreationMethod,SplitMethod,Variant,EpoRatio,OptiMergedInner,OptiMergedLeaf,OptiMergedParent,LeafDepthAvg,LeafDepthMin,LeafDepthMax,InteriorDepthAvg,TotalNodes
16wide-16simd-all-epo-0.4epoRat-direct-0,4686.0,1343.0,49107,615341,121265,3540215,22400000,1036607000,605745081,2.267,15043835657,6077387217,16,16,all,direct,epo,0,0.4,3479,110120,513,5.653,1.0,7.0,4.613,785712
16wide-16simd-all-sah-0epoRat-direct-0,1087.0,497.0,38735,506961,74065,3540215,22400000,1117801408,641721069,3.494,15575672995,6656131582,16,16,all,direct,sah,0,0,1306,61148,190,5.455,2.0,7.0,4.412,619760
16wide-16simd-none-epo-0.4epoRat-direct-0,4659.0,,53099,725461,71025,3540215,22400000,1017577350,638825225,2.277,15377926534,4546552130,16,16,none,direct,epo,0,0.4,,,,5.685,1.0,7.0,4.632,849584
16wide-16simd-none-sah-0epoRat-direct-0,1116.0,,40231,568109,35357,3540215,22400000,1108107338,685005760,3.511,16729398664,5115904411,16,16,none,direct,sah,0,0,,,,5.478,2.0,7.0,4.418,643696
2wide-2simd-none-epo-0.1epoRat-direct-0,674.0,,1970771,1970772,0,3540215,22400000,6696511189,634807779,7.441,7386197484,936277674,2,2,none,direct,epo,0,0.1,,,,,,,,3941543
2wide-2simd-none-sah-0epoRat-direct-0,568.0,,1607381,1607382,0,3540215,22400000,6625306401,661030143,11.905,7323154207,1019539532,2,2,none,direct,sah,0,0,,,,,,,,3214763
4wide-4simd-all-epo-0.3epoRat-direct-0,1179.0,942.0,416515,1169156,80390,3540215,22400000,2472068261,792476616,2.994,9763804167,2576247998,4,4,all,direct,epo,0,0.3,872,76454,342,11.786,3.0,16.0,10.478,1666060
4wide-4simd-all-sah-0epoRat-direct-0,813.0,698.0,370001,1066096,43908,3540215,22400000,2530141231,844784980,5.024,10009217352,2795569500,4,4,all,direct,sah,0,0,207,39966,90,11.485,3.0,16.0,10.166,1480004
4wide-4simd-none-epo-0.3epoRat-direct-0,1169.0,,417729,1245610,7578,3540215,22400000,2471982660,815347174,2.997,9850151791,2533915453,4,4,none,direct,epo,0,0.3,,,,11.811,3.0,16.0,10.48,1670916
4wide-4simd-none-sah-0epoRat-direct-0,814.0,,370298,1106062,4833,3540215,22400000,2530000888,868585209,5.032,10073807781,2771606599,4,4,none,direct,sah,0,0,,,,11.498,3.0,16.0,10.167,1481192
8wide-8simd-all-epo-0.4epoRat-direct-0,2163.0,1065.0,135963,817124,134618,3540215,22400000,1507771513,690189312,2.338,11657557856,3828272545,8,8,all,direct,epo,0,0.4,4373,134177,685,7.542,2.0,10.0,6.43,1087704
8wide-8simd-all-sah-0epoRat-direct-0,1047.0,524.0,113654,720998,74581,3540215,22400000,1555350285,735657536,3.715,11575374522,4186710728,8,8,all,direct,sah,0,0,803,66092,239,7.27,2.0,10.0,6.15,909232
8wide-8simd-none-epo-0.4epoRat-direct-0,2135.0,,141021,951301,35847,3540215,22400000,1502873561,716696576,2.34,11779826141,3099256359,8,8,none,direct,epo,0,0.4,,,,7.579,2.0,10.0,6.446,1128168
8wide-8simd-none-sah-0epoRat-direct-0,1010.0,,114696,787090,15783,3540215,22400000,1554686951,765433940,3.729,12166594467,3516318364,8,8,none,direct,sah,0,0,,,,7.293,2.0,10.0,6.154,917568
