Configuration,CreationTime,OptimizationTime,InteriorNodes,LeafNodes,EmptyNodes,PrimCount,RayCount,NodeIntersections,PrimIntersections,Metric,SISDNodeIntersections,SISDPrimIntersections,TreeWidth,SimdWidth,Optimizations,CreationMethod,SplitMethod,Variant,EpoRatio,OptiMergedInner,OptiMergedLeaf,OptiMergedParent,LeafDepthAvg,LeafDepthMin,LeafDepthMax,InteriorDepthAvg,TotalNodes
16wide-16simd-all-epo-0.3epoRat-direct-0,2758.0,340.0,19176,233021,54620,2880000,16785408,526784630,519401753,60.419,7858185446,6486059305,16,16,all,direct,epo,0,0.3,3322,70777,34,4.813,3.0,7.0,3.772,306816
16wide-16simd-all-sah-0epoRat-direct-0,730.0,278.0,24713,303055,67641,2880000,16785408,559392132,498060399,88.307,8349360951,5587639623,16,16,all,direct,sah,0,0,1917,78834,5,4.861,3.0,6.0,3.815,395408
16wide-16simd-none-epo-0.3epoRat-direct-0,2909.0,,22532,303798,34183,2880000,16785408,501857523,557203330,67.815,7822851545,6420930466,16,16,none,direct,epo,0,0.3,,,,4.859,3.0,7.0,3.808,360512
16wide-16simd-none-sah-0epoRat-direct-0,733.0,,26635,381889,17637,2880000,16785408,539755607,549952982,92.591,8527122896,5513431294,16,16,none,direct,sah,0,0,,,,4.889,3.0,6.0,3.828,426160
2wide-2simd-none-epo-0.1epoRat-direct-0,391.0,,685636,685637,0,2880000,16785408,2204674560,371066471,89.696,3204166250,700927837,2,2,none,direct,epo,0,0.1,,,,,,,,1371273
2wide-2simd-none-sah-0epoRat-direct-0,340.0,,616376,616377,0,2880000,16785408,2194713261,379038126,349.758,3180817392,717564525,2,2,none,direct,sah,0,0,,,,,,,,1232753
4wide-4simd-all-epo-0.5epoRat-direct-0,820.0,349.0,187956,535351,28518,2880000,16785408,1386873381,717085743,9.166,5493606701,2493131716,4,4,all,direct,epo,0,0.5,117,28756,404,10.19,6.0,22.0,8.87,751824
4wide-4simd-all-sah-0epoRat-direct-0,562.0,276.0,182606,539256,8563,2880000,16785408,1421411613,736130677,169.657,5670738423,2516332275,4,4,all,direct,sah,0,0,12,7476,6,10.006,7.0,14.0,8.678,730424
4wide-4simd-none-epo-0.5epoRat-direct-0,752.0,,188477,564107,1325,2880000,16785408,1387301157,721113074,9.276,5547794558,2473983161,4,4,none,direct,epo,0,0.5,,,,10.206,6.0,22.0,8.874,753908
4wide-4simd-none-sah-0epoRat-direct-0,561.0,,182624,546732,1141,2880000,16785408,1421310734,738816880,169.937,5683447077,2510981937,4,4,none,direct,sah,0,0,,,,10.01,7.0,14.0,8.678,730496
8wide-8simd-all-epo-0.2epoRat-direct-0,1439.0,273.0,56410,355314,39557,2880000,16785408,784762076,514290869,63.554,6139262802,3226843494,8,8,all,direct,epo,0,0.2,515,37925,33,6.47,4.0,10.0,5.356,451280
8wide-8simd-all-sah-0epoRat-direct-0,701.0,238.0,60934,386648,39891,2880000,16785408,811539068,510170331,110.265,6360820056,3114025832,8,8,all,direct,sah,0,0,288,36438,13,6.478,5.0,8.0,5.361,487472
8wide-8simd-none-epo-0.2epoRat-direct-0,1581.0,,56958,393239,5468,2880000,16785408,783247222,531664812,65.283,6252155401,3198020577,8,8,none,direct,epo,0,0.2,,,,6.498,4.0,10.0,5.361,455664
8wide-8simd-none-sah-0epoRat-direct-0,701.0,,61235,423086,5560,2880000,16785408,810760434,528117128,112.082,6471374191,3086965137,8,8,none,direct,sah,0,0,,,,6.501,5.0,8.0,5.363,489880
