Configuration,CreationTime,OptimizationTime,InteriorNodes,LeafNodes,EmptyNodes,PrimCount,RayCount,NodeIntersections,PrimIntersections,Metric,SISDNodeIntersections,SISDPrimIntersections,TreeWidth,SimdWidth,Optimizations,CreationMethod,SplitMethod,Variant,EpoRatio,OptiMergedInner,OptiMergedLeaf,OptiMergedParent,LeafDepthAvg,LeafDepthMin,LeafDepthMax,InteriorDepthAvg,TotalNodes
16wide-16simd-all-epo-0.6epoRat-direct-0,2757.0,684.0,30392,363985,92332,2662968,24926080,4171578263,979498529,5.443,41169666538,8303849030,16,16,all,direct,epo,0,0.6,7923,119830,2518,4.67,0.0,8.0,3.625,486272
16wide-16simd-all-sah-0epoRat-direct-0,638.0,265.0,27868,341403,77054,2662968,24926080,5107985468,1021000150,8.393,48448529516,8778691648,16,16,all,direct,sah,0,0,4760,95814,1222,4.535,0.0,8.0,3.48,445888
16wide-16simd-none-epo-0.6epoRat-direct-0,2738.0,,40833,483815,129117,2662968,24926080,3873782221,1050508575,5.133,40970414814,7896511247,16,16,none,direct,epo,0,0.6,,,,4.618,0.0,8.0,3.663,653328
16wide-16simd-none-sah-0epoRat-direct-0,663.0,,33850,437217,70970,2662968,24926080,4849238130,1081658848,8.391,49624795788,8334191364,16,16,none,direct,sah,0,0,,,,4.454,0.0,8.0,3.459,541600
2wide-2simd-none-epo-0.1epoRat-direct-0,419.0,,1184194,1184631,0,2662968,24926080,13394492432,830770365,14.797,14782842967,1353881185,2,2,none,direct,epo,0,0.1,,,,,,,,2368825
2wide-2simd-none-sah-0epoRat-direct-0,323.0,,1000645,1001082,0,2662968,24926080,13721543537,917782665,28.002,15164738063,1559907332,2,2,none,direct,sah,0,0,,,,,,,,2001727
4wide-4simd-all-epo-0.3epoRat-direct-0,702.0,459.0,292801,787837,91003,2662968,24926080,5590725672,1102914921,7.351,19989510290,3228259722,4,4,all,direct,epo,0,0.3,3494,90215,2322,9.967,0.0,18.0,8.541,1171204
4wide-4simd-all-sah-0epoRat-direct-0,523.0,331.0,265350,735327,61160,2662968,24926080,6079350310,1170471806,15.076,21708370818,3546889634,4,4,all,direct,sah,0,0,1093,52574,894,9.452,0.0,17.0,8.062,1061400
4wide-4simd-none-epo-0.3epoRat-direct-0,704.0,,298617,878052,18236,2662968,24926080,5557142098,1122765951,7.37,20212488516,3119449282,4,4,none,direct,epo,0,0.3,,,,9.825,0.0,18.0,8.513,1194468
4wide-4simd-none-sah-0epoRat-direct-0,534.0,,267337,787901,14547,2662968,24926080,6047092272,1187763705,15.138,21911571738,3458338952,4,4,none,direct,sah,0,0,,,,9.373,0.0,17.0,8.061,1069348
8wide-8simd-all-epo-0.8epoRat-direct-0,1338.0,658.0,94349,533404,127476,2662968,24926080,4318960812,1003398849,3.636,26027071584,4844455179,8,8,all,direct,epo,0,0.8,12283,168240,5370,6.902,0.0,13.0,5.762,754792
8wide-8simd-all-sah-0epoRat-direct-0,516.0,265.0,81027,479503,88123,2662968,24926080,4785624902,1150507472,9.906,28956918820,6031272109,8,8,all,direct,sah,0,0,4590,87373,1258,6.104,0.0,10.0,4.954,648216
8wide-8simd-none-epo-0.8epoRat-direct-0,1242.0,,112002,701644,82807,2662968,24926080,4199995421,1037098858,3.682,26261619827,4380932979,8,8,none,direct,epo,0,0.8,,,,6.774,0.0,13.0,5.685,896016
8wide-8simd-none-sah-0epoRat-direct-0,526.0,,86875,566876,41686,2662968,24926080,4705918358,1195824843,10.055,29141833283,5815459231,8,8,none,direct,sah,0,0,,,,6.042,0.0,10.0,4.953,695000
