Configuration,CreationTime,OptimizationTime,InteriorNodes,LeafNodes,EmptyNodes,PrimCount,RayCount,NodeIntersections,PrimIntersections,Metric,SISDNodeIntersections,SISDPrimIntersections,TreeWidth,SimdWidth,Optimizations,CreationMethod,SplitMethod,Variant,EpoRatio,OptiMergedInner,OptiMergedLeaf,OptiMergedParent,LeafDepthAvg,LeafDepthMin,LeafDepthMax,InteriorDepthAvg,TotalNodes
16wide-16simd-all-epo-0.5epoRat-direct-0,4172.0,830.0,32199,385349,97651,2625112,25056000,1218100154,354522433,12.398,17427143061,2987949113,16,16,all,direct,epo,0,0.5,6591,86403,1473,5.516,1.0,8.0,4.48,515184
16wide-16simd-all-sah-0epoRat-direct-0,758.0,321.0,27097,338176,68294,2625112,25056000,1199326508,394280671,12.916,17288146943,4396153845,16,16,all,direct,sah,0,0,2986,54560,562,5.21,1.0,8.0,4.17,433552
16wide-16simd-none-epo-0.5epoRat-direct-0,3047.0,,40263,471752,132208,2625112,25056000,1070000517,402045546,10.202,15012735176,2735108081,16,16,none,direct,epo,0,0.5,,,,5.568,1.0,8.0,4.541,644208
16wide-16simd-none-sah-0epoRat-direct-0,781.0,,30645,392736,66954,2625112,25056000,1062978874,407229173,12.601,15413678016,3898968614,16,16,none,direct,sah,0,0,,,,5.234,1.0,8.0,4.186,490320
2wide-2simd-none-epo-0.1epoRat-direct-0,419.0,,1235444,1235459,0,2625112,25056000,6065175234,224252714,22.677,6436019903,392427117,2,2,none,direct,epo,0,0.1,,,,,,,,2470903
2wide-2simd-none-sah-0epoRat-direct-0,366.0,,1015412,1015427,0,2625112,25056000,5911336207,276037084,43.436,6304876953,502331061,2,2,none,direct,sah,0,0,,,,,,,,2030839
4wide-4simd-all-epo-0.4epoRat-direct-0,904.0,620.0,278344,774715,60332,2625112,25056000,2457471678,398300690,7.667,9717340807,1258385119,4,4,all,direct,epo,0,0.4,1689,53771,2113,12.087,2.0,18.0,10.748,1113376
4wide-4simd-all-sah-0epoRat-direct-0,589.0,412.0,244279,700234,32618,2625112,25056000,2499736108,579085399,22.509,9865481178,1943604781,4,4,all,direct,sah,0,0,597,24501,838,11.006,2.0,16.0,9.661,977116
4wide-4simd-none-epo-0.4epoRat-direct-0,924.0,,282146,828486,17967,2625112,25056000,2459390305,407140829,7.7,9745871252,1192983578,4,4,none,direct,epo,0,0.4,,,,12.095,2.0,18.0,10.744,1128584
4wide-4simd-none-sah-0epoRat-direct-0,570.0,,245714,724735,12422,2625112,25056000,2505880776,586836651,22.683,9938352016,1908003854,4,4,none,direct,sah,0,0,,,,11.002,2.0,16.0,9.661,982856
8wide-8simd-all-epo-0.6epoRat-direct-0,1666.0,699.0,90586,527011,107106,2625112,25056000,1547543929,443485947,8.137,11774725992,2504337673,8,8,all,direct,epo,0,0.6,7510,104943,1592,7.802,1.0,12.0,6.685,724688
8wide-8simd-all-sah-0epoRat-direct-0,711.0,338.0,77108,473952,65819,2625112,25056000,1536748640,510514036,15.506,11832875105,3152200043,8,8,all,direct,sah,0,0,2331,50555,490,7.067,1.0,10.0,5.942,616864
8wide-8simd-none-epo-0.6epoRat-direct-0,1662.0,,99688,631954,65877,2625112,25056000,1499119386,455761641,8.1,11495070504,2300699569,8,8,none,direct,epo,0,0.6,,,,7.855,1.0,12.0,6.716,797504
8wide-8simd-none-sah-0epoRat-direct-0,710.0,,79929,524507,35011,2625112,25056000,1527492510,520960399,15.816,11999055268,3048372473,8,8,none,direct,sah,0,0,,,,7.091,1.0,10.0,5.945,639432
