Configuration,CreationTime,OptimizationTime,InteriorNodes,LeafNodes,EmptyNodes,PrimCount,RayCount,NodeIntersections,PrimIntersections,Metric,SISDNodeIntersections,SISDPrimIntersections,TreeWidth,SimdWidth,Optimizations,CreationMethod,SplitMethod,Variant,EpoRatio,OptiMergedInner,OptiMergedLeaf,OptiMergedParent,LeafDepthAvg,LeafDepthMin,LeafDepthMax,InteriorDepthAvg,TotalNodes
4wide-4simd-none-epo-0.1epoRat-direct-0,921.0,,191899,574342,1356,2880000,4196352,357286489,182713860,81.166,1428629290,615986951,4,4,none,direct,epo,0,0.1,,,,10.054,6.0,14.0,8.722,767596
4wide-4simd-none-epo-0.1epoRat-direct-1,1732.0,,192673,447208,130812,2880000,4196352,350171128,159675130,85.479,1328316473,592907122,4,4,none,direct,epo,1,0.1,,,,10.111,6.0,18.0,8.81,770692
4wide-4simd-none-epo-0.1epoRat-direct-2,14778.0,,179160,451950,85531,2880000,4196352,366712234,186290495,79.518,1413301735,693007968,4,4,none,direct,epo,2,0.1,,,,10.014,7.0,16.0,8.692,716640
4wide-4simd-none-epo-0.1epoRat-direct-3,30513.0,,179315,533016,4930,2880000,4196352,356393912,189183201,81.139,1422927949,646373808,4,4,none,direct,epo,3,0.1,,,,10.19,5.0,16.0,8.859,717260
4wide-4simd-none-epo-0.2epoRat-direct-0,921.0,,200585,600160,1596,2880000,4196352,359545505,182056576,37.829,1437565222,609184063,4,4,none,direct,epo,0,0.2,,,,10.11,6.0,16.0,8.778,802340
4wide-4simd-none-epo-0.2epoRat-direct-1,1719.0,,207187,476582,144980,2880000,4196352,354214392,158452200,39.831,1347985174,579947277,4,4,none,direct,epo,1,0.2,,,,10.185,6.0,22.0,8.913,828748
4wide-4simd-none-epo-0.2epoRat-direct-2,15735.0,,191102,481297,92010,2880000,4196352,368511373,183647902,37.092,1422597986,677352079,4,4,none,direct,epo,2,0.2,,,,10.082,6.0,16.0,8.77,764408
4wide-4simd-none-epo-0.2epoRat-direct-3,31603.0,,191123,567341,6029,2880000,4196352,359660914,188096345,37.474,1435676965,636960691,4,4,none,direct,epo,3,0.2,,,,10.275,5.0,17.0,8.945,764492
4wide-4simd-none-epo-0.3epoRat-direct-0,985.0,,210453,629413,1947,2880000,4196352,361879055,181332607,17.69,1446756843,601048418,4,4,none,direct,epo,0,0.3,,,,10.157,6.0,17.0,8.825,841812
4wide-4simd-none-epo-0.3epoRat-direct-1,1820.0,,228090,507549,176722,2880000,4196352,359281738,157616863,18.646,1365928583,567835182,4,4,none,direct,epo,1,0.3,,,,10.289,6.0,49.0,9.057,912360
4wide-4simd-none-epo-0.3epoRat-direct-2,16752.0,,207802,517666,105741,2880000,4196352,372474037,182069907,17.377,1438126938,663131139,4,4,none,direct,epo,2,0.3,,,,10.164,7.0,18.0,8.859,831208
4wide-4simd-none-epo-0.3epoRat-direct-3,32559.0,,208806,619149,7270,2880000,4196352,371863022,188902032,17.398,1483999484,628514067,4,4,none,direct,epo,3,0.3,,,,10.366,5.0,18.0,9.036,835224
4wide-4simd-none-epo-0.4epoRat-direct-0,983.0,,223455,668205,2161,2880000,4196352,363940601,179696924,8.659,1454882455,588026018,4,4,none,direct,epo,0,0.4,,,,10.216,6.0,18.0,8.884,893820
4wide-4simd-none-epo-0.4epoRat-direct-1,1834.0,,258692,539702,236375,2880000,4196352,366650374,155697973,9.116,1380678498,558499958,4,4,none,direct,epo,1,0.4,,,,10.478,6.0,64.0,9.28,1034768
4wide-4simd-none-epo-0.4epoRat-direct-2,17993.0,,230619,563037,128821,2880000,4196352,378153301,179575122,8.539,1454448165,646189405,4,4,none,direct,epo,2,0.4,,,,10.264,7.0,19.0,8.962,922476
