Configuration,CreationTime,OptimizationTime,InteriorNodes,LeafNodes,EmptyNodes,PrimCount,RayCount,NodeIntersections,PrimIntersections,Metric,SISDNodeIntersections,SISDPrimIntersections,TreeWidth,SimdWidth,Optimizations,CreationMethod,SplitMethod,Variant,EpoRatio,OptiMergedInner,OptiMergedLeaf,OptiMergedParent,LeafDepthAvg,LeafDepthMin,LeafDepthMax,InteriorDepthAvg,TotalNodes
16wide-16simd-all-epo-0.1epoRat-direct-0,2960.0,383.0,21009,255854,59282,2880000,4196352,135136062,127237520,77.363,2014005054,1553890312,16,16,all,direct,epo,0,0.1,3400,82009,26,4.832,3.0,6.0,3.786,336144
16wide-16simd-all-epo-0.1epoRat-frombvh-0,376.0,480.0,11592,145164,28717,2880000,4196352,162415045,104576031,82.987,2328860955,1481985052,16,16,all,frombvh,epo,0,0.1,24043,112,4544,4.758,3.0,8.0,3.705,185472
16wide-16simd-all-epo-0.2epoRat-direct-0,2818.0,349.0,19674,238937,56174,2880000,4196352,132736155,128805705,68.162,1980014469,1598798924,16,16,all,direct,epo,0,0.2,3373,74807,32,4.817,3.0,6.0,3.776,314784
16wide-16simd-all-epo-0.2epoRat-frombvh-0,381.0,519.0,13116,161956,34785,2880000,4196352,167546495,91374547,76.381,2396643515,1266718850,16,16,all,frombvh,epo,0,0.2,25321,201,4891,4.812,3.0,11.0,3.784,209856
16wide-16simd-all-epo-0.3epoRat-direct-0,2689.0,333.0,19164,232909,54552,2880000,4196352,132066315,129861324,60.489,1970155143,1621814309,16,16,all,direct,epo,0,0.3,3334,70889,34,4.813,3.0,7.0,3.772,306624
16wide-16simd-all-epo-0.3epoRat-frombvh-0,397.0,548.0,14844,179451,43210,2880000,4196352,172279351,80979338,71.627,2461386488,1093309662,16,16,all,frombvh,epo,0,0.3,26069,411,5250,4.864,3.0,12.0,3.865,237504
16wide-16simd-all-epo-0.4epoRat-direct-0,2854.0,319.0,18849,228636,54100,2880000,4196352,130313070,131807755,53.035,1946343088,1655199457,16,16,all,direct,epo,0,0.4,3133,68076,44,4.808,3.0,7.0,3.769,301584
16wide-16simd-all-epo-0.4epoRat-frombvh-0,397.0,579.0,17090,198793,57558,2880000,4196352,177085309,73946438,80.396,2520679274,967270245,16,16,all,frombvh,epo,0,0.4,27122,896,6112,4.933,3.0,13.0,3.969,273440
16wide-16simd-all-epo-0.5epoRat-direct-0,2728.0,316.0,18761,228385,53031,2880000,4196352,132966122,130379222,47.286,1975767211,1625160804,16,16,all,direct,epo,0,0.5,2981,65721,48,4.808,3.0,7.0,3.77,300176
16wide-16simd-all-epo-0.5epoRat-frombvh-0,413.0,597.0,19570,217629,75922,2880000,4196352,181379375,68428454,113.187,2553092174,862685378,16,16,all,frombvh,epo,0,0.5,27827,1773,7271,5.013,3.0,12.0,4.076,313120
16wide-16simd-all-epo-0.6epoRat-direct-0,2732.0,317.0,18948,230603,53618,2880000,4196352,132610129,131609502,43.652,1968292891,1640577524,16,16,all,direct,epo,0,0.6,2872,65265,82,4.812,3.0,7.0,3.774,303168
16wide-16simd-all-epo-0.6epoRat-frombvh-0,414.0,614.0,21882,237498,90733,2880000,4196352,184473594,65069750,882.331,2575531026,791635859,16,16,all,frombvh,epo,0,0.6,28822,3946,9407,5.131,3.0,13.0,4.195,350112
16wide-16simd-all-epo-0.7epoRat-direct-0,2883.0,328.0,19322,234908,54923,2880000,4196352,133093980,130778441,42.848,1973553101,1623998014,16,16,all,direct,epo,0,0.7,2799,66728,154,4.825,3.0,7.0,3.786,309152
16wide-16simd-all-epo-0.7epoRat-frombvh-0,428.0,632.0,24116,256728,105013,2880000,4196352,187624983,63539487,3652.463,2571555748,746710980,16,16,all,frombvh,epo,0,0.7,29310,6646,12276,5.28,3.0,14.0,4.333,385856
16wide-16simd-all-epo-0.8epoRat-direct-0,2721.0,333.0,19244,231608,57053,2880000,4196352,136036891,136850447,44.775,2018055331,1702764403,16,16,all,direct,epo,0,0.8,3198,71352,192,4.821,3.0,7.0,3.784,307904
16wide-16simd-all-epo-0.8epoRat-frombvh-0,445.0,668.0,25633,270970,113526,2880000,4196352,201858701,66458210,5275.131,2730308451,760453391,16,16,all,frombvh,epo,0,0.8,29473,11119,15473,5.482,3.0,14.0,4.531,410128
16wide-16simd-all-epo-0.9epoRat-direct-0,2675.0,343.0,19423,232393,58953,2880000,4196352,138834365,137643184,42.052,2045370194,1708259622,16,16,all,direct,epo,0,0.9,3436,72916,248,4.832,3.0,7.0,3.798,310768
16wide-16simd-all-epo-0.9epoRat-frombvh-0,459.0,741.0,27164,285023,122438,2880000,4196352,219577018,66633575,2105.661,2901176968,744888354,16,16,all,frombvh,epo,0,0.9,29950,13559,17435,5.862,2.0,13.0,4.909,434624
16wide-16simd-all-sah-0epoRat-direct-0,724.0,272.0,24694,302396,68015,2880000,4196352,139971157,124511231,88.276,2089926779,1396893858,16,16,all,direct,sah,0,0,1936,79493,5,4.861,3.0,6.0,3.814,395104
16wide-16simd-all-sah-0epoRat-frombvh-0,365.0,173.0,10287,128715,25591,2880000,4196352,153512844,120244270,92.101,2186255464,1732516469,16,16,all,frombvh,sah,0,0,22192,62,4438,4.705,3.0,7.0,3.638,164592
16wide-16simd-none-epo-0.1epoRat-direct-0,2924.0,,24435,337863,28663,2880000,4196352,128839077,138666852,82.924,2017907742,1535176121,16,16,none,direct,epo,0,0.1,,,,4.873,3.0,6.0,3.817,390960
16wide-16simd-none-epo-0.1epoRat-frombvh-0,381.0,,40179,145276,457410,2880000,4196352,152794316,110207775,73.775,1714371628,1563436504,16,16,none,frombvh,epo,0,0.1,,,,4.865,3.0,8.0,3.923,642864
16wide-16simd-none-epo-0.2epoRat-direct-0,2813.0,,23079,313744,32442,2880000,4196352,126401620,138950774,74.585,1973644999,1581762730,16,16,none,direct,epo,0,0.2,,,,4.863,3.0,6.0,3.81,369264
16wide-16simd-none-epo-0.2epoRat-frombvh-0,381.0,,43328,162157,487764,2880000,4196352,155770759,97347428,59.091,1748587674,1352288576,16,16,none,frombvh,epo,0,0.2,,,,4.913,3.0,11.0,3.962,693248
16wide-16simd-none-epo-0.3epoRat-direct-0,2825.0,,22532,303798,34183,2880000,4196352,125477187,139326207,67.815,1955896375,1605550097,16,16,none,direct,epo,0,0.3,,,,4.859,3.0,7.0,3.808,360512
16wide-16simd-none-epo-0.3epoRat-frombvh-0,386.0,,46163,179862,512584,2880000,4196352,157900380,86688557,47.566,1774738316,1173009674,16,16,none,frombvh,epo,0,0.3,,,,4.961,3.0,12.0,4.009,738608
16wide-16simd-none-epo-0.4epoRat-direct-0,2639.0,,22026,296712,33679,2880000,4196352,124393283,140732492,61.74,1939110131,1638909584,16,16,none,direct,epo,0,0.4,,,,4.855,3.0,7.0,3.805,352416
16wide-16simd-none-epo-0.4epoRat-frombvh-0,405.0,,50324,199689,555172,2880000,4196352,160018545,78378761,42.416,1804290882,1026430671,16,16,none,frombvh,epo,0,0.4,,,,5.03,3.0,13.0,4.094,805184
16wide-16simd-none-epo-0.5epoRat-direct-0,2724.0,,21790,294106,32745,2880000,4196352,126405039,140293469,57.079,1969113356,1607017937,16,16,none,direct,epo,0,0.5,,,,4.853,3.0,7.0,3.804,348640
16wide-16simd-none-epo-0.5epoRat-frombvh-0,417.0,,54668,219402,600619,2880000,4196352,161948958,72252436,39.698,1825323367,911181892,16,16,none,frombvh,epo,0,0.5,,,,5.115,3.0,13.0,4.199,874688
16wide-16simd-none-epo-0.6epoRat-direct-0,2827.0,,21902,295868,32663,2880000,4196352,126058122,141010551,54.896,1962740709,1622533155,16,16,none,direct,epo,0,0.6,,,,4.856,3.0,7.0,3.808,350432
16wide-16simd-none-epo-0.6epoRat-frombvh-0,417.0,,60111,241444,660222,2880000,4196352,164445978,68783619,66.294,1841438967,835513372,16,16,none,frombvh,epo,0,0.6,,,,5.25,3.0,14.0,4.355,961776
16wide-16simd-none-epo-0.7epoRat-direct-0,2764.0,,22275,301636,32490,2880000,4196352,126745440,140251075,56.839,1972933377,1604983790,16,16,none,direct,epo,0,0.7,,,,4.868,3.0,7.0,3.82,356400
16wide-16simd-none-epo-0.7epoRat-frombvh-0,423.0,,65702,263374,722157,2880000,4196352,168419453,66838894,161.207,1858488891,781533155,16,16,none,frombvh,epo,0,0.7,,,,5.425,3.0,15.0,4.542,1051232
16wide-16simd-none-epo-0.8epoRat-direct-0,2682.0,,22634,302960,36551,2880000,4196352,129909092,146591924,62.052,2021096715,1682721622,16,16,none,direct,epo,0,0.8,,,,4.869,3.0,7.0,3.825,362144
