Configuration,CreationTime,OptimizationTime,InteriorNodes,LeafNodes,EmptyNodes,PrimCount,RayCount,NodeIntersections,PrimIntersections,Metric,SISDNodeIntersections,SISDPrimIntersections,TreeWidth,SimdWidth,Optimizations,CreationMethod,SplitMethod,Variant,EpoRatio,OptiMergedInner,OptiMergedLeaf,OptiMergedParent,LeafDepthAvg,LeafDepthMin,LeafDepthMax,InteriorDepthAvg,TotalNodes
16wide-16simd-none-epo-0.1epoRat-direct-1,,,,,,,,,,,,,16,16,none,direct,epo,1,0.1,,,,,,,,
16wide-16simd-none-epo-0.1epoRat-direct-2,3036.0,,24435,337863,28663,2880000,4196352,128839077,138666852,82.924,2017907742,1535176121,16,16,none,direct,epo,2,0.1,,,,4.873,3.0,6.0,3.817,390960
16wide-16simd-none-epo-0.1epoRat-direct-3,,,,,,,,,,,,,16,16,none,direct,epo,3,0.1,,,,,,,,
16wide-16simd-none-epo-0.1epoRat-frombvh-1,2035.0,,19028,145276,140145,2880000,4196352,216158233,135025471,60.43,3125680278,1921558716,16,16,none,frombvh,epo,1,0.1,,,126247,7.67,1.0,15.0,6.856,304448
16wide-16simd-none-epo-0.1epoRat-frombvh-2,397.0,,15207,145276,82830,2880000,4196352,219825890,161943813,61.478,2326467234,2304228856,16,16,none,frombvh,epo,2,0.1,,,,6.808,4.0,12.0,5.718,243312
16wide-16simd-none-epo-0.2epoRat-direct-1,,,,,,,,,,,,,16,16,none,direct,epo,1,0.2,,,,,,,,
16wide-16simd-none-epo-0.2epoRat-direct-2,2901.0,,23079,313744,32442,2880000,4196352,126401620,138950774,74.585,1973644999,1581762730,16,16,none,direct,epo,2,0.2,,,,4.863,3.0,6.0,3.81,369264
16wide-16simd-none-epo-0.2epoRat-direct-3,,,,,,,,,,,,,16,16,none,direct,epo,3,0.2,,,,,,,,
16wide-16simd-none-epo-0.2epoRat-frombvh-1,2494.0,,21445,162157,159519,2880000,4196352,227209553,124650477,37.746,3280425611,1739692247,16,16,none,frombvh,epo,1,0.2,,,140711,7.757,1.0,15.0,6.942,343120
16wide-16simd-none-epo-0.2epoRat-frombvh-2,403.0,,16957,162157,92199,2880000,4196352,171756398,98983211,44.555,1809621159,1374890961,16,16,none,frombvh,epo,2,0.2,,,,6.341,3.0,10.0,5.247,271312
16wide-16simd-none-epo-0.3epoRat-direct-1,,,,,,,,,,,,,16,16,none,direct,epo,1,0.3,,,,,,,,
16wide-16simd-none-epo-0.3epoRat-direct-2,2778.0,,22532,303798,34183,2880000,4196352,125477187,139326207,67.815,1955896375,1605550097,16,16,none,direct,epo,2,0.3,,,,4.859,3.0,7.0,3.808,360512
16wide-16simd-none-epo-0.3epoRat-direct-3,,,,,,,,,,,,,16,16,none,direct,epo,3,0.3,,,,,,,,
16wide-16simd-none-epo-0.3epoRat-frombvh-1,3997.0,,24026,179862,180529,2880000,4196352,229294660,108926878,24.759,3307236123,1482110353,16,16,none,frombvh,epo,1,0.3,,,155835,7.841,2.0,15.0,7.018,384416
16wide-16simd-none-epo-0.3epoRat-frombvh-2,416.0,,18806,179862,102229,2880000,4196352,171638113,89473737,32.619,1838300682,1211496927,16,16,none,frombvh,epo,2,0.3,,,,6.301,3.0,11.0,5.208,300896
16wide-16simd-none-epo-0.4epoRat-direct-1,,,,,,,,,,,,,16,16,none,direct,epo,1,0.4,,,,,,,,
16wide-16simd-none-epo-0.4epoRat-direct-2,2679.0,,22026,296712,33679,2880000,4196352,124393283,140732492,61.74,1939110131,1638909584,16,16,none,direct,epo,2,0.4,,,,4.855,3.0,7.0,3.805,352416
16wide-16simd-none-epo-0.4epoRat-direct-3,,,,,,,,,,,,,16,16,none,direct,epo,3,0.4,,,,,,,,
16wide-16simd-none-epo-0.4epoRat-frombvh-1,4376.0,,26900,199689,203812,2880000,4196352,265618749,118596638,16.968,3817962440,1561618641,16,16,none,frombvh,epo,1,0.4,,,172788,7.932,2.0,15.0,7.115,430400
16wide-16simd-none-epo-0.4epoRat-frombvh-2,455.0,,20868,199689,113332,2880000,4196352,232368948,113077457,17.392,2430108792,1489171382,16,16,none,frombvh,epo,2,0.4,,,,7.243,3.0,15.0,6.154,333888
16wide-16simd-none-epo-0.5epoRat-direct-1,,,,,,,,,,,,,16,16,none,direct,epo,1,0.5,,,,,,,,
16wide-16simd-none-epo-0.5epoRat-direct-2,2763.0,,21790,294106,32745,2880000,4196352,126405039,140293469,57.079,1969113356,1607017937,16,16,none,direct,epo,2,0.5,,,,4.853,3.0,7.0,3.804,348640
16wide-16simd-none-epo-0.5epoRat-direct-3,,,,,,,,,,,,,16,16,none,direct,epo,3,0.5,,,,,,,,
16wide-16simd-none-epo-0.5epoRat-frombvh-1,5520.0,,30378,219402,236269,2880000,4196352,222666665,80451775,12.294,3212102807,1016079998,16,16,none,frombvh,epo,1,0.5,,,189023,7.985,2.0,16.0,7.172,486048
16wide-16simd-none-epo-0.5epoRat-frombvh-2,437.0,,22973,219402,125194,2880000,4196352,177085820,73998805,28.565,1964389931,934233144,16,16,none,frombvh,epo,2,0.5,,,,6.09,3.0,12.0,5.003,367568
16wide-16simd-none-epo-0.6epoRat-direct-1,,,,,,,,,,,,,16,16,none,direct,epo,1,0.6,,,,,,,,
16wide-16simd-none-epo-0.6epoRat-direct-2,2847.0,,21902,295868,32663,2880000,4196352,126058122,141010551,54.896,1962740709,1622533155,16,16,none,direct,epo,2,0.6,,,,4.856,3.0,7.0,3.808,350432
16wide-16simd-none-epo-0.6epoRat-direct-3,,,,,,,,,,,,,16,16,none,direct,epo,3,0.6,,,,,,,,
16wide-16simd-none-epo-0.6epoRat-frombvh-1,6697.0,,35327,241444,288462,2880000,4196352,291062993,115754005,10.959,4149179623,1415779563,16,16,none,frombvh,epo,1,0.6,,,206116,8.057,2.0,16.0,7.272,565232
