Configuration,CreationTime,OptimizationTime,InteriorNodes,LeafNodes,EmptyNodes,PrimCount,RayCount,NodeIntersections,PrimIntersections,Metric,SISDNodeIntersections,SISDPrimIntersections,TreeWidth,SimdWidth,Optimizations,CreationMethod,SplitMethod,Variant,EpoRatio,OptiMergedInner,OptiMergedLeaf,OptiMergedParent,LeafDepthAvg,LeafDepthMin,LeafDepthMax,InteriorDepthAvg,TotalNodes
16wide-16simd-all-epo-0.3epoRat-direct-0,2870.0,335.0,19147,232892,54314,2880000,4196352,131595630,129901481,60.397,1964098065,1621526668,16,16,all,direct,epo,0,0.3,3348,70906,37,4.813,3.0,7.0,3.772,306352
16wide-16simd-all-epo-0.4epoRat-frombvh-0,405.0,587.0,17074,198702,57409,2880000,4196352,177118472,73974562,80.73,2520761106,967793923,16,16,all,frombvh,epo,0,0.4,27120,987,6130,4.932,3.0,13.0,3.968,273184
16wide-16simd-all-sah-0epoRat-direct-0,765.0,273.0,24704,302709,67852,2880000,4196352,139528505,124594323,88.28,2081651419,1397021865,16,16,all,direct,sah,0,0,1928,79180,3,4.861,3.0,6.0,3.814,395264
16wide-16simd-all-sah-0epoRat-frombvh-0,362.0,174.0,10288,128725,25596,2880000,4196352,153418210,120306287,92.461,2185314476,1733472432,16,16,all,frombvh,sah,0,0,22193,52,4436,4.705,3.0,7.0,3.638,164608
16wide-16simd-none-epo-0.3epoRat-direct-0,2818.0,,22532,303798,34183,2880000,4196352,125477187,139326207,67.815,1955896375,1605550097,16,16,none,direct,epo,0,0.3,,,,4.859,3.0,7.0,3.808,360512
16wide-16simd-none-epo-0.4epoRat-frombvh-0,411.0,,50324,199689,555172,2880000,4196352,160018545,78378761,42.416,1804290882,1026430671,16,16,none,frombvh,epo,0,0.4,,,,5.03,3.0,13.0,4.094,805184
16wide-16simd-none-sah-0epoRat-direct-0,729.0,,26635,381889,17637,2880000,4196352,134944204,137484196,92.591,2131871876,1378407504,16,16,none,direct,sah,0,0,,,,4.889,3.0,6.0,3.828,426160
16wide-16simd-none-sah-0epoRat-frombvh-0,368.0,,36917,128777,424979,2880000,4196352,148288980,127162616,92.543,1678395248,1834057831,16,16,none,frombvh,sah,0,0,,,,4.819,3.0,8.0,3.899,590672
2wide-2simd-none-epo-0.1epoRat-direct-0,370.0,,685636,685637,0,2880000,4196352,551121316,92760218,89.696,800951919,175194331,2,2,none,direct,epo,0,0.1,,,,,,,,1371273
2wide-2simd-none-sah-0epoRat-direct-0,327.0,,616376,616377,0,2880000,4196352,548625527,94753292,349.758,795110218,179353339,2,2,none,direct,sah,0,0,,,,,,,,1232753
4wide-4simd-all-epo-0.2epoRat-frombvh-0,427.0,238.0,138567,330721,84981,2880000,4196352,348589256,186453739,52.573,1324174838,701132513,4,4,all,frombvh,epo,0,0.2,12154,4753,16893,9.915,6.0,24.0,8.609,554268
4wide-4simd-all-epo-0.5epoRat-direct-0,760.0,339.0,188112,536260,28077,2880000,4196352,346915762,179124755,9.171,1373570158,622912993,4,4,all,direct,epo,0,0.5,102,27847,263,10.196,6.0,22.0,8.873,752448
4wide-4simd-all-sah-0epoRat-direct-0,571.0,269.0,182607,538589,9233,2880000,4196352,355351242,183950359,169.625,1417435980,629212834,4,4,all,direct,sah,0,0,9,8143,8,10.006,7.0,14.0,8.678,730428
4wide-4simd-all-sah-0epoRat-frombvh-0,390.0,201.0,129486,309793,78666,2880000,4196352,348581281,194485144,169.722,1324072609,732928226,4,4,all,frombvh,sah,0,0,13435,2241,13231,9.753,6.0,15.0,8.446,517944
4wide-4simd-none-epo-0.2epoRat-frombvh-0,425.0,,167614,335474,167369,2880000,4196352,350874874,187332670,52.551,1306177519,703258301,4,4,none,frombvh,epo,0,0.2,,,,10.024,6.0,24.0,8.774,670456
4wide-4simd-none-epo-0.5epoRat-direct-0,791.0,,188477,564107,1325,2880000,4196352,346879954,180293890,9.276,1387167670,618546144,4,4,none,direct,epo,0,0.5,,,,10.206,6.0,22.0,8.874,753908
4wide-4simd-none-sah-0epoRat-direct-0,581.0,,182624,546732,1141,2880000,4196352,355343242,184690687,169.937,1420923991,627700617,4,4,none,direct,sah,0,0,,,,10.01,7.0,14.0,8.678,730496
