Configuration,CreationTime,OptimizationTime,InteriorNodes,LeafNodes,EmptyNodes,PrimCount,RayCount,NodeIntersections,PrimIntersections,Metric,SISDNodeIntersections,SISDPrimIntersections,TreeWidth,SimdWidth,Optimizations,CreationMethod,SplitMethod,Variant,EpoRatio,OptiMergedInner,OptiMergedLeaf,OptiMergedParent,LeafDepthAvg,LeafDepthMin,LeafDepthMax,InteriorDepthAvg,TotalNodes
16wide-16simd-all-epo-0.1epoRat-direct-0,618.0,46.0,1765,22153,4323,143163,3686400,65717368,19882121,9.945,924191812,170908169,16,16,all,direct,epo,0,0.1,196,3400,30,4.19,2.0,5.0,3.144,28240
16wide-16simd-all-epo-0.1epoRat-frombvh-0,54.0,31.0,682,7900,2331,143163,3686400,91277842,28197510,14.755,1263036511,348774528,16,16,all,frombvh,epo,0,0.1,863,53,405,4.169,2.0,6.0,3.139,10912
16wide-16simd-all-epo-0.2epoRat-direct-0,624.0,52.0,1924,23649,5212,143163,3686400,67816747,19597892,8.791,962989478,155132350,16,16,all,direct,epo,0,0.2,220,3840,31,4.252,1.0,5.0,3.216,30784
16wide-16simd-all-epo-0.2epoRat-frombvh-0,57.0,37.0,793,9018,2878,143163,3686400,91664163,26024687,14.279,1246552781,323983042,16,16,all,frombvh,epo,0,0.2,1124,65,412,4.335,2.0,6.0,3.324,12688
16wide-16simd-all-epo-0.3epoRat-direct-0,749.0,77.0,2367,29548,5958,143163,3686400,86882716,20761453,11.03,1192005869,166707913,16,16,all,direct,epo,0,0.3,298,5730,39,4.404,1.0,5.0,3.354,37872
16wide-16simd-all-epo-0.3epoRat-frombvh-0,58.0,43.0,814,9802,2409,143163,3686400,87808702,24081757,13.571,1190094172,295032424,16,16,all,frombvh,epo,0,0.3,1287,65,330,4.605,2.0,7.0,3.539,13024
16wide-16simd-all-epo-0.4epoRat-direct-0,721.0,86.0,2387,29470,6336,143163,3686400,71341847,19749952,8.529,1015745427,151216585,16,16,all,direct,epo,0,0.4,352,6084,45,4.505,1.0,6.0,3.452,38192
16wide-16simd-all-epo-0.4epoRat-frombvh-0,60.0,48.0,891,10476,2890,143163,3686400,110121952,22850216,19.656,1463286604,262684220,16,16,all,frombvh,epo,0,0.4,1342,114,418,4.734,2.0,7.0,3.669,14256
16wide-16simd-all-epo-0.5epoRat-direct-0,723.0,68.0,2155,26480,5846,143163,3686400,82297310,20044955,8.37,1196615047,152780545,16,16,all,direct,epo,0,0.5,360,5838,63,4.36,2.0,5.0,3.323,34480
16wide-16simd-all-epo-0.5epoRat-frombvh-0,67.0,55.0,959,11234,3152,143163,3686400,104103295,22107423,16.806,1397989078,254759659,16,16,all,frombvh,epo,0,0.5,1386,148,452,4.948,1.0,8.0,3.911,15344
16wide-16simd-all-epo-0.6epoRat-direct-0,688.0,66.0,2162,26331,6100,143163,3686400,82296890,19327055,7.403,1189426805,139736822,16,16,all,direct,epo,0,0.6,397,6042,59,4.349,2.0,5.0,3.313,34592
16wide-16simd-all-epo-0.6epoRat-frombvh-0,68.0,57.0,1030,11710,3741,143163,3686400,112724640,20819751,17.783,1474316697,235254512,16,16,all,frombvh,epo,0,0.6,1447,279,542,5.084,1.0,8.0,4.064,16480
16wide-16simd-all-epo-0.7epoRat-direct-0,742.0,78.0,2401,28987,7029,143163,3686400,81580995,19634562,7.049,1152949023,145927257,16,16,all,direct,epo,0,0.7,430,6782,48,4.466,2.0,6.0,3.422,38416
16wide-16simd-all-epo-0.7epoRat-frombvh-0,108.0,71.0,1063,11945,4001,143163,3686400,103486633,21623719,10.356,1398262360,239214984,16,16,all,frombvh,epo,0,0.7,1384,491,606,6.037,1.0,13.0,5.046,17008
16wide-16simd-all-epo-0.8epoRat-direct-0,737.0,80.0,2457,29473,7383,143163,3686400,81633407,19514781,7.114,1184158095,137393030,16,16,all,direct,epo,0,0.8,500,7017,35,4.492,2.0,6.0,3.454,39312
16wide-16simd-all-epo-0.8epoRat-frombvh-0,112.0,77.0,1106,12349,4242,143163,3686400,100457511,20803589,10.351,1316002989,227217868,16,16,all,frombvh,epo,0,0.8,1438,898,750,6.207,1.0,12.0,5.192,17696
16wide-16simd-all-epo-0.9epoRat-direct-0,802.0,74.0,2321,28232,6584,143163,3686400,76135504,20235694,5.658,1098720467,149808026,16,16,all,direct,epo,0,0.9,580,6440,59,4.506,2.0,6.0,3.46,37136
16wide-16simd-all-epo-0.9epoRat-frombvh-0,118.0,86.0,1166,12774,4717,143163,3686400,140436057,21762930,17.373,1837894713,225757321,16,16,all,frombvh,epo,0,0.9,1331,1664,1097,6.477,1.0,12.0,5.463,18656
16wide-16simd-all-sah-0epoRat-direct-0,109.0,16.0,1601,20321,3695,143163,3686400,65814834,22174636,11.221,950174064,182240705,16,16,all,direct,sah,0,0,157,2732,15,4.148,2.0,5.0,3.096,25616
16wide-16simd-all-sah-0epoRat-frombvh-0,45.0,7.0,589,6633,2203,143163,3686400,73892650,33756124,13.406,968046950,426657888,16,16,all,frombvh,sah,0,0,817,34,323,4.051,2.0,5.0,3.029,9424
16wide-16simd-none-epo-0.1epoRat-direct-0,606.0,,1991,25553,4313,143163,3686400,60190240,20310414,9.247,870165836,162069258,16,16,none,direct,epo,0,0.1,,,,4.236,2.0,5.0,3.156,31856
16wide-16simd-none-epo-0.1epoRat-frombvh-0,54.0,,1950,7953,21298,143163,3686400,66401299,28901704,11.026,794268785,356958517,16,16,none,frombvh,epo,0,0.1,,,,4.314,2.0,6.0,3.43,31200
16wide-16simd-none-epo-0.2epoRat-direct-0,610.0,,2175,27489,5137,143163,3686400,61501310,19954194,8.152,870050538,148545191,16,16,none,direct,epo,0,0.2,,,,4.298,1.0,5.0,3.222,34800
16wide-16simd-none-epo-0.2epoRat-frombvh-0,57.0,,2329,9083,25853,143163,3686400,63653959,26818111,9.371,747902169,332950585,16,16,none,frombvh,epo,0,0.2,,,,4.452,2.0,6.0,3.608,37264
16wide-16simd-none-epo-0.3epoRat-direct-0,742.0,,2704,35278,5283,143163,3686400,65013709,21454453,8.574,940848656,160643578,16,16,none,direct,epo,0,0.3,,,,4.455,1.0,5.0,3.363,43264
16wide-16simd-none-epo-0.3epoRat-frombvh-0,57.0,,2431,9867,26599,143163,3686400,67915187,24749171,9.773,808982940,300340131,16,16,none,frombvh,epo,0,0.3,,,,4.708,2.0,8.0,3.791,38896
