Configuration,CreationTime,OptimizationTime,InteriorNodes,LeafNodes,EmptyNodes,PrimCount,RayCount,NodeIntersections,PrimIntersections,Metric,SISDNodeIntersections,SISDPrimIntersections,TreeWidth,SimdWidth,Optimizations,CreationMethod,SplitMethod,Variant,EpoRatio,OptiMergedInner,OptiMergedLeaf,OptiMergedParent,LeafDepthAvg,LeafDepthMin,LeafDepthMax,InteriorDepthAvg,TotalNodes
16wide-16simd-none-epo-0.1epoRat-direct-1,,,,,,,,,,,,,16,16,none,direct,epo,1,0.1,,,,,,,,
16wide-16simd-none-epo-0.1epoRat-direct-2,608.0,,1991,25553,4313,143163,3686400,60190240,20310414,9.247,870165836,162069258,16,16,none,direct,epo,2,0.1,,,,4.236,2.0,5.0,3.156,31856
16wide-16simd-none-epo-0.1epoRat-direct-3,,,,,,,,,,,,,16,16,none,direct,epo,3,0.1,,,,,,,,
16wide-16simd-none-epo-0.1epoRat-frombvh-1,124.0,,1037,7953,7603,143163,3686400,102921103,29192691,13.339,1529621434,360966381,16,16,none,frombvh,epo,1,0.1,,,6915,6.372,2.0,12.0,5.542,16592
16wide-16simd-none-epo-0.1epoRat-frombvh-2,55.0,,830,7953,4498,143163,3686400,93192479,28826740,12.414,916806739,355440254,16,16,none,frombvh,epo,2,0.1,,,,5.947,3.0,10.0,4.869,13280
16wide-16simd-none-epo-0.2epoRat-direct-1,,,,,,,,,,,,,16,16,none,direct,epo,1,0.2,,,,,,,,
16wide-16simd-none-epo-0.2epoRat-direct-2,616.0,,2175,27489,5137,143163,3686400,61501310,19954194,8.155,870050538,148545191,16,16,none,direct,epo,2,0.2,,,,4.298,1.0,5.0,3.222,34800
16wide-16simd-none-epo-0.2epoRat-direct-3,,,,,,,,,,,,,16,16,none,direct,epo,3,0.2,,,,,,,,
16wide-16simd-none-epo-0.2epoRat-frombvh-1,150.0,,1203,9083,8963,143163,3686400,98408606,26782686,10.425,1463806716,332479878,16,16,none,frombvh,epo,1,0.2,,,7879,6.285,2.0,12.0,5.384,19248
16wide-16simd-none-epo-0.2epoRat-frombvh-2,58.0,,947,9083,5123,143163,3686400,77721615,27008573,9.895,858898199,335094407,16,16,none,frombvh,epo,2,0.2,,,,5.42,2.0,9.0,4.351,15152
16wide-16simd-none-epo-0.3epoRat-direct-1,,,,,,,,,,,,,16,16,none,direct,epo,1,0.3,,,,,,,,
16wide-16simd-none-epo-0.3epoRat-direct-2,743.0,,2704,35278,5283,143163,3686400,65013709,21454453,8.533,940848656,160643578,16,16,none,direct,epo,2,0.3,,,,4.455,1.0,5.0,3.363,43264
16wide-16simd-none-epo-0.3epoRat-direct-3,,,,,,,,,,,,,16,16,none,direct,epo,3,0.3,,,,,,,,
16wide-16simd-none-epo-0.3epoRat-frombvh-1,185.0,,1294,9867,9544,143163,3686400,101807148,24884425,10.353,1509424254,303452743,16,16,none,frombvh,epo,1,0.3,,,8572,5.46,2.0,10.0,4.607,20704
16wide-16simd-none-epo-0.3epoRat-frombvh-2,58.0,,1011,9867,5299,143163,3686400,80541766,24924326,9.944,930370837,303586444,16,16,none,frombvh,epo,2,0.3,,,,5.453,2.0,9.0,4.355,16176
16wide-16simd-none-epo-0.4epoRat-direct-1,,,,,,,,,,,,,16,16,none,direct,epo,1,0.4,,,,,,,,
16wide-16simd-none-epo-0.4epoRat-direct-2,721.0,,2784,35554,6207,143163,3686400,59141344,20268860,6.858,871165140,145186140,16,16,none,direct,epo,2,0.4,,,,4.556,1.0,6.0,3.468,44544
16wide-16simd-none-epo-0.4epoRat-direct-3,,,,,,,,,,,,,16,16,none,direct,epo,3,0.4,,,,,,,,
16wide-16simd-none-epo-0.4epoRat-frombvh-1,194.0,,1427,10590,10816,143163,3686400,97576845,23319099,8.365,1462542771,267404357,16,16,none,frombvh,epo,1,0.4,,,9162,5.658,2.0,13.0,4.826,22832
16wide-16simd-none-epo-0.4epoRat-frombvh-2,61.0,,1118,10590,6181,143163,3686400,84097159,23859590,7.164,845518215,273515899,16,16,none,frombvh,epo,2,0.4,,,,6.012,2.0,10.0,4.922,17888
16wide-16simd-none-epo-0.5epoRat-direct-1,,,,,,,,,,,,,16,16,none,direct,epo,1,0.5,,,,,,,,
16wide-16simd-none-epo-0.5epoRat-direct-2,707.0,,2578,32318,6353,143163,3686400,71736607,20766481,7.504,1051379539,146145466,16,16,none,direct,epo,2,0.5,,,,4.437,2.0,6.0,3.362,41248
16wide-16simd-none-epo-0.5epoRat-direct-3,,,,,,,,,,,,,16,16,none,direct,epo,3,0.5,,,,,,,,
16wide-16simd-none-epo-0.5epoRat-frombvh-1,225.0,,1543,11382,11764,143163,3686400,95045782,22564147,7.211,1426701772,259258125,16,16,none,frombvh,epo,1,0.5,,,9838,5.616,2.0,13.0,4.75,24688
16wide-16simd-none-epo-0.5epoRat-frombvh-2,68.0,,1183,11382,6364,143163,3686400,92098864,22359240,4.545,962064235,254740214,16,16,none,frombvh,epo,2,0.5,,,,6.498,2.0,11.0,5.387,18928
16wide-16simd-none-epo-0.6epoRat-direct-1,,,,,,,,,,,,,16,16,none,direct,epo,1,0.6,,,,,,,,
16wide-16simd-none-epo-0.6epoRat-direct-2,683.0,,2618,32373,6898,143163,3686400,72686309,20016785,6.857,1063636597,132761186,16,16,none,direct,epo,2,0.6,,,,4.432,2.0,6.0,3.36,41888
16wide-16simd-none-epo-0.6epoRat-direct-3,,,,,,,,,,,,,16,16,none,direct,epo,3,0.6,,,,,,,,
16wide-16simd-none-epo-0.6epoRat-frombvh-1,210.0,,1675,11989,13137,143163,3686400,93233387,21133853,5.869,1401824307,236247443,16,16,none,frombvh,epo,1,0.6,,,10313,5.813,1.0,13.0,5.011,26800
16wide-16simd-none-epo-0.6epoRat-frombvh-2,71.0,,1260,11989,6912,143163,3686400,91240194,21543512,5.327,1050715336,240498146,16,16,none,frombvh,epo,2,0.6,,,,6.145,1.0,10.0,5.064,20160
16wide-16simd-none-epo-0.7epoRat-direct-1,,,,,,,,,,,,,16,16,none,direct,epo,1,0.7,,,,,,,,
16wide-16simd-none-epo-0.7epoRat-direct-2,741.0,,2879,35769,7417,143163,3686400,72467069,20213206,6.411,1066554218,140726759,16,16,none,direct,epo,2,0.7,,,,4.533,2.0,6.0,3.459,46064
16wide-16simd-none-epo-0.7epoRat-direct-3,,,,,,,,,,,,,16,16,none,direct,epo,3,0.7,,,,,,,,
16wide-16simd-none-epo-0.7epoRat-frombvh-1,323.0,,1786,12436,14355,143163,3686400,97671176,22454238,2.177,1361569564,243272033,16,16,none,frombvh,epo,1,0.7,,,10649,7.431,2.0,14.0,6.632,28576
16wide-16simd-none-epo-0.7epoRat-frombvh-2,110.0,,1273,12436,6660,143163,3686400,105091094,22952352,3.767,1052255236,249546036,16,16,none,frombvh,epo,2,0.7,,,,7.452,2.0,13.0,6.352,20368
16wide-16simd-none-epo-0.8epoRat-direct-1,,,,,,,,,,,,,16,16,none,direct,epo,1,0.8,,,,,,,,
16wide-16simd-none-epo-0.8epoRat-direct-2,727.0,,2992,36490,8391,143163,3686400,71127419,20166304,5.78,1060812187,135411938,16,16,none,direct,epo,2,0.8,,,,4.56,2.0,6.0,3.491,47872
16wide-16simd-none-epo-0.8epoRat-direct-3,,,,,,,,,,,,,16,16,none,direct,epo,3,0.8,,,,,,,,
16wide-16simd-none-epo-0.8epoRat-frombvh-1,393.0,,2003,13247,16799,143163,3686400,93383249,21537774,1.693,1269960320,227784093,16,16,none,frombvh,epo,1,0.8,,,11243,7.597,1.0,15.0,6.792,32048
16wide-16simd-none-epo-0.8epoRat-frombvh-2,114.0,,1377,13247,7409,143163,3686400,104601570,22439902,3.512,1113904492,237241048,16,16,none,frombvh,epo,2,0.8,,,,7.77,1.0,13.0,6.677,22032
16wide-16simd-none-epo-0.9epoRat-direct-1,,,,,,,,,,,,,16,16,none,direct,epo,1,0.9,,,,,,,,
16wide-16simd-none-epo-0.9epoRat-direct-2,788.0,,2960,34672,9729,143163,3686400,67847725,20787767,4.678,995435765,144180568,16,16,none,direct,epo,2,0.9,,,,4.575,2.0,6.0,3.522,47360
16wide-16simd-none-epo-0.9epoRat-direct-3,,,,,,,,,,,,,16,16,none,direct,epo,3,0.9,,,,,,,,
