Configuration,CreationTime,OptimizationTime,InteriorNodes,LeafNodes,EmptyNodes,PrimCount,RayCount,NodeIntersections,PrimIntersections,Metric,SISDNodeIntersections,SISDPrimIntersections,TreeWidth,SimdWidth,Optimizations,CreationMethod,SplitMethod,Variant,EpoRatio,OptiMergedInner,OptiMergedLeaf,OptiMergedParent,LeafDepthAvg,LeafDepthMin,LeafDepthMax,InteriorDepthAvg,TotalNodes
16wide-16simd-all-epo-0.1epoRat-direct-0,608.0,46.0,1768,22180,4341,143163,3686400,65733091,19878445,9.949,926318025,168465552,16,16,all,direct,epo,0,0.1,196,3373,27,4.191,2.0,5.0,3.145,28288
16wide-16simd-all-epo-0.2epoRat-frombvh-0,60.0,39.0,793,9021,2875,143163,3686400,91678400,26034767,14.122,1246116939,323816226,16,16,all,frombvh,epo,0,0.2,1126,62,410,4.335,2.0,6.0,3.324,12688
16wide-16simd-all-sah-0epoRat-direct-0,103.0,17.0,1599,20397,3589,143163,3686400,66306069,22222499,11.354,954218670,183809449,16,16,all,direct,sah,0,0,159,2656,15,4.15,2.0,5.0,3.098,25584
16wide-16simd-all-sah-0epoRat-frombvh-0,48.0,7.0,588,6633,2188,143163,3686400,73890948,33734133,12.699,969354298,426713957,16,16,all,frombvh,sah,0,0,816,34,325,4.049,2.0,5.0,3.027,9408
16wide-16simd-none-epo-0.1epoRat-direct-0,605.0,,1991,25553,4313,143163,3686400,60190240,20310414,9.223,870165836,162069258,16,16,none,direct,epo,0,0.1,,,,4.236,2.0,5.0,3.156,31856
16wide-16simd-none-epo-0.2epoRat-frombvh-0,59.0,,2329,9083,25853,143163,3686400,63653959,26818111,9.381,747902169,332950585,16,16,none,frombvh,epo,0,0.2,,,,4.452,2.0,6.0,3.608,37264
16wide-16simd-none-sah-0epoRat-direct-0,108.0,,1773,23053,3543,143163,3686400,61308546,22698855,10.487,908710654,174819899,16,16,none,direct,sah,0,0,,,,4.183,2.0,5.0,3.094,28368
16wide-16simd-none-sah-0epoRat-frombvh-0,47.0,,1729,6667,19269,143163,3686400,64619853,35043482,11.604,746039583,444167291,16,16,none,frombvh,sah,0,0,,,,4.174,2.0,5.0,3.349,27664
2wide-2simd-none-epo-0.2epoRat-direct-0,92.0,,109318,109319,0,143163,3686400,482044669,16315345,14.012,722953221,26740300,2,2,none,direct,epo,0,0.2,,,,,,,,218637
2wide-2simd-none-sah-0epoRat-direct-0,68.0,,83524,83525,0,143163,3686400,443446785,20878454,40.051,681397600,37610158,2,2,none,direct,sah,0,0,,,,,,,,167049
