Configuration,CreationTime,OptimizationTime,InteriorNodes,LeafNodes,EmptyNodes,PrimCount,RayCount,NodeIntersections,PrimIntersections,Metric,SISDNodeIntersections,SISDPrimIntersections,TreeWidth,SimdWidth,Optimizations,CreationMethod,SplitMethod,Variant,EpoRatio,OptiMergedInner,OptiMergedLeaf,OptiMergedParent,LeafDepthAvg,LeafDepthMin,LeafDepthMax,InteriorDepthAvg,TotalNodes
16wide-16simd-none-epo-0.1epoRat-direct-0,4613.0,,43219,607387,40899,3540215,5600000,267068797,162756646,3.133,4060080434,1206212926,16,16,none,direct,epo,0,0.1,,,,5.528,2.0,7.0,4.468,691504
16wide-16simd-none-epo-0.1epoRat-frombvh-0,523.0,,45391,179684,501182,3540215,5600000,274873429,195484568,3.157,3452633778,2518900426,16,16,none,frombvh,epo,0,0.1,,,,5.616,2.0,8.0,4.745,726256
16wide-16simd-none-epo-0.2epoRat-direct-0,4667.0,,46741,651562,49554,3540215,5600000,260160436,165492556,2.827,3869849897,1185895717,16,16,none,direct,epo,0,0.2,,,,5.631,2.0,7.0,4.574,747856
16wide-16simd-none-epo-0.2epoRat-frombvh-0,532.0,,51482,204622,567609,3540215,5600000,280186986,182085928,2.837,3503305001,2321161916,16,16,none,frombvh,epo,0,0.2,,,,5.679,2.0,8.0,4.801,823712
16wide-16simd-none-epo-0.3epoRat-direct-0,4693.0,,49827,688414,58992,3540215,5600000,256512752,159975556,2.537,3873467612,1149948767,16,16,none,direct,epo,0,0.3,,,,5.674,1.0,7.0,4.619,797232
16wide-16simd-none-epo-0.3epoRat-frombvh-0,555.0,,56866,226559,626432,3540215,5600000,283076583,171173747,2.544,3500813116,2140419071,16,16,none,frombvh,epo,0,0.3,,,,5.802,2.0,9.0,4.926,909856
16wide-16simd-none-epo-0.4epoRat-direct-0,4640.0,,53099,725461,71025,3540215,5600000,253521811,158983013,2.277,3830989241,1130649111,16,16,none,direct,epo,0,0.4,,,,5.685,1.0,7.0,4.632,849584
16wide-16simd-none-epo-0.4epoRat-frombvh-0,605.0,,62033,247978,682518,3540215,5600000,282400174,163770435,2.283,3491355953,2014663500,16,16,none,frombvh,epo,0,0.4,,,,5.895,2.0,9.0,5.02,992528
16wide-16simd-none-epo-0.5epoRat-direct-0,4753.0,,55712,750706,84975,3540215,5600000,265015880,162766748,2.054,3952273955,1088667135,16,16,none,direct,epo,0,0.5,,,,5.711,2.0,8.0,4.661,891392
16wide-16simd-none-epo-0.5epoRat-frombvh-0,618.0,,67706,271229,744362,3540215,5600000,286630311,158305555,2.047,3515914063,1906570343,16,16,none,frombvh,epo,0,0.5,,,,6.0,2.0,10.0,5.122,1083296
16wide-16simd-none-epo-0.6epoRat-direct-0,4802.0,,57979,768633,101053,3540215,5600000,265802798,161693007,1.84,3965527885,1052665542,16,16,none,direct,epo,0,0.6,,,,5.732,2.0,8.0,4.686,927664
16wide-16simd-none-epo-0.6epoRat-frombvh-0,605.0,,75269,300743,828293,3540215,5600000,293453614,154795616,1.835,3581574440,1809396750,16,16,none,frombvh,epo,0,0.6,,,,6.18,2.0,11.0,5.301,1204304
16wide-16simd-none-epo-0.7epoRat-direct-0,5019.0,,59608,774610,119511,3540215,5600000,265984380,161883375,1.647,3965680805,1041779921,16,16,none,direct,epo,0,0.7,,,,5.753,2.0,8.0,4.711,953728
16wide-16simd-none-epo-0.7epoRat-frombvh-0,694.0,,80915,323593,890133,3540215,5600000,307052067,150741820,1.637,3697912730,1712703347,16,16,none,frombvh,epo,0,0.7,,,,6.592,2.0,12.0,5.718,1294640
16wide-16simd-none-epo-0.8epoRat-direct-0,4888.0,,60986,771327,143464,3540215,5600000,267751543,161727292,1.477,3988967802,1029398071,16,16,none,direct,epo,0,0.8,,,,5.771,2.0,8.0,4.735,975776
16wide-16simd-none-epo-0.8epoRat-frombvh-0,736.0,,88975,356329,978297,3540215,5600000,315580148,152357748,1.447,3772076740,1683190214,16,16,none,frombvh,epo,0,0.8,,,,7.065,1.0,14.0,6.19,1423600
16wide-16simd-none-epo-0.9epoRat-direct-0,4961.0,,62072,754356,176725,3540215,5600000,269907566,154248086,1.303,4078452324,996492488,16,16,none,direct,epo,0,0.9,,,,5.871,1.0,8.0,4.849,993152
16wide-16simd-none-epo-0.9epoRat-frombvh-0,737.0,,100733,403471,1107525,3540215,5600000,347167509,153748153,1.3,4035446039,1625256699,16,16,none,frombvh,epo,0,0.9,,,,8.021,1.0,16.0,7.151,1611728
2wide-2simd-none-epo-0.1epoRat-direct-0,647.0,,1970771,1970772,0,3540215,5600000,1669405144,157926141,7.441,1841173733,232887701,2,2,none,direct,epo,0,0.1,,,,,,,,3941543
2wide-2simd-none-epo-0.2epoRat-direct-0,737.0,,2284039,2284040,0,3540215,5600000,1688500339,152998022,5.036,1861939357,216120316,2,2,none,direct,epo,0,0.2,,,,,,,,4568079
2wide-2simd-none-epo-0.3epoRat-direct-0,788.0,,2513085,2513086,0,3540215,5600000,1687361486,152227783,3.627,1862989269,209708020,2,2,none,direct,epo,0,0.3,,,,,,,,5026171
2wide-2simd-none-epo-0.4epoRat-direct-0,812.0,,2692238,2692239,0,3540215,5600000,1694311507,149324425,2.767,1874546995,197127144,2,2,none,direct,epo,0,0.4,,,,,,,,5384477
2wide-2simd-none-epo-0.5epoRat-direct-0,825.0,,2834639,2834640,0,3540215,5600000,1712566188,149963253,2.211,1895307486,194022453,2,2,none,direct,epo,0,0.5,,,,,,,,5669279
2wide-2simd-none-epo-0.6epoRat-direct-0,872.0,,2935161,2935162,0,3540215,5600000,1740252545,148615620,1.83,1927322713,188212371,2,2,none,direct,epo,0,0.6,,,,,,,,5870323
2wide-2simd-none-epo-0.7epoRat-direct-0,878.0,,3013913,3013914,0,3540215,5600000,1805789481,147047205,1.553,1998271818,181488277,2,2,none,direct,epo,0,0.7,,,,,,,,6027827
2wide-2simd-none-epo-0.8epoRat-direct-0,884.0,,3074891,3074892,0,3540215,5600000,1914858329,147838492,1.345,2113526496,181390528,2,2,none,direct,epo,0,0.8,,,,,,,,6149783
2wide-2simd-none-epo-0.9epoRat-direct-0,925.0,,3125137,3125138,0,3540215,5600000,2052489362,148421227,1.193,2258788561,180633770,2,2,none,direct,epo,0,0.9,,,,,,,,6250275
4wide-4simd-none-epo-0.1epoRat-direct-0,1146.0,,389371,1162517,5597,3540215,5600000,618771485,205952533,4.16,2470994957,667079903,4,4,none,direct,epo,0,0.1,,,,11.58,3.0,16.0,10.249,1557484
4wide-4simd-none-epo-0.1epoRat-frombvh-0,629.0,,367404,735036,367177,3540215,5600000,635945577,247591381,4.756,2419377020,866560345,4,4,none,frombvh,epo,0,0.1,,,,11.838,3.0,17.0,10.588,1469616
4wide-4simd-none-epo-0.2epoRat-direct-0,1111.0,,404826,1207805,6674,3540215,5600000,620824322,206193772,3.518,2472575069,645485504,4,4,none,direct,epo,0,0.2,,,,11.736,3.0,16.0,10.405,1619304
4wide-4simd-none-epo-0.2epoRat-frombvh-0,654.0,,413451,826799,413555,3540215,5600000,643799494,235517049,3.868,2449006469,815882141,4,4,none,frombvh,epo,0,0.2,,,,11.962,3.0,17.0,10.712,1653804
4wide-4simd-none-epo-0.3epoRat-direct-0,1155.0,,417729,1245610,7578,3540215,5600000,615623643,202823703,2.997,2453051378,630250815,4,4,none,direct,epo,0,0.3,,,,11.811,3.0,16.0,10.48,1670916
4wide-4simd-none-epo-0.3epoRat-frombvh-0,688.0,,453176,906594,452935,3540215,5600000,652627146,224473221,3.171,2476086755,767931944,4,4,none,frombvh,epo,0,0.3,,,,12.215,3.0,18.0,10.965,1812704
4wide-4simd-none-epo-0.4epoRat-direct-0,1072.0,,428523,1276889,8681,3540215,5600000,617551809,201627591,2.571,2460497496,619403418,4,4,none,direct,epo,0,0.4,,,,11.884,3.0,17.0,10.554,1714092
4wide-4simd-none-epo-0.4epoRat-frombvh-0,766.0,,493216,987041,492608,3540215,5600000,660730793,220245914,2.631,2506289801,742333100,4,4,none,frombvh,epo,0,0.4,,,,12.405,3.0,20.0,11.154,1972864
4wide-4simd-none-epo-0.5epoRat-direct-0,1059.0,,438836,1306992,9517,3540215,5600000,620649602,200716420,2.223,2473276706,609162885,4,4,none,direct,epo,0,0.5,,,,11.946,3.0,17.0,10.617,1755344
4wide-4simd-none-epo-0.5epoRat-frombvh-0,762.0,,535607,1071228,535594,3540215,5600000,671039799,214330387,2.21,2546516253,704501115,4,4,none,frombvh,epo,0,0.5,,,,12.627,3.0,21.0,11.377,2142428
4wide-4simd-none-epo-0.6epoRat-direct-0,1156.0,,448932,1336148,10649,3540215,5600000,622297295,199736364,1.935,2478376955,602274278,4,4,none,direct,epo,0,0.6,,,,12.063,3.0,18.0,10.734,1795728
4wide-4simd-none-epo-0.6epoRat-frombvh-0,760.0,,579132,1158112,579285,3540215,5600000,688193169,210880302,1.881,2611361320,673459923,4,4,none,frombvh,epo,0,0.6,,,,12.963,3.0,23.0,11.712,2316528
4wide-4simd-none-epo-0.7epoRat-direct-0,1258.0,,459385,1365924,12232,3540215,5600000,627714356,195023445,1.697,2505060626,588359561,4,4,none,direct,epo,0,0.7,,,,12.524,3.0,19.0,11.195,1837540
4wide-4simd-none-epo-0.7epoRat-frombvh-0,921.0,,624399,1249148,624050,3540215,5600000,703295837,205368166,1.605,2677198452,636363181,4,4,none,frombvh,epo,0,0.7,,,,13.81,3.0,27.0,12.561,2497596
4wide-4simd-none-epo-0.8epoRat-direct-0,1273.0,,469607,1394589,14233,3540215,5600000,634753030,194676195,1.503,2532876196,583709247,4,4,none,direct,epo,0,0.8,,,,12.696,3.0,20.0,11.368,1878428
4wide-4simd-none-epo-0.8epoRat-frombvh-0,884.0,,675685,1351264,675792,3540215,5600000,738517486,206474961,1.399,2801151623,620262021,4,4,none,frombvh,epo,0,0.8,,,,14.75,2.0,31.0,13.5,2702740
4wide-4simd-none-epo-0.9epoRat-direct-0,1330.0,,481979,1428324,17614,3540215,5600000,653575140,193670698,1.345,2609620509,576756572,4,4,none,direct,epo,0,0.9,,,,13.133,3.0,25.0,11.806,1927916
