Configuration,CreationTime,OptimizationTime,InteriorNodes,LeafNodes,EmptyNodes,PrimCount,RayCount,NodeIntersections,PrimIntersections,Metric,SISDNodeIntersections,SISDPrimIntersections,TreeWidth,SimdWidth,Optimizations,CreationMethod,SplitMethod,Variant,EpoRatio,OptiMergedInner,OptiMergedLeaf,OptiMergedParent,LeafDepthAvg,LeafDepthMin,LeafDepthMax,InteriorDepthAvg,TotalNodes
4wide-4simd-none-epo-0.1epoRat-direct-0,1169.0,,389371,1162517,5597,3540215,5600000,618927063,205999365,4.16,2471616450,667222814,4,4,none,direct,epo,0,0.1,,,,11.58,3.0,16.0,10.249,1557484
4wide-4simd-none-epo-0.1epoRat-direct-1,2184.0,,421460,991536,272845,3540215,5600000,698637497,207798552,4.871,2654467448,698719654,4,4,none,direct,epo,1,0.1,,,,12.038,3.0,17.0,10.762,1685840
4wide-4simd-none-epo-0.1epoRat-direct-2,19770.0,,398726,1011566,184613,3540215,5600000,656893104,199880138,4.791,2573136652,667723331,4,4,none,direct,epo,2,0.1,,,,11.715,3.0,17.0,10.419,1594904
4wide-4simd-none-epo-0.1epoRat-direct-3,34932.0,,397206,1172697,18922,3540215,5600000,705177444,215059253,5.427,2813692380,667083366,4,4,none,direct,epo,3,0.1,,,,12.123,3.0,18.0,10.797,1588824
4wide-4simd-none-epo-0.2epoRat-direct-0,1211.0,,404826,1207805,6674,3540215,5600000,620793949,206181023,3.518,2472453727,645446605,4,4,none,direct,epo,0,0.2,,,,11.736,3.0,16.0,10.405,1619304
4wide-4simd-none-epo-0.2epoRat-direct-1,2210.0,,454192,1025516,337061,3540215,5600000,703508491,204225442,3.986,2650290619,686863467,4,4,none,direct,epo,1,0.2,,,,12.183,3.0,18.0,10.908,1816768
4wide-4simd-none-epo-0.2epoRat-direct-2,20611.0,,429471,1055321,233093,3540215,5600000,660480098,194631883,3.903,2574253597,643598617,4,4,none,direct,epo,2,0.2,,,,11.795,3.0,17.0,10.504,1717884
4wide-4simd-none-epo-0.2epoRat-direct-3,36215.0,,429610,1266501,22330,3540215,5600000,711334982,212191365,4.267,2837397093,639851137,4,4,none,direct,epo,3,0.2,,,,12.308,3.0,18.0,10.981,1718440
4wide-4simd-none-epo-0.3epoRat-direct-0,1144.0,,417729,1245610,7578,3540215,5600000,615582937,202805426,2.997,2452888901,630193613,4,4,none,direct,epo,0,0.3,,,,11.811,3.0,16.0,10.48,1670916
4wide-4simd-none-epo-0.3epoRat-direct-1,2163.0,,480777,1046667,395665,3540215,5600000,711246731,200185104,3.299,2655592586,672508100,4,4,none,direct,epo,1,0.3,,,,12.293,3.0,22.0,11.019,1923108
4wide-4simd-none-epo-0.3epoRat-direct-2,21057.0,,452161,1083422,273062,3540215,5600000,664794702,192216849,3.209,2577320907,630136864,4,4,none,direct,epo,2,0.3,,,,11.855,3.0,17.0,10.565,1808644
4wide-4simd-none-epo-0.3epoRat-direct-3,37086.0,,454809,1339581,24847,3540215,5600000,715583817,211973547,3.417,2854349612,624921031,4,4,none,direct,epo,3,0.3,,,,12.425,3.0,19.0,11.099,1819236
4wide-4simd-none-epo-0.4epoRat-direct-0,1174.0,,428523,1276889,8681,3540215,5600000,617450309,201593708,2.571,2460093837,619306703,4,4,none,direct,epo,0,0.4,,,,11.884,3.0,17.0,10.554,1714092
4wide-4simd-none-epo-0.4epoRat-direct-1,2376.0,,507987,1062210,461752,3540215,5600000,723390697,198701069,2.76,2665290387,665652575,4,4,none,direct,epo,1,0.4,,,,12.476,3.0,27.0,11.208,2031948
4wide-4simd-none-epo-0.4epoRat-direct-2,21417.0,,470359,1102808,308270,3540215,5600000,669159438,189540386,2.665,2584104749,618674273,4,4,none,direct,epo,2,0.4,,,,11.933,3.0,18.0,10.645,1881436
4wide-4simd-none-epo-0.4epoRat-direct-3,38192.0,,475931,1400367,27427,3540215,5600000,761500952,212236997,2.804,3037940462,607266173,4,4,none,direct,epo,3,0.4,,,,12.804,2.0,19.0,11.478,1903724
4wide-4simd-none-epo-0.5epoRat-direct-0,1110.0,,438836,1306992,9517,3540215,5600000,620714110,200735503,2.223,2473533083,609223563,4,4,none,direct,epo,0,0.5,,,,11.946,3.0,17.0,10.617,1755344
