Configuration,CreationTime,OptimizationTime,InteriorNodes,LeafNodes,EmptyNodes,PrimCount,RayCount,NodeIntersections,PrimIntersections,Metric,SISDNodeIntersections,SISDPrimIntersections,TreeWidth,SimdWidth,Optimizations,CreationMethod,SplitMethod,Variant,EpoRatio,OptiMergedInner,OptiMergedLeaf,OptiMergedParent,LeafDepthAvg,LeafDepthMin,LeafDepthMax,InteriorDepthAvg,TotalNodes
16wide-16simd-none-epo-0.1epoRat-direct-0,2995.0,,24435,337863,28663,2880000,4196352,128839077,138666852,82.793,2017907742,1535176121,16,16,none,direct,epo,0,0.1,,,,4.873,3.0,6.0,3.817,390960
16wide-16simd-none-epo-0.1epoRat-frombvh-0,375.0,,40179,145276,457410,2880000,4196352,152794316,110207775,73.775,1714371628,1563436504,16,16,none,frombvh,epo,0,0.1,,,,4.865,3.0,8.0,3.923,642864
16wide-16simd-none-epo-0.2epoRat-direct-0,2911.0,,23079,313744,32442,2880000,4196352,126401620,138950774,74.585,1973644999,1581762730,16,16,none,direct,epo,0,0.2,,,,4.863,3.0,6.0,3.81,369264
16wide-16simd-none-epo-0.2epoRat-frombvh-0,376.0,,43328,162157,487764,2880000,4196352,155770759,97347428,59.091,1748587674,1352288576,16,16,none,frombvh,epo,0,0.2,,,,4.913,3.0,11.0,3.962,693248
16wide-16simd-none-epo-0.3epoRat-direct-0,2704.0,,22532,303798,34183,2880000,4196352,125477187,139326207,67.815,1955896375,1605550097,16,16,none,direct,epo,0,0.3,,,,4.859,3.0,7.0,3.808,360512
16wide-16simd-none-epo-0.3epoRat-frombvh-0,389.0,,46163,179862,512584,2880000,4196352,157900380,86688557,47.566,1774738316,1173009674,16,16,none,frombvh,epo,0,0.3,,,,4.961,3.0,12.0,4.009,738608
16wide-16simd-none-epo-0.4epoRat-direct-0,2772.0,,22026,296712,33679,2880000,4196352,124393283,140732492,61.74,1939110131,1638909584,16,16,none,direct,epo,0,0.4,,,,4.855,3.0,7.0,3.805,352416
16wide-16simd-none-epo-0.4epoRat-frombvh-0,393.0,,50324,199689,555172,2880000,4196352,160018545,78378761,42.416,1804290882,1026430671,16,16,none,frombvh,epo,0,0.4,,,,5.03,3.0,13.0,4.094,805184
16wide-16simd-none-epo-0.5epoRat-direct-0,2779.0,,21790,294106,32745,2880000,4196352,126405039,140293469,57.079,1969113356,1607017937,16,16,none,direct,epo,0,0.5,,,,4.853,3.0,7.0,3.804,348640
16wide-16simd-none-epo-0.5epoRat-frombvh-0,401.0,,54668,219402,600619,2880000,4196352,161948958,72252436,39.698,1825323367,911181892,16,16,none,frombvh,epo,0,0.5,,,,5.115,3.0,13.0,4.199,874688
16wide-16simd-none-epo-0.6epoRat-direct-0,2866.0,,21902,295868,32663,2880000,4196352,126058122,141010551,54.896,1962740709,1622533155,16,16,none,direct,epo,0,0.6,,,,4.856,3.0,7.0,3.808,350432
16wide-16simd-none-epo-0.6epoRat-frombvh-0,417.0,,60111,241444,660222,2880000,4196352,164445978,68783619,66.294,1841438967,835513372,16,16,none,frombvh,epo,0,0.6,,,,5.25,3.0,14.0,4.355,961776
16wide-16simd-none-epo-0.7epoRat-direct-0,2809.0,,22275,301636,32490,2880000,4196352,126745440,140251075,56.839,1972933377,1604983790,16,16,none,direct,epo,0,0.7,,,,4.868,3.0,7.0,3.82,356400
16wide-16simd-none-epo-0.7epoRat-frombvh-0,441.0,,65702,263374,722157,2880000,4196352,168419453,66838894,161.207,1858488891,781533155,16,16,none,frombvh,epo,0,0.7,,,,5.425,3.0,15.0,4.542,1051232
16wide-16simd-none-epo-0.8epoRat-direct-0,2766.0,,22634,302960,36551,2880000,4196352,129909092,146591924,62.052,2021096715,1682721622,16,16,none,direct,epo,0,0.8,,,,4.869,3.0,7.0,3.825,362144
16wide-16simd-none-epo-0.8epoRat-frombvh-0,447.0,,70579,282089,776597,2880000,4196352,181487523,69684718,313.844,1939861624,789688736,16,16,none,frombvh,epo,0,0.8,,,,5.671,3.0,16.0,4.793,1129264
16wide-16simd-none-epo-0.9epoRat-direct-0,2821.0,,23107,305309,41297,2880000,4196352,131559016,147616138,58.703,2039556865,1687452710,16,16,none,direct,epo,0,0.9,,,,4.881,3.0,7.0,3.841,369712
16wide-16simd-none-epo-0.9epoRat-frombvh-0,458.0,,74549,298582,819654,2880000,4196352,192194454,70263896,221.173,2008809585,775373586,16,16,none,frombvh,epo,0,0.9,,,,6.074,2.0,15.0,5.2,1192784
2wide-2simd-none-epo-0.1epoRat-direct-0,373.0,,685636,685637,0,2880000,4196352,551121316,92760218,89.696,800951919,175194331,2,2,none,direct,epo,0,0.1,,,,,,,,1371273
2wide-2simd-none-epo-0.2epoRat-direct-0,385.0,,773324,773325,0,2880000,4196352,554893866,91209667,25.208,809211091,171333795,2,2,none,direct,epo,0,0.2,,,,,,,,1546649
2wide-2simd-none-epo-0.3epoRat-direct-0,404.0,,878331,878332,0,2880000,4196352,557004602,90447718,9.093,816900346,168117400,2,2,none,direct,epo,0,0.3,,,,,,,,1756663
2wide-2simd-none-epo-0.4epoRat-direct-0,425.0,,1011201,1011202,0,2880000,4196352,564194642,90404610,4.586,833274651,165026719,2,2,none,direct,epo,0,0.4,,,,,,,,2022403
2wide-2simd-none-epo-0.5epoRat-direct-0,442.0,,1146479,1146480,0,2880000,4196352,572419186,90503401,2.959,851451918,162224177,2,2,none,direct,epo,0,0.5,,,,,,,,2292959
2wide-2simd-none-epo-0.6epoRat-direct-0,473.0,,1269604,1269605,0,2880000,4196352,579434933,90580197,2.179,868305810,159468915,2,2,none,direct,epo,0,0.6,,,,,,,,2539209
2wide-2simd-none-epo-0.7epoRat-direct-0,502.0,,1384907,1384908,0,2880000,4196352,592023831,90913625,1.725,892885880,156882573,2,2,none,direct,epo,0,0.7,,,,,,,,2769815
2wide-2simd-none-epo-0.8epoRat-direct-0,496.0,,1491498,1491499,0,2880000,4196352,617510873,91365000,1.431,934430862,154329298,2,2,none,direct,epo,0,0.8,,,,,,,,2982997
2wide-2simd-none-epo-0.9epoRat-direct-0,536.0,,1590924,1590925,0,2880000,4196352,668596592,91961200,1.215,1011174221,152071370,2,2,none,direct,epo,0,0.9,,,,,,,,3181849
4wide-4simd-none-epo-0.1epoRat-direct-0,729.0,,182850,547472,1079,2880000,4196352,351249982,183952380,97.71,1404574146,629998266,4,4,none,direct,epo,0,0.1,,,,10.034,6.0,14.0,8.701,731400
4wide-4simd-none-epo-0.1epoRat-frombvh-0,427.0,,160919,321936,160822,2880000,4196352,350294809,190861810,95.9,1303965664,717581544,4,4,none,frombvh,epo,0,0.1,,,,9.919,6.0,17.0,8.668,643676
4wide-4simd-none-epo-0.2epoRat-direct-0,730.0,,184146,551418,1021,2880000,4196352,348186820,181719430,54.843,1392360136,623801895,4,4,none,direct,epo,0,0.2,,,,10.067,6.0,19.0,8.735,736584
4wide-4simd-none-epo-0.2epoRat-frombvh-0,424.0,,167614,335474,167369,2880000,4196352,350874874,187332670,52.551,1306177519,703258301,4,4,none,frombvh,epo,0,0.2,,,,10.024,6.0,24.0,8.774,670456
4wide-4simd-none-epo-0.3epoRat-direct-0,721.0,,185370,555073,1038,2880000,4196352,347573502,181644519,30.309,1389907435,623319491,4,4,none,direct,epo,0,0.3,,,,10.111,6.0,23.0,8.778,741480
4wide-4simd-none-epo-0.3epoRat-frombvh-0,429.0,,177799,355362,178036,2880000,4196352,354791984,188062801,28.232,1319301968,704255731,4,4,none,frombvh,epo,0,0.3,,,,10.147,6.0,29.0,8.895,711196
4wide-4simd-none-epo-0.4epoRat-direct-0,730.0,,186697,559008,1084,2880000,4196352,346895440,180945149,16.608,1387216718,621042209,4,4,none,direct,epo,0,0.4,,,,10.151,6.0,21.0,8.818,746788
4wide-4simd-none-epo-0.4epoRat-frombvh-0,438.0,,192386,384787,192372,2880000,4196352,357793752,185221184,15.155,1331628853,691177834,4,4,none,frombvh,epo,0,0.4,,,,10.323,6.0,29.0,9.072,769544
4wide-4simd-none-epo-0.5epoRat-direct-0,736.0,,188477,564107,1325,2880000,4196352,346879954,180293890,9.276,1387167670,618546144,4,4,none,direct,epo,0,0.5,,,,10.206,6.0,22.0,8.874,753908
4wide-4simd-none-epo-0.5epoRat-frombvh-0,454.0,,208443,416956,208374,2880000,4196352,362237365,182575898,8.288,1348955921,678233663,4,4,none,frombvh,epo,0,0.5,,,,10.523,6.0,30.0,9.273,833772
4wide-4simd-none-epo-0.6epoRat-direct-0,778.0,,190689,570457,1611,2880000,4196352,348123608,180893020,5.507,1392124473,619882544,4,4,none,direct,epo,0,0.6,,,,10.276,6.0,23.0,8.945,762756
4wide-4simd-none-epo-0.6epoRat-frombvh-0,457.0,,227958,455957,227918,2880000,4196352,371578993,182719687,4.864,1382032141,673755816,4,4,none,frombvh,epo,0,0.6,,,,10.804,6.0,32.0,9.554,911832
4wide-4simd-none-epo-0.7epoRat-direct-0,759.0,,192750,576202,2049,2880000,4196352,348412422,179967475,3.456,1393222500,616089442,4,4,none,direct,epo,0,0.7,,,,10.36,5.0,24.0,9.029,771000
4wide-4simd-none-epo-0.7epoRat-frombvh-0,492.0,,253723,507450,253720,2880000,4196352,382916987,180751615,3.439,1423272870,658104672,4,4,none,frombvh,epo,0,0.7,,,,11.152,5.0,33.0,9.904,1014892
4wide-4simd-none-epo-0.8epoRat-direct-0,720.0,,195351,583422,2632,2880000,4196352,349770015,182069725,2.662,1398509075,622356798,4,4,none,direct,epo,0,0.8,,,,10.431,5.0,23.0,9.101,781404
4wide-4simd-none-epo-0.8epoRat-frombvh-0,483.0,,285318,570834,285121,2880000,4196352,396304424,181761317,2.129,1468927204,649657805,4,4,none,frombvh,epo,0,0.8,,,,11.642,5.0,33.0,10.391,1141272
4wide-4simd-none-epo-0.9epoRat-direct-0,769.0,,198570,592501,3210,2880000,4196352,357192084,182629522,1.561,1428157083,621972222,4,4,none,direct,epo,0,0.9,,,,10.618,5.0,23.0,9.289,794280
4wide-4simd-none-epo-0.9epoRat-frombvh-0,516.0,,320837,641570,320942,2880000,4196352,428794962,178958001,1.676,1590821359,622959695,4,4,none,frombvh,epo,0,0.9,,,,12.463,4.0,34.0,11.214,1283348
8wide-8simd-none-epo-0.1epoRat-direct-0,1491.0,,58525,404206,5470,2880000,4196352,197495764,132078285,85.687,1576596631,789662638,8,8,none,direct,epo,0,0.1,,,,6.497,4.0,10.0,5.36,468200
8wide-8simd-none-epo-0.1epoRat-frombvh-0,401.0,,77177,232054,308186,2880000,4196352,212189030,130827535,84.016,1413202279,883164726,8,8,none,frombvh,epo,0,0.1,,,,6.532,4.0,12.0,5.551,617416
8wide-8simd-none-epo-0.2epoRat-direct-0,1564.0,,56958,393239,5468,2880000,4196352,195840265,132924264,65.283,1563264597,799522109,8,8,none,direct,epo,0,0.2,,,,6.498,4.0,10.0,5.361,455664
8wide-8simd-none-epo-0.2epoRat-frombvh-0,403.0,,82693,247653,331199,2880000,4196352,214497428,123770685,60.438,1426541850,817149966,8,8,none,frombvh,epo,0,0.2,,,,6.602,4.0,16.0,5.615,661544
8wide-8simd-none-epo-0.3epoRat-direct-0,1539.0,,56119,387130,5704,2880000,4196352,194639460,134265514,50.562,1553587746,811328004,8,8,none,direct,epo,0,0.3,,,,6.501,4.0,11.0,5.365,448952
8wide-8simd-none-epo-0.3epoRat-frombvh-0,404.0,,88169,263478,353706,2880000,4196352,215751685,117436826,43.413,1433777087,756273555,8,8,none,frombvh,epo,0,0.3,,,,6.674,4.0,18.0,5.684,705352
8wide-8simd-none-epo-0.4epoRat-direct-0,1460.0,,55350,381709,5742,2880000,4196352,193752812,136398996,38.996,1546599226,827185485,8,8,none,direct,epo,0,0.4,,,,6.508,4.0,10.0,5.372,442800
8wide-8simd-none-epo-0.4epoRat-frombvh-0,419.0,,94238,281862,377805,2880000,4196352,218062488,113765074,38.421,1444996648,717255855,8,8,none,frombvh,epo,0,0.4,,,,6.778,4.0,20.0,5.782,753904
8wide-8simd-none-epo-0.5epoRat-direct-0,1451.0,,55221,380122,6426,2880000,4196352,193297104,138267248,32.98,1542284312,834335170,8,8,none,direct,epo,0,0.5,,,,6.512,4.0,11.0,5.377,441768
8wide-8simd-none-epo-0.5epoRat-frombvh-0,436.0,,101433,303488,406544,2880000,4196352,220731608,111141987,34.666,1457883755,686271625,8,8,none,frombvh,epo,0,0.5,,,,6.908,4.0,19.0,5.912,811464
8wide-8simd-none-epo-0.6epoRat-direct-0,1226.0,,54902,376809,7506,2880000,4196352,193049774,139671634,31.639,1539733726,839116135,8,8,none,direct,epo,0,0.6,,,,6.505,4.0,11.0,5.371,439216
8wide-8simd-none-epo-0.6epoRat-frombvh-0,432.0,,110698,331238,443649,2880000,4196352,224557053,109648750,56.939,1473155386,662741080,8,8,none,frombvh,epo,0,0.6,,,,7.097,4.0,20.0,6.099,885584
8wide-8simd-none-epo-0.7epoRat-direct-0,1254.0,,55115,376864,8942,2880000,4196352,192590553,140366836,29.525,1535586874,844644475,8,8,none,direct,epo,0,0.7,,,,6.521,4.0,12.0,5.388,440920
8wide-8simd-none-epo-0.7epoRat-frombvh-0,436.0,,120922,362442,484013,2880000,4196352,230693976,108180467,117.901,1501741546,641331454,8,8,none,frombvh,epo,0,0.7,,,,7.327,3.0,20.0,6.328,967376
8wide-8simd-none-epo-0.8epoRat-direct-0,1216.0,,55842,379655,11240,2880000,4196352,200823106,149782989,24.274,1600476093,899861682,8,8,none,direct,epo,0,0.8,,,,6.534,4.0,10.0,5.405,446736
8wide-8simd-none-epo-0.8epoRat-frombvh-0,461.0,,132023,396640,527522,2880000,4196352,246334523,110573542,223.214,1590469616,644561123,8,8,none,frombvh,epo,0,0.8,,,,7.659,3.0,21.0,6.66,1056184
8wide-8simd-none-epo-0.9epoRat-direct-0,1194.0,,56983,385406,13476,2880000,4196352,201665595,150524166,18.861,1606102331,903780773,8,8,none,direct,epo,0,0.9,,,,6.577,4.0,10.0,5.45,455864
8wide-8simd-none-epo-0.9epoRat-frombvh-0,469.0,,143361,429578,573950,2880000,4196352,267042614,112672348,577.866,1706708643,645813485,8,8,none,frombvh,epo,0,0.9,,,,8.202,3.0,22.0,7.201,1146888
