Configuration,CreationTime,OptimizationTime,InteriorNodes,LeafNodes,EmptyNodes,PrimCount,RayCount,NodeIntersections,PrimIntersections,Metric,SISDNodeIntersections,SISDPrimIntersections,TreeWidth,SimdWidth,Optimizations,CreationMethod,SplitMethod,Variant,EpoRatio,OptiMergedInner,OptiMergedLeaf,OptiMergedParent,LeafDepthAvg,LeafDepthMin,LeafDepthMax,InteriorDepthAvg,TotalNodes
8wide-8simd-none-epo-0.1epoRat-direct-2,25160.0,,122573,527906,330542,2662968,6231520,1225872508,247467793,10.99,7060295754,1258645578,8,8,none,direct,epo,2,0.1,,,,6.723,0.0,12.0,5.61,980584
8wide-8simd-none-epo-0.2epoRat-direct-2,25570.0,,129128,543274,361059,2662968,6231520,1220503356,243091990,10.143,7068376710,1203102788,8,8,none,direct,epo,2,0.2,,,,6.775,0.0,13.0,5.661,1033024
8wide-8simd-none-epo-0.3epoRat-direct-2,26429.0,,134677,554463,388713,2662968,6231520,1194346021,237492270,9.162,6902571401,1167920632,8,8,none,direct,epo,2,0.3,,,,6.864,0.0,12.0,5.755,1077416
8wide-8simd-none-epo-0.4epoRat-direct-2,26103.0,,139730,565182,413365,2662968,6231520,1179903968,241407538,7.573,6784480329,1165237473,8,8,none,direct,epo,2,0.4,,,,7.115,0.0,14.0,6.005,1117840
8wide-8simd-none-epo-0.5epoRat-direct-2,27228.0,,145300,576851,440686,2662968,6231520,1169994612,239714029,6.584,6726267229,1150078159,8,8,none,direct,epo,2,0.5,,,,7.242,0.0,15.0,6.135,1162400
8wide-8simd-none-epo-0.6epoRat-direct-2,27002.0,,151289,588543,470917,2662968,6231520,1158153059,233299705,5.85,6616973895,1111831227,8,8,none,direct,epo,2,0.6,,,,7.437,0.0,16.0,6.334,1210312
8wide-8simd-none-epo-0.7epoRat-direct-2,28285.0,,158595,603601,507001,2662968,6231520,1155104085,231198965,5.231,6521099886,1083726367,8,8,none,direct,epo,2,0.7,,,,7.606,0.0,15.0,6.5,1268760
8wide-8simd-none-epo-0.8epoRat-direct-2,28911.0,,168173,623437,554211,2662968,6231520,1160090998,233002554,4.387,6455913206,1090599497,8,8,none,direct,epo,2,0.8,,,,8.081,0.0,19.0,6.983,1345384
8wide-8simd-none-epo-0.9epoRat-direct-2,29094.0,,179882,647827,611784,2662968,6231520,1173955114,233590931,2.261,6362022213,1060386779,8,8,none,direct,epo,2,0.9,,,,9.639,0.0,24.0,8.485,1439056
8wide-8simd-none-sah-0epoRat-direct-2,15230.0,,114214,507061,292874,2662968,6231520,1234649172,251799865,12.026,7113053871,1293837641,8,8,none,direct,sah,2,0,,,,6.657,0.0,12.0,5.549,913712
