Configuration,CreationTime,OptimizationTime,InteriorNodes,LeafNodes,EmptyNodes,PrimCount,RayCount,NodeIntersections,PrimIntersections,Metric,SISDNodeIntersections,SISDPrimIntersections,TreeWidth,SimdWidth,Optimizations,CreationMethod,SplitMethod,Variant,EpoRatio,OptiMergedInner,OptiMergedLeaf,OptiMergedParent,LeafDepthAvg,LeafDepthMin,LeafDepthMax,InteriorDepthAvg,TotalNodes
4wide-4simd-none-epo-0.1epoRat-direct-0,699.0,,277752,817481,16212,2662968,6231520,1478067760,295231619,11.68,5353391937,844893548,4,4,none,direct,epo,0,0.1,,,,9.558,0.0,18.0,8.245,1111008
4wide-4simd-none-epo-0.1epoRat-direct-1,1168.0,,291114,691035,182744,2662968,6231520,1670875438,302135759,12.723,5751572056,961691988,4,4,none,direct,epo,1,0.1,,,,10.214,0.0,20.0,8.91,1164456
4wide-4simd-none-epo-0.1epoRat-direct-2,9022.0,,276541,720868,109192,2662968,6231520,1509617034,285049652,12.171,5276348798,893282765,4,4,none,direct,epo,2,0.1,,,,9.718,0.0,19.0,8.381,1106164
4wide-4simd-none-epo-0.1epoRat-direct-3,15902.0,,276781,811149,19631,2662968,6231520,1532763469,298893657,11.626,5506509813,866740269,4,4,none,direct,epo,3,0.1,,,,10.607,0.0,21.0,9.296,1107124
4wide-4simd-none-epo-0.2epoRat-direct-0,791.0,,288320,848348,17049,2662968,6231520,1452709248,292857475,9.218,5259832617,826118507,4,4,none,direct,epo,0,0.2,,,,9.768,0.0,18.0,8.457,1153280
4wide-4simd-none-epo-0.2epoRat-direct-1,1367.0,,313834,705199,236740,2662968,6231520,1705922129,293239592,9.241,5819670001,917942252,4,4,none,direct,epo,1,0.2,,,,10.624,0.0,21.0,9.33,1255336
4wide-4simd-none-epo-0.2epoRat-direct-2,9370.0,,296198,742538,146493,2662968,6231520,1497759017,278580298,9.516,5265080931,860842684,4,4,none,direct,epo,2,0.2,,,,9.837,0.0,19.0,8.515,1184792
4wide-4simd-none-epo-0.2epoRat-direct-3,16339.0,,296582,866450,23733,2662968,6231520,1515743892,292766282,8.754,5459530548,826288023,4,4,none,direct,epo,3,0.2,,,,10.716,0.0,21.0,9.409,1186328
4wide-4simd-none-epo-0.3epoRat-direct-0,687.0,,298617,878052,18236,2662968,6231520,1393253609,281558310,7.37,5066210799,782202010,4,4,none,direct,epo,0,0.3,,,,9.825,0.0,18.0,8.513,1194468
4wide-4simd-none-epo-0.3epoRat-direct-1,1425.0,,338373,720855,294701,2662968,6231520,1732236961,288470278,6.901,5867027683,912933583,4,4,none,direct,epo,1,0.3,,,,10.908,0.0,24.0,9.637,1353492
