Configuration,CreationTime,OptimizationTime,InteriorNodes,LeafNodes,EmptyNodes,PrimCount,RayCount,NodeIntersections,PrimIntersections,Metric,SISDNodeIntersections,SISDPrimIntersections,TreeWidth,SimdWidth,Optimizations,CreationMethod,SplitMethod,Variant,EpoRatio,OptiMergedInner,OptiMergedLeaf,OptiMergedParent,LeafDepthAvg,LeafDepthMin,LeafDepthMax,InteriorDepthAvg,TotalNodes
16wide-16simd-all-epo-0.1epoRat-direct-0,2565.0,518.0,27387,333077,78165,2662968,6231520,1211728708,245297120,8.033,11728683851,2100852469,16,16,all,direct,epo,0,0.1,5643,104558,1742,4.471,0.0,7.0,3.421,438192
16wide-16simd-all-epo-0.1epoRat-frombvh-0,407.0,358.0,12354,141618,44129,2662968,6231520,1943073497,328431655,8.386,13917556553,4216784283,16,16,all,frombvh,epo,0,0.1,17035,986,5989,4.678,0.0,9.0,3.702,197664
16wide-16simd-all-epo-0.2epoRat-direct-0,2465.0,564.0,28152,341546,81171,2662968,6231520,1141912221,242131779,7.221,10601617400,2081754456,16,16,all,direct,epo,0,0.2,6088,106724,1893,4.599,0.0,8.0,3.55,450432
16wide-16simd-all-epo-0.2epoRat-frombvh-0,382.0,367.0,13926,158591,50736,2662968,6231520,1776059763,314086434,8.203,13399680524,3968290894,16,16,all,frombvh,epo,0,0.2,18820,1398,7026,4.757,0.0,9.0,3.786,222816
16wide-16simd-all-epo-0.3epoRat-direct-0,2770.0,538.0,27816,337323,80354,2662968,6231520,1113065052,242649982,7.108,10169787491,2090043190,16,16,all,direct,epo,0,0.3,6572,105632,2055,4.535,0.0,8.0,3.489,445056
16wide-16simd-all-epo-0.3epoRat-frombvh-0,453.0,504.0,15300,173622,56315,2662968,6231520,1746231247,285766068,8.765,13817022165,3568762353,16,16,all,frombvh,epo,0,0.3,20396,2216,8085,4.989,0.0,11.0,4.004,244800
16wide-16simd-all-epo-0.4epoRat-direct-0,2679.0,617.0,29913,359966,89166,2662968,6231520,1052504925,241710496,6.605,10416774240,1993779966,16,16,all,direct,epo,0,0.4,6903,114604,2163,4.625,0.0,7.0,3.578,478608
16wide-16simd-all-epo-0.4epoRat-frombvh-0,526.0,519.0,16900,189834,64103,2662968,6231520,1574290758,259447443,6.657,12991928917,3157305765,16,16,all,frombvh,epo,0,0.4,21881,3651,9199,5.343,0.0,11.0,4.373,270400
16wide-16simd-all-epo-0.5epoRat-direct-0,3588.0,644.0,29605,355873,88639,2662968,6231520,1039640046,238519222,6.23,10382787151,1952644244,16,16,all,direct,epo,0,0.5,7576,118079,2503,4.714,0.0,8.0,3.669,473680
16wide-16simd-all-epo-0.5epoRat-frombvh-0,630.0,670.0,18476,206279,71298,2662968,6231520,1625374017,266539808,6.137,13642448226,3111772542,16,16,all,frombvh,epo,0,0.5,23565,5970,10425,5.898,0.0,13.0,4.928,295616
16wide-16simd-all-epo-0.6epoRat-direct-0,2695.0,640.0,30365,363649,92263,2662968,6231520,1046036830,245632909,5.455,10301583248,2081940866,16,16,all,direct,epo,0,0.6,7938,120166,2530,4.669,0.0,8.0,3.623,485840
16wide-16simd-all-epo-0.6epoRat-frombvh-0,676.0,807.0,20575,225508,83554,2662968,6231520,1507872856,244092870,6.851,13106784948,2731706312,16,16,all,frombvh,epo,0,0.6,24765,15294,14544,6.329,0.0,15.0,5.377,329200
16wide-16simd-all-epo-0.7epoRat-direct-0,2708.0,663.0,30879,368610,95012,2662968,6231520,1057964167,247862296,5.033,10415250168,2104313784,16,16,all,direct,epo,0,0.7,8422,121249,2709,4.702,0.0,8.0,3.66,494064
16wide-16simd-all-epo-0.7epoRat-frombvh-0,644.0,898.0,22147,240764,91878,2662968,6231520,1516605751,244589095,7.635,13347206816,2604694134,16,16,all,frombvh,epo,0,0.7,26104,26062,18165,6.621,0.0,20.0,5.661,354352
16wide-16simd-all-epo-0.8epoRat-direct-0,2655.0,681.0,31139,369925,97597,2662968,6231520,1062720110,232458367,4.68,10674902414,1819860427,16,16,all,direct,epo,0,0.8,8726,123643,3057,4.765,0.0,8.0,3.728,498224
16wide-16simd-all-epo-0.8epoRat-frombvh-0,826.0,1222.0,23779,256782,100340,2662968,6231520,1563456352,237853917,3.362,14239777854,2365920379,16,16,all,frombvh,epo,0,0.8,27435,38785,22648,7.944,0.0,21.0,6.991,380464
16wide-16simd-all-epo-0.9epoRat-direct-0,3542.0,744.0,31466,368943,103484,2662968,6231520,1067391022,235488051,4.342,10594130119,1870500127,16,16,all,direct,epo,0,0.9,9409,130496,3876,4.875,0.0,10.0,3.854,503456
16wide-16simd-all-epo-0.9epoRat-frombvh-0,1017.0,1633.0,24907,268393,105649,2662968,6231520,1779621780,250052129,4.725,16875373372,2386889429,16,16,all,frombvh,epo,0,0.9,28905,57399,27686,9.31,0.0,26.0,8.357,398512
16wide-16simd-all-sah-0epoRat-direct-0,622.0,257.0,27918,341507,77700,2662968,6231520,1281023110,256244941,8.412,12098370450,2199547697,16,16,all,direct,sah,0,0,4747,95710,1185,4.537,0.0,7.0,3.483,446688
16wide-16simd-all-sah-0epoRat-frombvh-0,362.0,120.0,10753,123950,37782,2662968,6231520,2202225909,369778848,8.413,15104786148,4823103510,16,16,all,frombvh,sah,0,0,14911,704,5264,4.592,0.0,9.0,3.606,172048
16wide-16simd-none-epo-0.1epoRat-direct-0,2492.0,,34772,437635,84382,2662968,6231520,1139216880,264178608,7.918,11895899488,1995216613,16,16,none,direct,epo,0,0.1,,,,4.429,0.0,8.0,3.457,556352
16wide-16simd-none-epo-0.1epoRat-frombvh-0,408.0,,35378,142604,388503,2662968,6231520,1882194796,339899548,7.351,13791509398,4360934518,16,16,none,frombvh,epo,0,0.1,,,,4.8,0.0,9.0,3.945,566048
16wide-16simd-none-epo-0.2epoRat-direct-0,2475.0,,36133,448270,94162,2662968,6231520,1087893384,259366575,7.243,10939922244,1981595585,16,16,none,direct,epo,0,0.2,,,,4.558,0.0,8.0,3.589,578128
16wide-16simd-none-epo-0.2epoRat-frombvh-0,381.0,,39772,159989,437028,2662968,6231520,1706491001,317314547,7.159,13018721644,4008839112,16,16,none,frombvh,epo,0,0.2,,,,4.883,0.0,9.0,4.038,636352
16wide-16simd-none-epo-0.3epoRat-direct-0,3044.0,,36443,442955,104127,2662968,6231520,1061052874,261050223,6.582,10344368455,1984371228,16,16,none,direct,epo,0,0.3,,,,4.493,0.0,8.0,3.549,583088
16wide-16simd-none-epo-0.3epoRat-frombvh-0,449.0,,43781,175838,481314,2662968,6231520,1674627073,297057505,6.864,13106141737,3696045966,16,16,none,frombvh,epo,0,0.3,,,,5.122,0.0,11.0,4.28,700496
16wide-16simd-none-epo-0.4epoRat-direct-0,2675.0,,38979,474570,110552,2662968,6231520,987003251,260623505,6.498,10575850129,1866682209,16,16,none,direct,epo,0,0.4,,,,4.578,0.0,8.0,3.609,623664
16wide-16simd-none-epo-0.4epoRat-frombvh-0,530.0,,47980,193485,526652,2662968,6231520,1563321189,277563349,5.581,12873720228,3353526545,16,16,none,frombvh,epo,0,0.4,,,,5.479,0.0,12.0,4.64,767680
16wide-16simd-none-epo-0.5epoRat-direct-0,3584.0,,39684,473952,121745,2662968,6231520,986258116,254268213,6.045,10472958705,1853945658,16,16,none,direct,epo,0,0.5,,,,4.671,0.0,8.0,3.714,634944
16wide-16simd-none-epo-0.5epoRat-frombvh-0,631.0,,52466,212249,575178,2662968,6231520,1529513390,271890900,5.126,12539404249,3127719798,16,16,none,frombvh,epo,0,0.5,,,,6.039,0.0,14.0,5.2,839456
16wide-16simd-none-epo-0.6epoRat-direct-0,2683.0,,40833,483815,129117,2662968,6231520,971247484,263521100,5.133,10266392376,1979947319,16,16,none,direct,epo,0,0.6,,,,4.618,0.0,8.0,3.663,653328
16wide-16simd-none-epo-0.6epoRat-frombvh-0,669.0,,59884,240802,657895,2662968,6231520,1462232863,260454665,4.637,12026801109,2843462227,16,16,none,frombvh,epo,0,0.6,,,,6.502,0.0,16.0,5.663,958144
16wide-16simd-none-epo-0.7epoRat-direct-0,2705.0,,42010,489859,140728,2662968,6231520,991946377,265706832,4.712,10439966347,1998098008,16,16,none,direct,epo,0,0.7,,,,4.65,0.0,8.0,3.699,672160
16wide-16simd-none-epo-0.7epoRat-frombvh-0,650.0,,66416,266826,729851,2662968,6231520,1398402759,249476257,4.446,11548013507,2567376901,16,16,none,frombvh,epo,0,0.7,,,,6.831,0.0,20.0,5.975,1062656
16wide-16simd-none-epo-0.8epoRat-direct-0,2633.0,,42922,493568,150699,2662968,6231520,991203894,250331057,4.705,10385576315,1707954051,16,16,none,direct,epo,0,0.8,,,,4.719,0.0,8.0,3.766,686752
16wide-16simd-none-epo-0.8epoRat-frombvh-0,828.0,,73862,295567,812800,2662968,6231520,1482465341,251283819,2.459,12619314304,2361397515,16,16,none,frombvh,epo,0,0.8,,,,8.192,0.0,22.0,7.326,1181792
16wide-16simd-none-epo-0.9epoRat-direct-0,2986.0,,44751,499439,172263,2662968,6231520,1000890764,251383682,4.316,10446321853,1759801578,16,16,none,direct,epo,0,0.9,,,,4.848,0.0,10.0,3.906,716016
16wide-16simd-none-epo-0.9epoRat-frombvh-0,1033.0,,81498,325792,897115,2662968,6231520,1530318089,252046407,1.588,13362523272,2269224473,16,16,none,frombvh,epo,0,0.9,,,,9.603,0.0,28.0,8.738,1303968
16wide-16simd-none-sah-0epoRat-direct-0,622.0,,33850,437217,70970,2662968,6231520,1215932518,271386298,8.391,12437491332,2089238581,16,16,none,direct,sah,0,0,,,,4.454,0.0,8.0,3.459,541600
16wide-16simd-none-sah-0epoRat-frombvh-0,379.0,,30928,124654,339703,2662968,6231520,2165152559,382309364,7.909,15582123077,4978550296,16,16,none,frombvh,sah,0,0,,,,4.713,0.0,9.0,3.821,494848
2wide-2simd-none-epo-0.1epoRat-direct-0,401.0,,1184194,1184631,0,2662968,6231520,3357554930,208335393,14.797,3705975846,339494775,2,2,none,direct,epo,0,0.1,,,,,,,,2368825
