Configuration,CreationTime,OptimizationTime,InteriorNodes,LeafNodes,EmptyNodes,PrimCount,RayCount,NodeIntersections,PrimIntersections,Metric,SISDNodeIntersections,SISDPrimIntersections,TreeWidth,SimdWidth,Optimizations,CreationMethod,SplitMethod,Variant,EpoRatio,OptiMergedInner,OptiMergedLeaf,OptiMergedParent,LeafDepthAvg,LeafDepthMin,LeafDepthMax,InteriorDepthAvg,TotalNodes
16wide-16simd-none-epo-0.1epoRat-direct-1,,,,,,,,,,,,,16,16,none,direct,epo,1,0.1,,,,,,,,
16wide-16simd-none-epo-0.1epoRat-direct-2,2522.0,,34772,437635,84382,2662968,6231520,1139216880,264178608,7.918,11895899488,1995216613,16,16,none,direct,epo,2,0.1,,,,4.429,0.0,8.0,3.457,556352
16wide-16simd-none-epo-0.1epoRat-direct-3,,,,,,,,,,,,,16,16,none,direct,epo,3,0.1,,,,,,,,
16wide-16simd-none-epo-0.1epoRat-frombvh-1,2496.0,,18494,142604,135243,2662968,6231520,2344238397,390712117,8.679,18436024942,4925642594,16,16,none,frombvh,epo,1,0.1,,,123673,6.725,0.0,19.0,5.912,295904
16wide-16simd-none-epo-0.1epoRat-frombvh-2,423.0,,15008,142604,82953,2662968,6231520,2093619258,354330763,8.332,11864160223,4521533896,16,16,none,frombvh,epo,2,0.1,,,,6.132,0.0,15.0,5.011,240128
16wide-16simd-none-epo-0.2epoRat-direct-1,,,,,,,,,,,,,16,16,none,direct,epo,1,0.2,,,,,,,,
16wide-16simd-none-epo-0.2epoRat-direct-2,2846.0,,36133,448270,94162,2662968,6231520,1087893384,259366575,7.219,10939922244,1981595585,16,16,none,direct,epo,2,0.2,,,,4.558,0.0,8.0,3.589,578128
16wide-16simd-none-epo-0.2epoRat-direct-3,,,,,,,,,,,,,16,16,none,direct,epo,3,0.2,,,,,,,,
16wide-16simd-none-epo-0.2epoRat-frombvh-1,2638.0,,20960,159989,154848,2662968,6231520,2159094437,371808072,7.88,17953115838,4605219105,16,16,none,frombvh,epo,1,0.2,,,138592,6.361,0.0,14.0,5.564,335360
16wide-16simd-none-epo-0.2epoRat-frombvh-2,403.0,,16862,159989,93378,2662968,6231520,1909534749,325534468,7.212,11365859028,4084103833,16,16,none,frombvh,epo,2,0.2,,,,6.378,0.0,13.0,5.263,269792
16wide-16simd-none-epo-0.3epoRat-direct-1,,,,,,,,,,,,,16,16,none,direct,epo,1,0.3,,,,,,,,
16wide-16simd-none-epo-0.3epoRat-direct-2,2849.0,,36443,442955,104127,2662968,6231520,1061052874,261050223,7.046,10344368455,1984371228,16,16,none,direct,epo,2,0.3,,,,4.493,0.0,8.0,3.549,583088
16wide-16simd-none-epo-0.3epoRat-direct-3,,,,,,,,,,,,,16,16,none,direct,epo,3,0.3,,,,,,,,
16wide-16simd-none-epo-0.3epoRat-frombvh-1,2979.0,,23403,175838,175644,2662968,6231520,2017850798,331172237,6.483,17249601438,4058619579,16,16,none,frombvh,epo,1,0.3,,,151998,6.442,0.0,16.0,5.666,374448
16wide-16simd-none-epo-0.3epoRat-frombvh-2,461.0,,18594,175838,103509,2662968,6231520,1883570524,310708622,6.356,11306676623,3858361147,16,16,none,frombvh,epo,2,0.3,,,,6.548,0.0,15.0,5.428,297504
16wide-16simd-none-epo-0.4epoRat-direct-1,,,,,,,,,,,,,16,16,none,direct,epo,1,0.4,,,,,,,,
16wide-16simd-none-epo-0.4epoRat-direct-2,2629.0,,38979,474570,110552,2662968,6231520,987003251,260623505,6.498,10575850129,1866682209,16,16,none,direct,epo,2,0.4,,,,4.578,0.0,8.0,3.609,623664
16wide-16simd-none-epo-0.4epoRat-direct-3,,,,,,,,,,,,,16,16,none,direct,epo,3,0.4,,,,,,,,
16wide-16simd-none-epo-0.4epoRat-frombvh-1,3941.0,,26270,193485,201002,2662968,6231520,1916475604,322615941,5.037,17032653213,3791860833,16,16,none,frombvh,epo,1,0.4,,,166778,6.355,0.0,16.0,5.583,420320
16wide-16simd-none-epo-0.4epoRat-frombvh-2,543.0,,20475,193485,114077,2662968,6231520,1813401633,292119209,4.505,11303611979,3493288022,16,16,none,frombvh,epo,2,0.4,,,,7.204,0.0,16.0,6.083,327600
16wide-16simd-none-epo-0.5epoRat-direct-1,,,,,,,,,,,,,16,16,none,direct,epo,1,0.5,,,,,,,,
16wide-16simd-none-epo-0.5epoRat-direct-2,3630.0,,39684,473952,121745,2662968,6231520,986258116,254268213,6.045,10472958705,1853945658,16,16,none,direct,epo,2,0.5,,,,4.671,0.0,8.0,3.714,634944
16wide-16simd-none-epo-0.5epoRat-direct-3,,,,,,,,,,,,,16,16,none,direct,epo,3,0.5,,,,,,,,
16wide-16simd-none-epo-0.5epoRat-frombvh-1,4895.0,,29422,212249,229518,2662968,6231520,1815410251,309249806,4.665,16613337500,3498611149,16,16,none,frombvh,epo,1,0.5,,,182390,6.636,0.0,16.0,5.855,470752
16wide-16simd-none-epo-0.5epoRat-frombvh-2,647.0,,22397,212249,124143,2662968,6231520,1731522104,284355174,4.919,10852145421,3238580446,16,16,none,frombvh,epo,2,0.5,,,,7.237,0.0,17.0,6.114,358352
16wide-16simd-none-epo-0.6epoRat-direct-1,,,,,,,,,,,,,16,16,none,direct,epo,1,0.6,,,,,,,,
16wide-16simd-none-epo-0.6epoRat-direct-2,2682.0,,40833,483815,129117,2662968,6231520,971247484,263521100,5.083,10266392376,1979947319,16,16,none,direct,epo,2,0.6,,,,4.618,0.0,8.0,3.663,653328
16wide-16simd-none-epo-0.6epoRat-direct-3,,,,,,,,,,,,,16,16,none,direct,epo,3,0.6,,,,,,,,
16wide-16simd-none-epo-0.6epoRat-frombvh-1,5852.0,,34982,240802,284365,2662968,6231520,1624122776,282577810,3.915,15261171557,3022603223,16,16,none,frombvh,epo,1,0.6,,,205383,7.02,0.0,18.0,6.284,559712
16wide-16simd-none-epo-0.6epoRat-frombvh-2,697.0,,25448,240802,141355,2662968,6231520,1606154508,271508101,4.019,10727106491,2948322352,16,16,none,frombvh,epo,2,0.6,,,,8.004,0.0,19.0,6.881,407168
16wide-16simd-none-epo-0.7epoRat-direct-1,,,,,,,,,,,,,16,16,none,direct,epo,1,0.7,,,,,,,,
16wide-16simd-none-epo-0.7epoRat-direct-2,2724.0,,42010,489859,140728,2662968,6231520,991946377,265706832,4.712,10439966347,1998098008,16,16,none,direct,epo,2,0.7,,,,4.65,0.0,8.0,3.699,672160
