Configuration,CreationTime,OptimizationTime,InteriorNodes,LeafNodes,EmptyNodes,PrimCount,RayCount,NodeIntersections,PrimIntersections,Metric,SISDNodeIntersections,SISDPrimIntersections,TreeWidth,SimdWidth,Optimizations,CreationMethod,SplitMethod,Variant,EpoRatio,OptiMergedInner,OptiMergedLeaf,OptiMergedParent,LeafDepthAvg,LeafDepthMin,LeafDepthMax,InteriorDepthAvg,TotalNodes
16wide-16simd-all-epo-0.6epoRat-direct-0,2697.0,665.0,30381,363858,92294,2662968,6231520,1045561107,245815495,5.439,10307040020,2082661153,16,16,all,direct,epo,0,0.6,7928,119957,2524,4.67,0.0,8.0,3.624,486096
16wide-16simd-all-epo-0.7epoRat-frombvh-0,649.0,902.0,22148,240709,91948,2662968,6231520,1518726159,245030678,7.638,13350041968,2606958565,16,16,all,frombvh,epo,0,0.7,26038,26117,18230,6.624,0.0,20.0,5.665,354368
16wide-16simd-all-sah-0epoRat-direct-0,664.0,256.0,27892,341216,77601,2662968,6231520,1283767883,255854483,8.386,12133327717,2195049078,16,16,all,direct,sah,0,0,4769,96001,1189,4.536,0.0,8.0,3.483,446272
16wide-16simd-all-sah-0epoRat-frombvh-0,370.0,121.0,10755,123937,37825,2662968,6231520,2202964339,369708081,8.401,15104261535,4822529798,16,16,all,frombvh,sah,0,0,14907,717,5266,4.592,0.0,9.0,3.606,172080
16wide-16simd-none-epo-0.6epoRat-direct-0,2693.0,,40833,483815,129117,2662968,6231520,971247484,263521100,5.133,10266392376,1979947319,16,16,none,direct,epo,0,0.6,,,,4.618,0.0,8.0,3.663,653328
16wide-16simd-none-epo-0.7epoRat-frombvh-0,666.0,,66416,266826,729851,2662968,6231520,1398402759,249476257,4.446,11548013507,2567376901,16,16,none,frombvh,epo,0,0.7,,,,6.831,0.0,20.0,5.975,1062656
16wide-16simd-none-sah-0epoRat-direct-0,644.0,,33850,437217,70970,2662968,6231520,1215932518,271386298,8.391,12437491332,2089238581,16,16,none,direct,sah,0,0,,,,4.454,0.0,8.0,3.459,541600
16wide-16simd-none-sah-0epoRat-frombvh-0,374.0,,30928,124654,339703,2662968,6231520,2165152559,382309364,7.913,15582123077,4978550296,16,16,none,frombvh,sah,0,0,,,,4.713,0.0,9.0,3.821,494848
2wide-2simd-none-epo-0.1epoRat-direct-0,402.0,,1184194,1184631,0,2662968,6231520,3357554930,208335393,14.797,3705975846,339494775,2,2,none,direct,epo,0,0.1,,,,,,,,2368825
2wide-2simd-none-sah-0epoRat-direct-0,334.0,,1000645,1001082,0,2662968,6231520,3439566452,230130784,28.002,3801760161,391087558,2,2,none,direct,sah,0,0,,,,,,,,2001727
