Configuration,CreationTime,OptimizationTime,InteriorNodes,LeafNodes,EmptyNodes,PrimCount,RayCount,NodeIntersections,PrimIntersections,Metric,SISDNodeIntersections,SISDPrimIntersections,TreeWidth,SimdWidth,Optimizations,CreationMethod,SplitMethod,Variant,EpoRatio,OptiMergedInner,OptiMergedLeaf,OptiMergedParent,LeafDepthAvg,LeafDepthMin,LeafDepthMax,InteriorDepthAvg,TotalNodes
16wide-16simd-all-epo-0.1epoRat-direct-0,9345.0,1724.0,68589,949973,78863,7219557,5595136,200294463,88726234,3.389,3128756622,959428384,16,16,all,direct,epo,0,0.1,209,78049,,5.443,1.0,6.0,4.409,1097424
16wide-16simd-all-epo-0.1epoRat-frombvh-0,1062.0,1465.0,31299,395694,73792,7219557,5595136,273258057,105474507,4.382,3857930290,1507085528,16,16,all,frombvh,epo,0,0.1,58666,827,9200,5.584,2.0,7.0,4.513,500784
16wide-16simd-all-epo-0.2epoRat-direct-0,9643.0,2476.0,86906,1173729,129862,7219557,5595136,205352266,85089844,2.997,3186266620,847221107,16,16,all,direct,epo,0,0.2,699,132395,3,5.569,2.0,6.0,4.537,1390496
16wide-16simd-all-epo-0.2epoRat-frombvh-0,1083.0,1678.0,35096,445551,80890,7219557,5595136,280065340,95793633,4.123,4049042848,1363210951,16,16,all,frombvh,epo,0,0.2,67129,1076,9803,5.656,1.0,7.0,4.582,561536
16wide-16simd-all-epo-0.3epoRat-direct-0,10314.0,3291.0,105703,1394164,191382,7219557,5595136,205826842,81687733,2.666,3192889226,743980864,16,16,all,direct,epo,0,0.3,1538,200663,4,5.649,2.0,6.0,4.617,1691248
16wide-16simd-all-epo-0.3epoRat-frombvh-0,1084.0,1781.0,37791,478220,88646,7219557,5595136,288533687,88880279,4.226,4170636976,1249162851,16,16,all,frombvh,epo,0,0.3,70065,1494,10349,5.674,1.0,7.0,4.604,604656
16wide-16simd-all-epo-0.4epoRat-direct-0,11081.0,4338.0,130726,1704777,256114,7219557,5595136,210334987,80547733,2.382,3250777079,653461583,16,16,all,direct,epo,0,0.4,2859,276872,3,5.73,2.0,6.0,4.691,2091616
16wide-16simd-all-epo-0.4epoRat-frombvh-0,1095.0,1900.0,40659,509586,100300,7219557,5595136,288177407,85570517,4.05,4166474251,1189989556,16,16,all,frombvh,epo,0,0.4,73082,2917,11627,5.696,1.0,7.0,4.638,650544
16wide-16simd-all-epo-0.5epoRat-direct-0,11462.0,4827.0,142387,1844495,291311,7219557,5595136,215072721,79459154,2.145,3308978807,589968454,16,16,all,direct,epo,0,0.5,4422,323406,11,5.766,2.0,6.0,4.723,2278192
16wide-16simd-all-epo-0.5epoRat-frombvh-0,1093.0,1933.0,43319,537573,112213,7219557,5595136,287395957,77269539,3.089,4134145736,1025498701,16,16,all,frombvh,epo,0,0.5,73081,4119,13470,5.728,1.0,8.0,4.686,693104
