Configuration,CreationTime,OptimizationTime,InteriorNodes,LeafNodes,EmptyNodes,PrimCount,RayCount,NodeIntersections,PrimIntersections,Metric,SISDNodeIntersections,SISDPrimIntersections,TreeWidth,SimdWidth,Optimizations,CreationMethod,SplitMethod,Variant,EpoRatio,OptiMergedInner,OptiMergedLeaf,OptiMergedParent,LeafDepthAvg,LeafDepthMin,LeafDepthMax,InteriorDepthAvg,TotalNodes
16wide-16simd-none-epo-0.1epoRat-direct-1,,,,,,,,,,,,,16,16,none,direct,epo,1,0.1,,,,,,,,
16wide-16simd-none-epo-0.1epoRat-direct-2,9239.0,,68798,1028022,3949,7219557,5595136,200994658,89183337,3.404,3172026903,945954471,16,16,none,direct,epo,2,0.1,,,,5.475,1.0,6.0,4.41,1100768
16wide-16simd-none-epo-0.1epoRat-direct-3,,,,,,,,,,,,,16,16,none,direct,epo,3,0.1,,,,,,,,
16wide-16simd-none-epo-0.1epoRat-frombvh-1,9672.0,,52004,396521,383540,7219557,5595136,355607899,114902599,4.395,5395549346,1642636114,16,16,none,frombvh,epo,1,0.1,,,344516,9.321,1.0,17.0,8.529,832064
16wide-16simd-none-epo-0.1epoRat-frombvh-2,1125.0,,40946,396521,217670,7219557,5595136,285967891,108277668,4.149,2925579214,1545746924,16,16,none,frombvh,epo,2,0.1,,,,7.485,2.0,13.0,6.398,655136
16wide-16simd-none-epo-0.2epoRat-direct-1,,,,,,,,,,,,,16,16,none,direct,epo,1,0.2,,,,,,,,
16wide-16simd-none-epo-0.2epoRat-direct-2,9820.0,,87608,1306124,7997,7219557,5595136,205762351,85893886,3.008,3235847178,831303239,16,16,none,direct,epo,2,0.2,,,,5.605,2.0,6.0,4.541,1401728
16wide-16simd-none-epo-0.2epoRat-direct-3,,,,,,,,,,,,,16,16,none,direct,epo,3,0.2,,,,,,,,
16wide-16simd-none-epo-0.2epoRat-frombvh-1,11421.0,,58579,446627,432059,7219557,5595136,348314471,101986190,3.598,5286793788,1449941708,16,16,none,frombvh,epo,1,0.2,,,388047,9.408,1.0,17.0,8.613,937264
16wide-16simd-none-epo-0.2epoRat-frombvh-2,1152.0,,45894,446627,241784,7219557,5595136,265655827,98893501,3.257,2923454550,1406614717,16,16,none,frombvh,epo,2,0.2,,,,6.948,1.0,12.0,5.863,734304
16wide-16simd-none-epo-0.3epoRat-direct-1,,,,,,,,,,,,,16,16,none,direct,epo,1,0.3,,,,,,,,
16wide-16simd-none-epo-0.3epoRat-direct-2,10105.0,,107245,1594827,13849,7219557,5595136,205253900,82743487,2.665,3249393064,726225044,16,16,none,direct,epo,2,0.3,,,,5.686,2.0,6.0,4.622,1715920
16wide-16simd-none-epo-0.3epoRat-direct-3,,,,,,,,,,,,,16,16,none,direct,epo,3,0.3,,,,,,,,
16wide-16simd-none-epo-0.3epoRat-frombvh-1,13125.0,,62876,479714,463427,7219557,5595136,348206753,95157886,2.926,5307830041,1335000006,16,16,none,frombvh,epo,1,0.3,,,416837,9.359,1.0,17.0,8.568,1006016
16wide-16simd-none-epo-0.3epoRat-frombvh-2,1152.0,,49262,479714,259217,7219557,5595136,263242602,90546240,2.874,2946749122,1268666136,16,16,none,frombvh,epo,2,0.3,,,,6.939,2.0,12.0,5.856,788192
16wide-16simd-none-epo-0.4epoRat-direct-1,,,,,,,,,,,,,16,16,none,direct,epo,1,0.4,,,,,,,,
16wide-16simd-none-epo-0.4epoRat-direct-2,10748.0,,133588,1981649,22172,7219557,5595136,210021485,81784880,2.386,3298433314,632039489,16,16,none,direct,epo,2,0.4,,,,5.762,2.0,6.0,4.697,2137408
16wide-16simd-none-epo-0.4epoRat-direct-3,,,,,,,,,,,,,16,16,none,direct,epo,3,0.4,,,,,,,,
16wide-16simd-none-epo-0.4epoRat-frombvh-1,14026.0,,67023,512503,492843,7219557,5595136,348674878,91522003,2.517,5314100254,1268329978,16,16,none,frombvh,epo,1,0.4,,,445479,9.387,1.0,17.0,8.592,1072368
16wide-16simd-none-epo-0.4epoRat-frombvh-2,1165.0,,52709,512503,278133,7219557,5595136,270726064,87357241,2.597,2923330545,1209765960,16,16,none,frombvh,epo,2,0.4,,,,7.078,2.0,12.0,5.996,843344
16wide-16simd-none-epo-0.5epoRat-direct-1,,,,,,,,,,,,,16,16,none,direct,epo,1,0.5,,,,,,,,
16wide-16simd-none-epo-0.5epoRat-direct-2,10900.0,,146820,2167901,34400,7219557,5595136,213452006,80827516,2.149,3351494266,571207095,16,16,none,direct,epo,2,0.5,,,,5.795,2.0,6.0,4.731,2349120
16wide-16simd-none-epo-0.5epoRat-direct-3,,,,,,,,,,,,,16,16,none,direct,epo,3,0.5,,,,,,,,
16wide-16simd-none-epo-0.5epoRat-frombvh-1,14958.0,,70703,541692,518854,7219557,5595136,354464927,84241584,2.128,5415311539,1117664975,16,16,none,frombvh,epo,1,0.5,,,470988,9.378,1.0,17.0,8.58,1131248
16wide-16simd-none-epo-0.5epoRat-frombvh-2,1178.0,,55904,541692,296869,7219557,5595136,276010025,79665170,2.157,3000767208,1053690545,16,16,none,frombvh,epo,2,0.5,,,,7.211,1.0,11.0,6.124,894464
16wide-16simd-none-epo-0.6epoRat-direct-1,,,,,,,,,,,,,16,16,none,direct,epo,1,0.6,,,,,,,,
16wide-16simd-none-epo-0.6epoRat-direct-2,11989.0,,155650,2289659,45092,7219557,5595136,213252043,82010966,1.872,3360123797,526034177,16,16,none,direct,epo,2,0.6,,,,5.871,1.0,7.0,4.806,2490400
16wide-16simd-none-epo-0.6epoRat-direct-3,,,,,,,,,,,,,16,16,none,direct,epo,3,0.6,,,,,,,,
16wide-16simd-none-epo-0.6epoRat-frombvh-1,14610.0,,73012,556004,539177,7219557,5595136,351247825,82908480,1.877,5371890418,1084602767,16,16,none,frombvh,epo,1,0.6,,,482991,9.311,1.0,17.0,8.509,1168192
16wide-16simd-none-epo-0.6epoRat-frombvh-2,1169.0,,57321,556004,303812,7219557,5595136,281736038,78674069,2.045,2908680147,1030109463,16,16,none,frombvh,epo,2,0.6,,,,7.559,2.0,12.0,6.471,917136
16wide-16simd-none-epo-0.7epoRat-direct-1,,,,,,,,,,,,,16,16,none,direct,epo,1,0.7,,,,,,,,
16wide-16simd-none-epo-0.7epoRat-direct-2,11634.0,,151259,2209777,59109,7219557,5595136,215246518,80758846,1.695,3402618040,529065924,16,16,none,direct,epo,2,0.7,,,,5.877,1.0,7.0,4.814,2420144
16wide-16simd-none-epo-0.7epoRat-direct-3,,,,,,,,,,,,,16,16,none,direct,epo,3,0.7,,,,,,,,
16wide-16simd-none-epo-0.7epoRat-frombvh-1,14958.0,,74876,564612,558529,7219557,5595136,345092392,81698959,1.622,5273900942,1080245964,16,16,none,frombvh,epo,1,0.7,,,489735,8.846,2.0,17.0,8.04,1198016
16wide-16simd-none-epo-0.7epoRat-frombvh-2,1260.0,,58353,564612,310684,7219557,5595136,296188467,79924032,1.662,3166687042,1051275928,16,16,none,frombvh,epo,2,0.7,,,,8.002,2.0,13.0,6.918,933648
16wide-16simd-none-epo-0.8epoRat-direct-1,,,,,,,,,,,,,16,16,none,direct,epo,1,0.8,,,,,,,,
16wide-16simd-none-epo-0.8epoRat-direct-2,11209.0,,154638,2233506,86065,7219557,5595136,218590768,80716915,1.533,3429704892,502206497,16,16,none,direct,epo,2,0.8,,,,5.878,1.0,7.0,4.815,2474208
16wide-16simd-none-epo-0.8epoRat-direct-3,,,,,,,,,,,,,16,16,none,direct,epo,3,0.8,,,,,,,,
16wide-16simd-none-epo-0.8epoRat-frombvh-1,16925.0,,79452,584716,607065,7219557,5595136,345223922,81820956,1.404,5256289393,1072284962,16,16,none,frombvh,epo,1,0.8,,,505263,8.853,2.0,17.0,8.045,1271232
16wide-16simd-none-epo-0.8epoRat-frombvh-2,1297.0,,60671,584716,325350,7219557,5595136,296383712,77796861,1.656,3113412006,1015188084,16,16,none,frombvh,epo,2,0.8,,,,7.774,2.0,14.0,6.687,970736
16wide-16simd-none-epo-0.9epoRat-direct-1,,,,,,,,,,,,,16,16,none,direct,epo,1,0.9,,,,,,,,
16wide-16simd-none-epo-0.9epoRat-direct-2,10928.0,,155989,2159213,180623,7219557,5595136,225302752,80663423,1.4,3526377599,558624734,16,16,none,direct,epo,2,0.9,,,,5.828,1.0,7.0,4.773,2495824
16wide-16simd-none-epo-0.9epoRat-direct-3,,,,,,,,,,,,,16,16,none,direct,epo,3,0.9,,,,,,,,
16wide-16simd-none-epo-0.9epoRat-frombvh-1,25017.0,,95119,657814,768972,7219557,5595136,382720355,83794724,1.447,5349786504,1037895147,16,16,none,frombvh,epo,1,0.9,,,562694,9.637,1.0,24.0,8.832,1521904
16wide-16simd-none-epo-0.9epoRat-frombvh-2,1601.0,,68725,657814,373062,7219557,5595136,288721836,79381997,1.48,3333914199,980253990,16,16,none,frombvh,epo,2,0.9,,,,7.531,1.0,15.0,6.442,1099600
16wide-16simd-none-sah-0epoRat-direct-1,,,,,,,,,,,,,16,16,none,direct,sah,1,0,,,,,,,,
16wide-16simd-none-sah-0epoRat-direct-2,2047.0,,58750,879198,2053,7219557,5595136,206851012,89997593,3.864,3219190897,979695871,16,16,none,direct,sah,2,0,,,,5.333,1.0,6.0,4.267,940000
16wide-16simd-none-sah-0epoRat-direct-3,,,,,,,,,,,,,16,16,none,direct,sah,3,0,,,,,,,,
16wide-16simd-none-sah-0epoRat-frombvh-1,7100.0,,43684,334546,320715,7219557,5595136,344563051,127474376,5.418,5242282477,1821297405,16,16,none,frombvh,sah,1,0,,,290861,9.195,1.0,16.0,8.402,698944
16wide-16simd-none-sah-0epoRat-frombvh-2,1104.0,,34491,334546,182820,7219557,5595136,267471752,120781414,4.987,2834466751,1719127938,16,16,none,frombvh,sah,2,0,,,,6.724,2.0,11.0,5.641,551856
2wide-2simd-none-epo-0.1epoRat-direct-0,1510.0,,5233796,5233797,0,7219557,5595136,1550938585,92820798,8.427,1672263398,138452911,2,2,none,direct,epo,0,0.1,,,,,,,,10467593
2wide-2simd-none-epo-0.2epoRat-direct-0,1785.0,,6316147,6316148,0,7219557,5595136,1592346150,83567792,5.58,1718206644,106452378,2,2,none,direct,epo,0,0.2,,,,,,,,12632295
2wide-2simd-none-epo-0.3epoRat-direct-0,1879.0,,6784229,6784230,0,7219557,5595136,1614646012,78250615,3.97,1744065028,88783127,2,2,none,direct,epo,0,0.3,,,,,,,,13568459
2wide-2simd-none-epo-0.4epoRat-direct-0,1949.0,,6976255,6976256,0,7219557,5595136,1625156950,76050016,2.993,1756991060,80518436,2,2,none,direct,epo,0,0.4,,,,,,,,13952511
2wide-2simd-none-epo-0.5epoRat-direct-0,1973.0,,7098550,7098551,0,7219557,5595136,1624818036,75268361,2.359,1757372316,77725920,2,2,none,direct,epo,0,0.5,,,,,,,,14197101
2wide-2simd-none-epo-0.6epoRat-direct-0,2028.0,,7167265,7167266,0,7219557,5595136,1634253912,74952839,1.935,1769310870,76484738,2,2,none,direct,epo,0,0.6,,,,,,,,14334531
2wide-2simd-none-epo-0.7epoRat-direct-0,2007.0,,7195417,7195418,0,7219557,5595136,1657994980,74837727,1.628,1795598088,75873700,2,2,none,direct,epo,0,0.7,,,,,,,,14390835
2wide-2simd-none-epo-0.8epoRat-direct-0,1944.0,,7205115,7205116,0,7219557,5595136,1683526486,74832817,1.405,1823170864,75720232,2,2,none,direct,epo,0,0.8,,,,,,,,14410231
2wide-2simd-none-epo-0.9epoRat-direct-0,2101.0,,7210198,7210199,0,7219557,5595136,1940364203,74805705,1.159,2091335278,75635014,2,2,none,direct,epo,0,0.9,,,,,,,,14420397
2wide-2simd-none-sah-0epoRat-direct-0,1227.0,,3929738,3929739,0,7219557,5595136,1509281905,103078105,14.035,1628335410,171184975,2,2,none,direct,sah,0,0,,,,,,,,7859477
4wide-4simd-none-epo-0.1epoRat-direct-1,4364.0,,864224,2142419,450254,7219557,5595136,583045828,102262010,5.933,2243002439,346621833,4,4,none,direct,epo,1,0.1,,,,11.986,3.0,16.0,10.708,3456896
