Configuration,CreationTime,OptimizationTime,InteriorNodes,LeafNodes,EmptyNodes,PrimCount,RayCount,NodeIntersections,PrimIntersections,Metric,SISDNodeIntersections,SISDPrimIntersections,TreeWidth,SimdWidth,Optimizations,CreationMethod,SplitMethod,Variant,EpoRatio,OptiMergedInner,OptiMergedLeaf,OptiMergedParent,LeafDepthAvg,LeafDepthMin,LeafDepthMax,InteriorDepthAvg,TotalNodes
16wide-16simd-all-epo-0.1epoRat-frombvh-0,1163.0,1493.0,31297,395725,73731,7219557,5595136,273306981,105426347,4.398,3850690729,1507180446,16,16,all,frombvh,epo,0,0.1,58672,796,9196,5.584,2.0,7.0,4.513,500752
16wide-16simd-all-epo-0.3epoRat-direct-0,10230.0,3324.0,105720,1394699,191102,7219557,5595136,205784990,81688908,2.667,3192659370,743975367,16,16,all,direct,epo,0,0.3,1522,200128,3,5.649,2.0,6.0,4.617,1691520
16wide-16simd-all-sah-0epoRat-direct-0,2065.0,691.0,58700,837208,43293,7219557,5595136,207669730,89606769,3.857,3221530300,993420125,16,16,all,direct,sah,0,0,48,41990,2,5.312,1.0,6.0,4.267,939200
16wide-16simd-all-sah-0epoRat-frombvh-0,1103.0,588.0,26332,334223,60758,7219557,5595136,290660571,118311257,5.3,4145198544,1683995131,16,16,all,frombvh,sah,0,0,51831,323,7248,5.526,2.0,7.0,4.454,421312
16wide-16simd-none-epo-0.1epoRat-frombvh-0,1096.0,,99165,396521,1090955,7219557,5595136,231113342,106865311,3.869,2825033672,1524795851,16,16,none,frombvh,epo,0,0.1,,,,5.674,2.0,7.0,4.761,1586640
16wide-16simd-none-epo-0.3epoRat-direct-0,10274.0,,107245,1594827,13849,7219557,5595136,205253900,82743487,2.667,3249393064,726225044,16,16,none,direct,epo,0,0.3,,,,5.686,2.0,6.0,4.622,1715920
16wide-16simd-none-sah-0epoRat-direct-0,2050.0,,58750,879198,2053,7219557,5595136,206851012,89997593,3.864,3219190897,979695871,16,16,none,direct,sah,0,0,,,,5.333,1.0,6.0,4.267,940000
16wide-16simd-none-sah-0epoRat-frombvh-0,1144.0,,85411,334546,946620,7219557,5595136,228907416,120085467,4.413,2774224169,1708915609,16,16,none,frombvh,sah,0,0,,,,5.617,2.0,7.0,4.721,1366576
2wide-2simd-none-epo-0.1epoRat-direct-0,1554.0,,5233796,5233797,0,7219557,5595136,1550938585,92820798,8.427,1672263398,138452911,2,2,none,direct,epo,0,0.1,,,,,,,,10467593
2wide-2simd-none-sah-0epoRat-direct-0,1253.0,,3929738,3929739,0,7219557,5595136,1509281905,103078105,14.035,1628335410,171184975,2,2,none,direct,sah,0,0,,,,,,,,7859477
