Configuration,CreationTime,OptimizationTime,InteriorNodes,LeafNodes,EmptyNodes,PrimCount,RayCount,NodeIntersections,PrimIntersections,Metric,SISDNodeIntersections,SISDPrimIntersections,TreeWidth,SimdWidth,Optimizations,CreationMethod,SplitMethod,Variant,EpoRatio,OptiMergedInner,OptiMergedLeaf,OptiMergedParent,LeafDepthAvg,LeafDepthMin,LeafDepthMax,InteriorDepthAvg,TotalNodes
4wide-4simd-none-epo-0.1epoRat-direct-0,1498.0,,397646,1186991,5948,3540215,5600000,634387328,209794134,4.136,2531715846,656200381,4,4,none,direct,epo,0,0.1,,,,11.592,3.0,16.0,10.261,1590584
4wide-4simd-none-epo-0.1epoRat-direct-1,2708.0,,426793,1016562,263818,3540215,5600000,703886878,207499255,4.775,2696348906,695237169,4,4,none,direct,epo,1,0.1,,,,12.03,3.0,17.0,10.755,1707172
4wide-4simd-none-epo-0.1epoRat-direct-2,27358.0,,405454,1033683,182680,3540215,5600000,660094359,197891232,4.702,2592290009,657945504,4,4,none,direct,epo,2,0.1,,,,11.706,3.0,17.0,10.415,1621816
4wide-4simd-none-epo-0.1epoRat-direct-3,48808.0,,404412,1194113,19124,3540215,5600000,692096840,207721941,5.276,2762199518,636060196,4,4,none,direct,epo,3,0.1,,,,12.023,3.0,18.0,10.696,1617648
4wide-4simd-none-epo-0.2epoRat-direct-0,1508.0,,420493,1254331,7149,3540215,5600000,636696657,207573365,3.427,2537857373,628601112,4,4,none,direct,epo,0,0.2,,,,11.644,3.0,16.0,10.313,1681972
4wide-4simd-none-epo-0.2epoRat-direct-1,2823.0,,463095,1073516,315770,3540215,5600000,711554643,201320991,3.846,2717406526,668331961,4,4,none,direct,epo,1,0.2,,,,12.094,3.0,17.0,10.823,1852380
4wide-4simd-none-epo-0.2epoRat-direct-2,28650.0,,439025,1093012,224064,3540215,5600000,667310421,192201838,3.775,2613572522,632630631,4,4,none,direct,epo,2,0.2,,,,11.774,3.0,17.0,10.488,1756100
4wide-4simd-none-epo-0.2epoRat-direct-3,48640.0,,441865,1302880,22716,3540215,5600000,700668867,202759734,4.09,2795598454,604194813,4,4,none,direct,epo,3,0.2,,,,12.1,3.0,19.0,10.774,1767460
4wide-4simd-none-epo-0.3epoRat-direct-0,1467.0,,439331,1309571,8423,3540215,5600000,636278806,205137593,2.871,2536857777,614782848,4,4,none,direct,epo,0,0.3,,,,11.767,3.0,16.0,10.437,1757324
4wide-4simd-none-epo-0.3epoRat-direct-1,2822.0,,488137,1109396,355016,3540215,5600000,718038125,197803305,3.132,2731026830,652569626,4,4,none,direct,epo,1,0.3,,,,12.156,3.0,18.0,10.886,1952548
4wide-4simd-none-epo-0.3epoRat-direct-2,29571.0,,461570,1132088,252623,3540215,5600000,670087245,190033460,3.062,2619873076,620281028,4,4,none,direct,epo,2,0.3,,,,11.826,3.0,17.0,10.543,1846280
4wide-4simd-none-epo-0.3epoRat-direct-3,49483.0,,468795,1381246,25140,3540215,5600000,707935309,202637681,3.226,2824673964,587811143,4,4,none,direct,epo,3,0.3,,,,12.102,3.0,19.0,10.776,1875180
4wide-4simd-none-epo-0.4epoRat-direct-0,1527.0,,454724,1354608,9565,3540215,5600000,640535280,205008713,2.427,2553017087,601696115,4,4,none,direct,epo,0,0.4,,,,11.827,3.0,17.0,10.497,1818896
4wide-4simd-none-epo-0.4epoRat-direct-1,2810.0,,506573,1132167,387553,3540215,5600000,725159686,195588419,2.579,2747607847,642197831,4,4,none,direct,epo,1,0.4,,,,12.205,3.0,20.0,10.935,2026292
4wide-4simd-none-epo-0.4epoRat-direct-2,30053.0,,475991,1155824,272150,3540215,5600000,671988154,187364999,2.511,2623224025,604429753,4,4,none,direct,epo,2,0.4,,,,11.86,3.0,17.0,10.578,1903964
4wide-4simd-none-epo-0.4epoRat-direct-3,50585.0,,488088,1437180,27085,3540215,5600000,713409255,202050334,2.586,2845518332,574973691,4,4,none,direct,epo,3,0.4,,,,12.154,3.0,19.0,10.828,1952352
4wide-4simd-none-epo-0.5epoRat-direct-0,1432.0,,468091,1393388,10886,3540215,5600000,642328829,204202782,2.065,2559658417,590627597,4,4,none,direct,epo,0,0.5,,,,11.858,3.0,17.0,10.528,1872364
4wide-4simd-none-epo-0.5epoRat-direct-1,2840.0,,520982,1147725,415222,3540215,5600000,734273134,195345280,2.151,2764550548,637522523,4,4,none,direct,epo,1,0.5,,,,12.269,3.0,22.0,11.0,2083928
4wide-4simd-none-epo-0.5epoRat-direct-2,30489.0,,485754,1173196,284067,3540215,5600000,673510555,186413864,2.085,2625929426,596748093,4,4,none,direct,epo,2,0.5,,,,11.892,3.0,17.0,10.608,1943016
4wide-4simd-none-epo-0.5epoRat-direct-3,50186.0,,501824,1477104,28369,3540215,5600000,720596755,202516448,2.115,2872886035,564194909,4,4,none,direct,epo,3,0.5,,,,12.185,3.0,19.0,10.859,2007296
4wide-4simd-none-epo-0.6epoRat-direct-0,1355.0,,481553,1432403,12257,3540215,5600000,638616904,205491253,1.769,2545088170,583805820,4,4,none,direct,epo,0,0.6,,,,11.902,3.0,17.0,10.572,1926212
4wide-4simd-none-epo-0.6epoRat-direct-1,2934.0,,538665,1163783,452213,3540215,5600000,745613127,202698103,1.815,2774039325,669275396,4,4,none,direct,epo,1,0.6,,,,12.373,3.0,26.0,11.112,2154660
4wide-4simd-none-epo-0.6epoRat-direct-2,31277.0,,494704,1188873,295240,3540215,5600000,675264819,186085372,1.755,2628259121,590835941,4,4,none,direct,epo,2,0.6,,,,11.937,3.0,18.0,10.653,1978816
4wide-4simd-none-epo-0.6epoRat-direct-3,50434.0,,513982,1511533,30414,3540215,5600000,721000026,201153767,1.763,2873938778,550892405,4,4,none,direct,epo,3,0.6,,,,12.285,3.0,20.0,10.96,2055928
4wide-4simd-none-epo-0.7epoRat-direct-0,1393.0,,493589,1467217,13551,3540215,5600000,642157105,206838234,1.527,2561138289,575804686,4,4,none,direct,epo,0,0.7,,,,11.957,3.0,17.0,10.627,1974356
4wide-4simd-none-epo-0.7epoRat-direct-1,2905.0,,563284,1185213,504640,3540215,5600000,767503676,202558417,1.553,2822396644,661571468,4,4,none,direct,epo,1,0.7,,,,12.657,3.0,35.0,11.415,2253136
4wide-4simd-none-epo-0.7epoRat-direct-2,31593.0,,505278,1206771,309064,3540215,5600000,670243176,185634743,1.492,2602177735,584144948,4,4,none,direct,epo,2,0.7,,,,12.012,3.0,19.0,10.73,2021112
4wide-4simd-none-epo-0.7epoRat-direct-3,50216.0,,524148,1539679,32766,3540215,5600000,735393020,203394529,1.504,2931290254,496767308,4,4,none,direct,epo,3,0.7,,,,12.435,3.0,19.0,11.11,2096592
4wide-4simd-none-epo-0.8epoRat-direct-0,1412.0,,505791,1502453,14921,3540215,5600000,646517867,207704657,1.33,2576540444,567148036,4,4,none,direct,epo,0,0.8,,,,12.061,3.0,17.0,10.732,2023164
4wide-4simd-none-epo-0.8epoRat-direct-1,3023.0,,607371,1219737,602377,3540215,5600000,825974690,195116055,1.347,2957309086,615281987,4,4,none,direct,epo,1,0.8,,,,13.375,3.0,41.0,12.173,2429484
4wide-4simd-none-epo-0.8epoRat-direct-2,32601.0,,520925,1230897,331879,3540215,5600000,676212379,185624632,1.295,2617947604,575318755,4,4,none,direct,epo,2,0.8,,,,12.133,3.0,21.0,10.857,2083700
4wide-4simd-none-epo-0.8epoRat-direct-3,49595.0,,536389,1572554,36614,3540215,5600000,729252711,206012906,1.294,2905978015,494657542,4,4,none,direct,epo,3,0.8,,,,12.729,2.0,21.0,11.405,2145556
4wide-4simd-none-epo-0.9epoRat-direct-0,1530.0,,521998,1548401,17594,3540215,5600000,656294001,201988315,1.171,2619025215,550757750,4,4,none,direct,epo,0,0.9,,,,12.505,3.0,19.0,11.176,2087992
4wide-4simd-none-epo-0.9epoRat-direct-1,3068.0,,707765,1290994,832302,3540215,5600000,975478226,196363804,1.183,3238512167,602476865,4,4,none,direct,epo,1,0.9,,,,15.998,3.0,69.0,14.855,2831060
4wide-4simd-none-epo-0.9epoRat-direct-2,33592.0,,547575,1272524,370202,3540215,5600000,693009886,187254135,1.14,2664443492,577370859,4,4,none,direct,epo,2,0.9,,,,12.461,3.0,24.0,11.197,2190300
4wide-4simd-none-epo-0.9epoRat-direct-3,49692.0,,554639,1619650,44268,3540215,5600000,742984892,207344127,1.139,2958993803,483271467,4,4,none,direct,epo,3,0.9,,,,13.097,2.0,24.0,11.775,2218556
4wide-4simd-none-sah-0epoRat-direct-0,806.0,,370298,1106062,4833,3540215,5600000,630089042,216033110,5.032,2508812543,689193864,4,4,none,direct,sah,0,0,,,,11.498,3.0,16.0,10.167,1481192
