Configuration,CreationTime,OptimizationTime,InteriorNodes,LeafNodes,EmptyNodes,PrimCount,RayCount,NodeIntersections,PrimIntersections,Metric,SISDNodeIntersections,SISDPrimIntersections,TreeWidth,SimdWidth,Optimizations,CreationMethod,SplitMethod,Variant,EpoRatio,OptiMergedInner,OptiMergedLeaf,OptiMergedParent,LeafDepthAvg,LeafDepthMin,LeafDepthMax,InteriorDepthAvg,TotalNodes
4wide-4simd-all-epo-0.3epoRat-frombvh-0,519.0,506.0,245318,588273,148118,2662968,6231520,1563317864,330426947,6.807,5337799682,1123192173,4,4,all,frombvh,epo,0,0.3,28208,44533,42416,10.442,0.0,23.0,9.152,981272
4wide-4simd-all-epo-0.3epoRat-frombvh-1,1416.0,491.0,246733,588067,152569,2662968,6231520,1621787504,330757770,6.976,5588103042,1122940596,4,4,all,frombvh,epo,1,0.3,19883,44739,365753,10.736,0.0,26.0,9.456,986932
4wide-4simd-all-epo-0.3epoRat-frombvh-2,534.0,657.0,246004,587837,150612,2662968,6231520,1717289486,314982242,7.232,5475574264,1071689667,4,4,all,frombvh,epo,2,0.3,28559,44969,36646,11.605,0.0,27.0,10.243,984016
4wide-4simd-all-sah-0epoRat-frombvh-0,408.0,270.0,178716,430561,106024,2662968,6231520,1639832017,427903585,14.807,5420177227,1487435122,4,4,all,frombvh,sah,0,0,20170,16577,24609,9.651,0.0,18.0,8.361,714864
4wide-4simd-all-sah-0epoRat-frombvh-1,929.0,275.0,180362,430575,110948,2662968,6231520,1673649871,413035023,16.578,5653353303,1435426544,4,4,all,frombvh,sah,1,0,13691,16563,252648,10.241,0.0,23.0,8.965,721448
4wide-4simd-all-sah-0epoRat-frombvh-2,416.0,413.0,179117,430313,107475,2662968,6231520,1828552780,404169003,17.318,5709237293,1403633033,4,4,all,frombvh,sah,2,0,18771,16825,20587,10.664,0.0,24.0,9.307,716468
4wide-4simd-none-epo-0.3epoRat-frombvh-0,534.0,,315942,632806,315457,2662968,6231520,1567514829,336899518,6.834,5325532641,1119133254,4,4,none,frombvh,epo,0,0.3,,,,10.586,0.0,24.0,9.34,1263768
4wide-4simd-none-epo-0.3epoRat-frombvh-1,1437.0,,284244,632806,220363,2662968,6231520,1620728263,336973348,6.959,5612876470,1117191967,4,4,none,frombvh,epo,1,0.3,,,348125,10.795,0.0,26.0,9.555,1136976
4wide-4simd-none-epo-0.3epoRat-frombvh-2,522.0,,311209,632806,301258,2662968,6231520,1780000933,334527461,5.892,5204793110,1110115674,4,4,none,frombvh,epo,2,0.3,,,,13.01,0.0,30.0,11.562,1244836
4wide-4simd-none-sah-0epoRat-frombvh-0,390.0,,223495,447138,223784,2662968,6231520,1643412079,432983805,14.929,5402767507,1486562296,4,4,none,frombvh,sah,0,0,,,,9.768,0.0,18.0,8.525,893980
4wide-4simd-none-sah-0epoRat-frombvh-1,937.0,,201077,447138,156530,2662968,6231520,1673409779,417064801,16.68,5682843087,1432788709,4,4,none,frombvh,sah,1,0,,,245624,10.276,0.0,23.0,9.036,804308
4wide-4simd-none-sah-0epoRat-frombvh-2,413.0,,218475,447138,208724,2662968,6231520,1946650974,437992357,18.0,5455869783,1503711744,4,4,none,frombvh,sah,2,0,,,,12.669,0.0,26.0,11.238,873900
8wide-8simd-all-epo-0.7epoRat-frombvh-0,675.0,913.0,85143,443927,152511,2662968,6231520,1388757935,266986172,3.822,7885569531,1527683424,8,8,all,frombvh,epo,0,0.7,38746,63319,45129,9.078,0.0,27.0,8.023,681144
8wide-8simd-all-epo-0.7epoRat-frombvh-1,3955.0,868.0,84674,446006,147149,2662968,6231520,1442413803,258341567,2.978,8518135508,1484494646,8,8,all,frombvh,epo,1,0.7,28916,61240,393219,9.637,0.0,26.0,8.578,677392
8wide-8simd-all-epo-0.7epoRat-frombvh-2,714.0,1261.0,83194,444075,138720,2662968,6231520,1542706155,260585476,3.143,8441708832,1490590945,8,8,all,frombvh,epo,2,0.7,12796,63171,16619,11.134,0.0,33.0,10.001,665552
8wide-8simd-all-sah-0epoRat-frombvh-0,377.0,178.0,44149,239208,70272,2662968,6231520,1558591113,382386324,10.623,7830067681,2527620418,8,8,all,frombvh,sah,0,0,23950,2813,12441,6.358,0.0,12.0,5.274,353192
8wide-8simd-all-sah-0epoRat-frombvh-1,983.0,191.0,44817,239100,75056,2662968,6231520,1679560539,370704063,12.363,9134081669,2454025619,8,8,all,frombvh,sah,1,0,11061,2921,185706,7.954,0.0,19.0,6.897,358536
8wide-8simd-all-sah-0epoRat-frombvh-2,391.0,226.0,44272,239117,71224,2662968,6231520,1775467490,378195948,11.794,8932245582,2492612782,8,8,all,frombvh,sah,2,0,5348,2904,4523,7.461,0.0,16.0,6.321,354176
8wide-8simd-none-epo-0.7epoRat-frombvh-0,658.0,,169018,507246,676317,2662968,6231520,1361536992,268942969,3.726,7579517015,1483561701,8,8,none,frombvh,epo,0,0.7,,,,9.354,0.0,27.0,8.358,1352144
8wide-8simd-none-epo-0.7epoRat-frombvh-1,3889.0,,132762,507246,422525,2662968,6231520,1408095822,257994937,2.929,8655442889,1430737154,8,8,none,frombvh,epo,1,0.7,,,374047,9.716,0.0,26.0,8.787,1062096
8wide-8simd-none-epo-0.7epoRat-frombvh-2,700.0,,112609,507246,281454,2662968,6231520,1561429598,272768184,2.428,7168407747,1500477620,8,8,none,frombvh,epo,2,0.7,,,,11.933,0.0,35.0,10.714,900872
8wide-8simd-none-sah-0epoRat-frombvh-0,378.0,,80540,242021,322196,2662968,6231520,1538023108,389087701,10.614,7705452498,2558085145,8,8,none,frombvh,sah,0,0,,,,6.484,0.0,12.0,5.492,644320
8wide-8simd-none-sah-0epoRat-frombvh-1,982.0,,57337,242021,159775,2662968,6231520,1666547931,374085508,12.291,9256390972,2458405933,8,8,none,frombvh,sah,1,0,,,184247,7.973,0.0,19.0,7.014,458696
8wide-8simd-none-sah-0epoRat-frombvh-2,383.0,,54143,242021,137417,2662968,6231520,1809696612,415403906,11.912,7207743116,2718278733,8,8,none,frombvh,sah,2,0,,,,8.203,0.0,17.0,6.989,433144
