Configuration,CreationTime,OptimizationTime,InteriorNodes,LeafNodes,EmptyNodes,PrimCount,RayCount,NodeIntersections,PrimIntersections,Metric,SISDNodeIntersections,SISDPrimIntersections,TreeWidth,SimdWidth,Optimizations,CreationMethod,SplitMethod,Variant,EpoRatio,OptiMergedInner,OptiMergedLeaf,OptiMergedParent,LeafDepthAvg,LeafDepthMin,LeafDepthMax,InteriorDepthAvg,TotalNodes
4wide-4simd-none-epo-0.1epoRat-direct-0,896.0,,282059,830480,16134,2662968,6231520,1455696138,296407261,10.363,5279967505,854363909,4,4,none,direct,epo,0,0.1,,,,9.435,0.0,17.0,8.122,1128236
4wide-4simd-none-epo-0.1epoRat-direct-1,1595.0,,293491,714682,166228,2662968,6231520,1648913327,300726931,11.448,5695692275,953840966,4,4,none,direct,epo,1,0.1,,,,10.13,0.0,19.0,8.805,1173964
4wide-4simd-none-epo-0.1epoRat-direct-2,13123.0,,279220,737293,100804,2662968,6231520,1500297382,286939313,10.454,5247604251,897941471,4,4,none,direct,epo,2,0.1,,,,9.77,0.0,18.0,8.42,1116880
4wide-4simd-none-epo-0.1epoRat-direct-3,22657.0,,278759,817518,19196,2662968,6231520,1494355366,293643078,10.209,5366960578,851777753,4,4,none,direct,epo,3,0.1,,,,10.566,0.0,21.0,9.253,1115036
4wide-4simd-none-epo-0.2epoRat-direct-0,903.0,,297633,875484,17852,2662968,6231520,1429618383,286183399,7.373,5200345192,802759457,4,4,none,direct,epo,0,0.2,,,,9.493,0.0,17.0,8.18,1190532
4wide-4simd-none-epo-0.2epoRat-direct-1,1573.0,,317392,750801,201812,2662968,6231520,1653940186,294471769,8.127,5717276713,922597665,4,4,none,direct,epo,1,0.2,,,,10.233,0.0,20.0,8.91,1269568
4wide-4simd-none-epo-0.2epoRat-direct-2,13437.0,,300907,778971,124187,2662968,6231520,1505474970,281201076,7.499,5303755197,870376511,4,4,none,direct,epo,2,0.2,,,,9.825,0.0,19.0,8.469,1203628
4wide-4simd-none-epo-0.2epoRat-direct-3,23126.0,,302440,883784,23973,2662968,6231520,1538795247,298830295,7.145,5540270820,845045669,4,4,none,direct,epo,3,0.2,,,,10.734,0.0,21.0,9.425,1209760
4wide-4simd-none-epo-0.3epoRat-direct-0,917.0,,313419,921422,19272,2662968,6231520,1427091644,281456292,5.405,5201031629,776044417,4,4,none,direct,epo,0,0.3,,,,9.559,0.0,17.0,8.245,1253676
4wide-4simd-none-epo-0.3epoRat-direct-1,1742.0,,339755,779439,240263,2662968,6231520,1700234453,298957975,6.051,5846258150,932452263,4,4,none,direct,epo,1,0.3,,,,10.418,0.0,22.0,9.114,1359020
4wide-4simd-none-epo-0.3epoRat-direct-2,13918.0,,321408,817853,146808,2662968,6231520,1507171180,275493868,5.547,5346038645,841014974,4,4,none,direct,epo,2,0.3,,,,9.913,0.0,19.0,8.562,1285632
4wide-4simd-none-epo-0.3epoRat-direct-3,23955.0,,324683,945907,28579,2662968,6231520,1484524620,284711941,5.093,5411943998,794209564,4,4,none,direct,epo,3,0.3,,,,10.711,0.0,21.0,9.405,1298732
4wide-4simd-none-epo-0.4epoRat-direct-0,878.0,,328648,965483,20898,2662968,6231520,1425067238,282475924,4.062,5202911859,765818946,4,4,none,direct,epo,0,0.4,,,,9.614,0.0,17.0,8.3,1314592
4wide-4simd-none-epo-0.4epoRat-direct-1,1560.0,,361823,804931,280975,2662968,6231520,1709261260,293849938,4.626,5814983357,901055473,4,4,none,direct,epo,1,0.4,,,,10.64,0.0,26.0,9.361,1447292
4wide-4simd-none-epo-0.4epoRat-direct-2,14717.0,,339757,851675,168033,2662968,6231520,1510624179,274439256,4.17,5367820337,829920454,4,4,none,direct,epo,2,0.4,,,,10.024,0.0,19.0,8.681,1359028
4wide-4simd-none-epo-0.4epoRat-direct-3,24126.0,,345012,1002379,33094,2662968,6231520,1504964726,286863714,3.836,5495324490,780246106,4,4,none,direct,epo,3,0.4,,,,10.929,0.0,21.0,9.629,1380048
4wide-4simd-none-epo-0.5epoRat-direct-0,873.0,,343286,1007916,22379,2662968,6231520,1436541760,277475125,3.134,5243613111,734796300,4,4,none,direct,epo,0,0.5,,,,9.646,0.0,17.0,8.332,1373144
4wide-4simd-none-epo-0.5epoRat-direct-1,1972.0,,383665,825975,325457,2662968,6231520,1790704435,293757841,3.627,6001615272,899442458,4,4,none,direct,epo,1,0.5,,,,11.384,0.0,33.0,10.143,1534660
4wide-4simd-none-epo-0.5epoRat-direct-2,15202.0,,353365,875602,184930,2662968,6231520,1504691711,272725832,3.252,5339725767,816897079,4,4,none,direct,epo,2,0.5,,,,10.166,0.0,20.0,8.829,1413460
