Configuration,CreationTime,OptimizationTime,InteriorNodes,LeafNodes,EmptyNodes,PrimCount,RayCount,NodeIntersections,PrimIntersections,Metric,SISDNodeIntersections,SISDPrimIntersections,TreeWidth,SimdWidth,Optimizations,CreationMethod,SplitMethod,Variant,EpoRatio,OptiMergedInner,OptiMergedLeaf,OptiMergedParent,LeafDepthAvg,LeafDepthMin,LeafDepthMax,InteriorDepthAvg,TotalNodes
16wide-16simd-all-epo-0.1epoRat-direct-0,3275.0,600.0,27635,341123,73417,2625112,6264000,289370498,105886273,12.194,4166245885,1115613374,16,16,all,direct,epo,0,0.1,3916,63733,801,5.267,1.0,8.0,4.226,442160
16wide-16simd-all-epo-0.1epoRat-frombvh-0,354.0,379.0,11947,135791,43429,2625112,6264000,318291948,117801345,14.194,4415518189,1498896108,16,16,all,frombvh,epo,0,0.1,16513,753,6043,5.346,1.0,8.0,4.351,191152
16wide-16simd-all-epo-0.2epoRat-direct-0,3044.0,618.0,28395,346972,78968,2625112,6264000,327980692,101506839,12.775,4665079039,950541428,16,16,all,direct,epo,0,0.2,4402,66350,921,5.285,1.0,8.0,4.256,454320
16wide-16simd-all-epo-0.2epoRat-frombvh-0,448.0,526.0,13551,155173,48107,2625112,6264000,329127370,123205176,12.473,4476560822,1506698159,16,16,all,frombvh,epo,0,0.2,18909,1199,6643,5.677,1.0,8.0,4.671,216816
16wide-16simd-all-epo-0.3epoRat-direct-0,3109.0,688.0,30103,364504,87056,2625112,6264000,323434674,90110595,11.623,4569389450,847064691,16,16,all,direct,epo,0,0.3,5015,70550,1083,5.416,1.0,8.0,4.382,481648
16wide-16simd-all-epo-0.3epoRat-frombvh-0,470.0,570.0,14979,171286,53414,2625112,6264000,341702206,111848931,12.347,4712997144,1422541220,16,16,all,frombvh,epo,0,0.3,21092,1732,7173,5.901,1.0,9.0,4.895,239664
16wide-16simd-all-epo-0.4epoRat-direct-0,2925.0,716.0,31013,375176,90034,2625112,6264000,335848460,101476062,14.195,4770904722,1033101530,16,16,all,direct,epo,0,0.4,5603,73359,1270,5.42,1.0,8.0,4.384,496208
16wide-16simd-all-epo-0.4epoRat-frombvh-0,612.0,767.0,16072,185477,55618,2625112,6264000,380229637,108155149,11.207,5081660850,1300460406,16,16,all,frombvh,epo,0,0.4,23070,3216,8004,6.28,1.0,11.0,5.255,257152
16wide-16simd-all-epo-0.5epoRat-direct-0,4097.0,802.0,32209,385252,97898,2625112,6264000,310250343,86507294,12.432,4424659601,742805952,16,16,all,direct,epo,0,0.5,6579,86500,1475,5.516,1.0,8.0,4.481,515344
16wide-16simd-all-epo-0.5epoRat-frombvh-0,491.0,675.0,17755,199489,66851,2625112,6264000,472171750,105218191,12.298,6239336121,1235786414,16,16,all,frombvh,epo,0,0.5,23060,4936,9483,6.388,1.0,11.0,5.386,284080
16wide-16simd-all-epo-0.6epoRat-direct-0,3528.0,821.0,33239,397860,100740,2625112,6264000,357909516,85900140,14.431,4996898826,752977692,16,16,all,direct,epo,0,0.6,7100,92632,1629,5.58,1.0,8.0,4.542,531824
16wide-16simd-all-epo-0.6epoRat-frombvh-0,756.0,990.0,18965,211120,73370,2625112,6264000,469304624,89280404,8.371,6363743773,969090194,16,16,all,frombvh,epo,0,0.6,24686,11344,11865,6.987,1.0,11.0,5.983,303440
16wide-16simd-all-epo-0.7epoRat-direct-0,3190.0,818.0,33281,396425,102805,2625112,6264000,337643192,91028314,13.467,4908098214,826864625,16,16,all,direct,epo,0,0.7,7465,88462,1738,5.599,1.0,8.0,4.56,532496
16wide-16simd-all-epo-0.7epoRat-frombvh-0,823.0,961.0,20189,222670,80180,2625112,6264000,460244056,87844858,7.356,6175778967,916635787,16,16,all,frombvh,epo,0,0.7,25452,16782,14299,7.343,1.0,14.0,6.336,323024
16wide-16simd-all-epo-0.8epoRat-direct-0,3262.0,823.0,33432,398310,103185,2625112,6264000,332376538,91192483,13.469,4770473525,791377803,16,16,all,direct,epo,0,0.8,7871,88823,1906,5.611,1.0,8.0,4.572,534912
16wide-16simd-all-epo-0.8epoRat-frombvh-0,831.0,1117.0,21360,231971,88444,2625112,6264000,546422699,108037618,7.561,7094568614,1247175758,16,16,all,frombvh,epo,0,0.8,25612,24822,17057,8.226,1.0,17.0,7.236,341760
16wide-16simd-all-epo-0.9epoRat-direct-0,3472.0,894.0,33911,399643,109037,2625112,6264000,338478796,87245424,10.414,4831629582,789068762,16,16,all,direct,epo,0,0.9,8832,92625,1995,5.681,1.0,8.0,4.648,542576
16wide-16simd-all-epo-0.9epoRat-frombvh-0,862.0,1272.0,22691,243629,96751,2625112,6264000,665668392,123175161,7.151,8721474713,1298473559,16,16,all,frombvh,epo,0,0.9,26767,36018,20510,8.521,1.0,16.0,7.533,363056
16wide-16simd-all-sah-0epoRat-direct-0,770.0,312.0,27073,337730,68380,2625112,6264000,301810144,100500116,12.888,4347813161,1070330976,16,16,all,direct,sah,0,0,3007,55006,565,5.209,1.0,8.0,4.169,433168
16wide-16simd-all-sah-0epoRat-frombvh-0,343.0,151.0,10129,115648,36302,2625112,6264000,309548236,146907853,14.373,4243266308,1948477642,16,16,all,frombvh,sah,0,0,14195,429,5119,5.295,1.0,8.0,4.301,162064
16wide-16simd-none-epo-0.1epoRat-direct-0,3421.0,,32352,404856,80439,2625112,6264000,282854988,111205911,12.146,3872798804,1010392689,16,16,none,direct,epo,0,0.1,,,,5.3,1.0,8.0,4.259,517632
16wide-16simd-none-epo-0.1epoRat-frombvh-0,359.0,,34503,136544,381016,2625112,6264000,264697440,120725601,12.621,3513398696,1544433392,16,16,none,frombvh,epo,0,0.1,,,,5.472,1.0,8.0,4.617,552048
16wide-16simd-none-epo-0.2epoRat-direct-0,3111.0,,33718,413322,92463,2625112,6264000,294751259,108857381,12.038,4044161008,856292228,16,16,none,direct,epo,0,0.2,,,,5.331,1.0,8.0,4.304,539488
16wide-16simd-none-epo-0.2epoRat-frombvh-0,446.0,,39103,156372,430188,2625112,6264000,278033888,127668034,11.176,3601021487,1572664502,16,16,none,frombvh,epo,0,0.2,,,,5.798,1.0,8.0,4.922,625648
16wide-16simd-none-epo-0.3epoRat-direct-0,3095.0,,36201,435054,107976,2625112,6264000,286984965,98915422,10.701,3914674795,747625100,16,16,none,direct,epo,0,0.3,,,,5.456,1.0,8.0,4.429,579216
16wide-16simd-none-epo-0.3epoRat-frombvh-0,475.0,,43244,173018,475657,2625112,6264000,289676357,116366904,10.313,3671201581,1459408040,16,16,none,frombvh,epo,0,0.3,,,,6.022,1.0,9.0,5.151,691904
16wide-16simd-none-epo-0.4epoRat-direct-0,2959.0,,37886,448535,119770,2625112,6264000,304996037,112235451,12.938,4207849148,975653465,16,16,none,direct,epo,0,0.4,,,,5.462,1.0,8.0,4.439,606176
16wide-16simd-none-epo-0.4epoRat-frombvh-0,596.0,,47146,188693,518512,2625112,6264000,320780892,108504975,9.382,4135818261,1306861601,16,16,none,frombvh,epo,0,0.4,,,,6.398,1.0,11.0,5.518,754336
16wide-16simd-none-epo-0.5epoRat-direct-0,4030.0,,40263,471752,132208,2625112,6264000,268888333,100872064,10.202,3773067218,684904766,16,16,none,direct,epo,0,0.5,,,,5.568,1.0,8.0,4.541,644208
16wide-16simd-none-epo-0.5epoRat-frombvh-0,495.0,,50298,204425,550060,2625112,6264000,358965720,108006119,7.946,4583777019,1248850750,16,16,none,frombvh,epo,0,0.5,,,,6.51,1.0,11.0,5.631,804768
16wide-16simd-none-epo-0.6epoRat-direct-0,3523.0,,41968,490492,139043,2625112,6264000,293459938,99174090,10.949,4016554536,724013948,16,16,none,direct,epo,0,0.6,,,,5.632,1.0,9.0,4.608,671488
16wide-16simd-none-epo-0.6epoRat-frombvh-0,733.0,,55516,222464,610291,2625112,6264000,350803237,92095178,6.227,4629247993,996930795,16,16,none,frombvh,epo,0,0.6,,,,7.118,1.0,12.0,6.23,888256
16wide-16simd-none-epo-0.7epoRat-direct-0,3237.0,,42484,484887,152388,2625112,6264000,293182567,100707937,10.855,4147512123,752458918,16,16,none,direct,epo,0,0.7,,,,5.654,1.0,9.0,4.63,679744
16wide-16simd-none-epo-0.7epoRat-frombvh-0,829.0,,59940,239452,659663,2625112,6264000,372575873,90827897,5.288,4724998899,916747633,16,16,none,frombvh,epo,0,0.7,,,,7.486,1.0,15.0,6.607,959040
16wide-16simd-none-epo-0.8epoRat-direct-0,3318.0,,43209,487133,161017,2625112,6264000,291982833,99731789,10.064,4156092749,713764528,16,16,none,direct,epo,0,0.8,,,,5.667,1.0,9.0,4.647,691344
16wide-16simd-none-epo-0.8epoRat-frombvh-0,832.0,,64029,256793,703657,2625112,6264000,470836157,113154265,4.128,5824971422,1237068767,16,16,none,frombvh,epo,0,0.8,,,,8.348,1.0,17.0,7.472,1024464
16wide-16simd-none-epo-0.9epoRat-direct-0,3439.0,,44738,492268,178817,2625112,6264000,301553029,98459865,8.926,4336841144,738388653,16,16,none,direct,epo,0,0.9,,,,5.748,1.0,9.0,4.735,715808
16wide-16simd-none-epo-0.9epoRat-frombvh-0,859.0,,69968,279647,769888,2625112,6264000,524456589,126109512,4.04,6132749890,1240708699,16,16,none,frombvh,epo,0,0.9,,,,8.701,1.0,17.0,7.838,1119488
16wide-16simd-none-sah-0epoRat-direct-0,771.0,,30645,392736,66954,2625112,6264000,266801740,102025181,12.614,3869464228,976824067,16,16,none,direct,sah,0,0,,,,5.234,1.0,8.0,4.186,490320
16wide-16simd-none-sah-0epoRat-frombvh-0,340.0,,29443,116077,325583,2625112,6264000,256644010,152568035,13.605,3268088397,2029722920,16,16,none,frombvh,sah,0,0,,,,5.423,1.0,8.0,4.569,471088
2wide-2simd-none-epo-0.1epoRat-direct-0,416.0,,1235444,1235459,0,2625112,6264000,1525514600,56401256,22.677,1618777492,98699058,2,2,none,direct,epo,0,0.1,,,,,,,,2470903
2wide-2simd-none-epo-0.2epoRat-direct-0,463.0,,1439357,1439372,0,2625112,6264000,1570047404,54672773,12.056,1664594238,94298369,2,2,none,direct,epo,0,0.2,,,,,,,,2878729
2wide-2simd-none-epo-0.3epoRat-direct-0,525.0,,1604802,1604817,0,2625112,6264000,1530902363,53371477,6.621,1619795232,90878774,2,2,none,direct,epo,0,0.3,,,,,,,,3209619
2wide-2simd-none-epo-0.4epoRat-direct-0,585.0,,1754499,1754514,0,2625112,6264000,1684816802,51851962,4.169,1790268280,86829939,2,2,none,direct,epo,0,0.4,,,,,,,,3509013
2wide-2simd-none-epo-0.5epoRat-direct-0,624.0,,1862764,1862779,0,2625112,6264000,1897212704,45714765,3.054,1986556819,69490730,2,2,none,direct,epo,0,0.5,,,,,,,,3725543
2wide-2simd-none-epo-0.6epoRat-direct-0,718.0,,1928939,1928954,0,2625112,6264000,2009387187,43601002,1.902,2098540082,65767423,2,2,none,direct,epo,0,0.6,,,,,,,,3857893
2wide-2simd-none-epo-0.7epoRat-direct-0,815.0,,1983864,1983879,0,2625112,6264000,2067490443,45188753,1.502,2166018641,68127284,2,2,none,direct,epo,0,0.7,,,,,,,,3967743
2wide-2simd-none-epo-0.8epoRat-direct-0,896.0,,2030929,2030944,0,2625112,6264000,2503174369,44685546,1.276,2606455003,67101377,2,2,none,direct,epo,0,0.8,,,,,,,,4061873
2wide-2simd-none-epo-0.9epoRat-direct-0,893.0,,2072582,2072597,0,2625112,6264000,2652255963,45900530,1.119,2746241892,69021141,2,2,none,direct,epo,0,0.9,,,,,,,,4145179
2wide-2simd-none-sah-0epoRat-direct-0,354.0,,1015412,1015427,0,2625112,6264000,1486745378,69463097,43.436,1585567029,126408814,2,2,none,direct,sah,0,0,,,,,,,,2030839
4wide-4simd-all-epo-0.1epoRat-direct-0,762.0,490.0,255238,725602,40127,2625112,6264000,626069822,141287913,17.802,2466738912,470711820,4,4,all,direct,epo,0,0.1,784,31671,940,11.084,2.0,16.0,9.743,1020952
4wide-4simd-all-epo-0.1epoRat-frombvh-0,438.0,412.0,203363,490761,119343,2625112,6264000,581548147,140621860,18.131,2253599546,502252634,4,4,all,frombvh,epo,0,0.1,26304,18958,24829,11.273,1.0,17.0,9.952,813452
4wide-4simd-all-epo-0.2epoRat-direct-0,847.0,520.0,262638,742298,45631,2625112,6264000,611262130,125664457,13.304,2406964111,410364033,4,4,all,direct,epo,0,0.2,1004,37347,1282,11.304,2.0,16.0,9.967,1050552
4wide-4simd-all-epo-0.2epoRat-frombvh-0,540.0,533.0,223886,540735,130938,2625112,6264000,641852581,143366173,13.295,2473608998,512014872,4,4,all,frombvh,epo,0,0.2,31499,32884,31231,11.918,2.0,17.0,10.594,895544
4wide-4simd-all-epo-0.3epoRat-direct-0,849.0,548.0,270892,759636,53055,2625112,6264000,657911741,134868585,10.192,2571467317,436341896,4,4,all,direct,epo,0,0.3,1373,45715,1648,11.534,2.0,17.0,10.197,1083568
4wide-4simd-all-epo-0.3epoRat-frombvh-0,552.0,594.0,246327,593171,145825,2625112,6264000,640031557,118502075,9.395,2474347043,421440145,4,4,all,frombvh,epo,0,0.3,33085,34185,34247,12.422,2.0,18.0,11.102,985308
4wide-4simd-all-epo-0.4epoRat-direct-0,876.0,602.0,278350,774895,60170,2625112,6264000,617190114,99772598,7.67,2441007385,315022188,4,4,all,direct,epo,0,0.4,1658,53591,2138,12.087,2.0,18.0,10.749,1113400
4wide-4simd-all-epo-0.4epoRat-frombvh-0,663.0,746.0,258477,623430,152016,2625112,6264000,697684204,101124565,6.973,2690797946,350491666,4,4,all,frombvh,epo,0,0.4,36411,54878,44481,13.22,2.0,22.0,11.893,1033908
4wide-4simd-all-epo-0.5epoRat-direct-0,896.0,611.0,285175,789937,65603,2625112,6264000,717090540,122887638,7.013,2818093285,388878158,4,4,all,direct,epo,0,0.5,2016,60211,2548,11.974,2.0,19.0,10.641,1140700
4wide-4simd-all-epo-0.5epoRat-frombvh-0,612.0,740.0,282225,675218,171472,2625112,6264000,739464216,105795939,5.204,2865977304,356948377,4,4,all,frombvh,epo,0,0.5,34942,54355,47397,13.515,2.0,23.0,12.201,1128900
4wide-4simd-all-epo-0.6epoRat-direct-0,1028.0,690.0,291025,798470,74620,2625112,6264000,674610543,98150123,4.54,2651828092,307969051,4,4,all,direct,epo,0,0.6,2497,72718,3396,12.835,2.0,19.0,11.496,1164100
4wide-4simd-all-epo-0.6epoRat-frombvh-0,816.0,1067.0,285457,682284,174102,2625112,6264000,741831782,88637605,3.006,2909111271,304861673,4,4,all,frombvh,epo,0,0.6,37185,99894,68223,14.759,2.0,25.0,13.436,1141828
4wide-4simd-all-epo-0.7epoRat-direct-0,1222.0,744.0,295536,802368,84255,2625112,6264000,698436659,107430375,3.019,2741441964,335324672,4,4,all,direct,epo,0,0.7,3217,88647,5237,13.365,2.0,21.0,12.025,1182144
4wide-4simd-all-epo-0.7epoRat-frombvh-0,915.0,1092.0,305311,720152,195796,2625112,6264000,810138637,101212370,2.137,3136011971,327223156,4,4,all,frombvh,epo,0,0.7,34876,111264,74817,15.564,1.0,33.0,14.237,1221244
4wide-4simd-all-epo-0.8epoRat-direct-0,1364.0,821.0,297847,802843,90713,2625112,6264000,791836188,102758080,2.467,3111977432,304438250,4,4,all,direct,epo,0,0.8,3744,104038,7467,14.289,2.0,23.0,12.938,1191388
4wide-4simd-all-epo-0.8epoRat-frombvh-0,940.0,1255.0,315155,738044,207436,2625112,6264000,973950620,134117418,1.637,3770158874,465003123,4,4,all,frombvh,epo,0,0.8,35432,142862,89865,17.458,1.0,34.0,16.161,1260620
