Configuration,CreationTime,OptimizationTime,InteriorNodes,LeafNodes,EmptyNodes,PrimCount,RayCount,NodeIntersections,PrimIntersections,Metric,SISDNodeIntersections,SISDPrimIntersections,TreeWidth,SimdWidth,Optimizations,CreationMethod,SplitMethod,Variant,EpoRatio,OptiMergedInner,OptiMergedLeaf,OptiMergedParent,LeafDepthAvg,LeafDepthMin,LeafDepthMax,InteriorDepthAvg,TotalNodes
16wide-16simd-none-epo-0.1epoRat-direct-1,,,,,,,,,,,,,16,16,none,direct,epo,1,0.1,,,,,,,,
16wide-16simd-none-epo-0.1epoRat-direct-2,3256.0,,32352,404856,80439,2625112,6264000,282854988,111205911,12.122,3872798804,1010392689,16,16,none,direct,epo,2,0.1,,,,5.3,1.0,8.0,4.259,517632
16wide-16simd-none-epo-0.1epoRat-direct-3,,,,,,,,,,,,,16,16,none,direct,epo,3,0.1,,,,,,,,
16wide-16simd-none-epo-0.1epoRat-frombvh-1,3011.0,,17973,136544,133066,2625112,6264000,382514595,104939137,14.482,5661028493,1345812628,16,16,none,frombvh,epo,1,0.1,,,118556,8.246,1.0,16.0,7.415,287568
16wide-16simd-none-epo-0.1epoRat-frombvh-2,399.0,,14367,136544,78976,2625112,6264000,336217063,120249488,13.419,3250344450,1545859737,16,16,none,frombvh,epo,2,0.1,,,,7.181,1.0,12.0,6.095,229872
16wide-16simd-none-epo-0.2epoRat-direct-1,,,,,,,,,,,,,16,16,none,direct,epo,1,0.2,,,,,,,,
16wide-16simd-none-epo-0.2epoRat-direct-2,3151.0,,33718,413322,92463,2625112,6264000,294751259,108857381,12.038,4044161008,856292228,16,16,none,direct,epo,2,0.2,,,,5.331,1.0,8.0,4.304,539488
16wide-16simd-none-epo-0.2epoRat-direct-3,,,,,,,,,,,,,16,16,none,direct,epo,3,0.2,,,,,,,,
16wide-16simd-none-epo-0.2epoRat-frombvh-1,3588.0,,20753,156372,154938,2625112,6264000,429572252,127216249,11.305,6389398991,1623225619,16,16,none,frombvh,epo,1,0.2,,,135604,8.681,1.0,17.0,7.856,332048
16wide-16simd-none-epo-0.2epoRat-frombvh-2,477.0,,16392,156372,89523,2625112,6264000,378520841,127848613,11.414,3587715473,1571483807,16,16,none,frombvh,epo,2,0.2,,,,7.576,1.0,12.0,6.489,262272
16wide-16simd-none-epo-0.3epoRat-direct-1,,,,,,,,,,,,,16,16,none,direct,epo,1,0.3,,,,,,,,
16wide-16simd-none-epo-0.3epoRat-direct-2,3109.0,,36201,435054,107976,2625112,6264000,286984965,98915422,10.701,3914674795,747625100,16,16,none,direct,epo,2,0.3,,,,5.456,1.0,8.0,4.429,579216
16wide-16simd-none-epo-0.3epoRat-direct-3,,,,,,,,,,,,,16,16,none,direct,epo,3,0.3,,,,,,,,
16wide-16simd-none-epo-0.3epoRat-frombvh-1,4542.0,,23393,173018,177892,2625112,6264000,434854335,126815286,9.236,6418402146,1581192225,16,16,none,frombvh,epo,1,0.3,,,149610,8.76,1.0,18.0,7.933,374288
16wide-16simd-none-epo-0.3epoRat-frombvh-2,483.0,,18107,173018,98602,2625112,6264000,389234450,117736967,8.435,3779769367,1474988256,16,16,none,frombvh,epo,2,0.3,,,,8.295,1.0,14.0,7.203,289712
