Configuration,CreationTime,OptimizationTime,InteriorNodes,LeafNodes,EmptyNodes,PrimCount,RayCount,NodeIntersections,PrimIntersections,Metric,SISDNodeIntersections,SISDPrimIntersections,TreeWidth,SimdWidth,Optimizations,CreationMethod,SplitMethod,Variant,EpoRatio,OptiMergedInner,OptiMergedLeaf,OptiMergedParent,LeafDepthAvg,LeafDepthMin,LeafDepthMax,InteriorDepthAvg,TotalNodes
16wide-16simd-all-epo-0.1epoRat-frombvh-0,386.0,392.0,11950,135805,43460,2625112,6264000,318292542,117800243,12.372,4415353969,1499084260,16,16,all,frombvh,epo,0,0.1,16509,739,6044,5.346,1.0,8.0,4.352,191200
16wide-16simd-all-epo-0.5epoRat-direct-0,4072.0,809.0,32234,385466,98059,2625112,6264000,299701862,87121140,12.318,4303880891,757815099,16,16,all,direct,epo,0,0.5,6571,86286,1458,5.516,1.0,8.0,4.481,515744
16wide-16simd-all-sah-0epoRat-direct-0,753.0,314.0,27087,338244,68076,2625112,6264000,301888052,100486565,12.879,4353843291,1077099897,16,16,all,direct,sah,0,0,3007,54492,551,5.21,1.0,8.0,4.17,433392
16wide-16simd-all-sah-0epoRat-frombvh-0,387.0,161.0,10130,115669,36296,2625112,6264000,309579311,146906599,14.378,4248817488,1945382574,16,16,all,frombvh,sah,0,0,14201,408,5112,5.295,1.0,8.0,4.302,162080
16wide-16simd-none-epo-0.1epoRat-frombvh-0,364.0,,34503,136544,381016,2625112,6264000,264697440,120725601,12.621,3513398696,1544433392,16,16,none,frombvh,epo,0,0.1,,,,5.472,1.0,8.0,4.617,552048
16wide-16simd-none-epo-0.5epoRat-direct-0,3823.0,,40263,471752,132208,2625112,6264000,268888333,100872064,10.202,3773067218,684904766,16,16,none,direct,epo,0,0.5,,,,5.568,1.0,8.0,4.541,644208
16wide-16simd-none-sah-0epoRat-direct-0,772.0,,30645,392736,66954,2625112,6264000,266801740,102025181,12.632,3869464228,976824067,16,16,none,direct,sah,0,0,,,,5.234,1.0,8.0,4.186,490320
16wide-16simd-none-sah-0epoRat-frombvh-0,357.0,,29443,116077,325583,2625112,6264000,256644010,152568035,13.616,3268088397,2029722920,16,16,none,frombvh,sah,0,0,,,,5.423,1.0,8.0,4.569,471088
2wide-2simd-none-epo-0.1epoRat-direct-0,406.0,,1235444,1235459,0,2625112,6264000,1525514600,56401256,22.677,1618777492,98699058,2,2,none,direct,epo,0,0.1,,,,,,,,2470903
2wide-2simd-none-sah-0epoRat-direct-0,354.0,,1015412,1015427,0,2625112,6264000,1486745378,69463097,43.436,1585567029,126408814,2,2,none,direct,sah,0,0,,,,,,,,2030839
